key,value,comment,english
ATTRIBUTE_FLAT_MASS,"{0} zu Masse","Adds flat Mass, e.g +2 to Mass, or -4 to Mass","{0} to Mass"
ATTRIBUTE_FLAT_ENERGY,"{0} zu Energie","Adds flat Energy, e.g +2 to Energy, or -4 to Energy","{0} to Energy"
ATTRIBUTE_FLAT_TIME,"{0} zu Zeit","Adds flat Time, e.g +2 to Time, or -4 to Time","{0} to Time"
ATTRIBUTE_NON_CRITICAL_STRIKES_DEAL_NO_DAMAGE,"Nicht-kritische Treffer verursachen keinen Schaden","","Non-Critical Strikes deal no Damage"
ATTRIBUTE_NON_CRITICAL_STRIKES_DEAL_MORE_DAMAGE,"Nicht-kritische Treffer verursachen {0} mehr Schaden","{0}=percentage","Non-Critical Strikes deal {0} more Damage"
ATTRIBUTE_NON_CRITICAL_STRIKES_DEAL_LESS_DAMAGE,"Nicht-kritische Treffer verursachen {0} weniger Schaden","{0}=percentage","Non-Critical Strikes deal {0} less Damage"
ATTRIBUTE_FLAT_MULTICRIT,"{0} Multi-Krit","Adds Multicrit, e.g. +2 Multicrit","{0} Multicrit"
ATTRIBUTE_INCREASED_DAMAGE_OVER_TIME,"{0} erhöhter Schaden über Zeit","{0}=percentage","{0} increased Damage over Time"
ATTRIBUTE_REDUCED_DAMAGE_OVER_TIME,"{0} verringerter Schaden über Zeit","{0}=percentage","{0} reduced Damage over Time"
ATTRIBUTE_MORE_DAMAGE_OVER_TIME,"{0} mehr Schaden über Zeit","{0}=percentage","{0} more Damage over Time"
ATTRIBUTE_LESS_DAMAGE_OVER_TIME,"{0} weniger Schaden über Zeit","{0}=percentage","{0} less Damage over Time"
ATTRIBUTE_NECROBLAST,"Wenn einer deiner Minions stirbt,\nwerden {0} seiner maximalen Rüstung\nals {1}Kinetik{2}-Schaden in {3} Reichweite verursacht","{0}=percentage of Armor, e.g. 500%\n{1,2}=damage color highlighting\n{3}=range, e.g. 400","When one of your Minions dies,\n{0} of its maximum Armor is dealt\nas {1}Kinetic Damage{2} in {3} range"
ATTRIBUTE_NECROBLAST_EXPLOSIVE_CONVERSION,"{0} Necroblast-Schaden wird in {1}Explosiv{2}-Schaden umgewandelt","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Explosive{2} Damage"
ATTRIBUTE_NECROBLAST_PLASMA_CONVERSION,"{0} Necroblast-Schaden wird in {1}Plasma{2}-Schaden umgewandelt","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Plasma{2} Damage"
ATTRIBUTE_NECROBLAST_ELECTRIC_CONVERSION,"{0} Necroblast-Schaden wird in {1}Elektro{2}-Schaden umgewandelt","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Electric{2} Damage"
ATTRIBUTE_NECROBLAST_NUCLEAR_CONVERSION,"{0} Necroblast-Schaden wird in {1}Nuklear{2}-Schaden umgewandelt","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Nuclear{2} Damage"
ATTRIBUTE_INCREASED_MINION_DAMAGE,"Minions verursachen {0} erhöhten Schaden","{0}=percentage","Minions deal {0} increased Damage"
ATTRIBUTE_REDUCED_MINION_DAMAGE,"Minions verursachen {0} verringerten Schaden","{0}=percentage","Minions deal {0} reduced Damage"
ATTRIBUTE_MORE_MINION_DAMAGE,"Minions verursachen {0} mehr Schaden","{0}=percentage","Minions deal {0} more Damage"
ATTRIBUTE_LESS_MINION_DAMAGE,"Minions verursachen {0} weniger Schaden","{0}=percentage","Minions deal {0} less Damage"
ATTRIBUTE_INCREASED_MINION_ARMOR,"Minions haben {0} erhöhte Rüstung","{0}=percentage","Minions have {0} increased Armor"
ATTRIBUTE_REDUCED_MINION_ARMOR,"Minions haben {0} verringerte Rüstung","{0}=percentage","Minions have {0} reduced Armor"
ATTRIBUTE_MORE_MINION_ARMOR,"Minions haben {0} mehr Rüstung","{0}=percentage, e.g. 10%","Minions have {0} more Armor"
ATTRIBUTE_LESS_MINION_ARMOR,"Minions haben {0} weniger Rüstung","{0}=percentage, e.g. 10%","Minions have {0} less Armor"
ATTRIBUTE_INCREASED_MINION_SPAWN_RATE,"Minions werden {0} schneller erschaffen","{0}=percentage","Minions spawn {0} faster"
ATTRIBUTE_REDUCED_MINION_SPAWN_RATE,"Minions werden {0} langsamer erschaffen","{0}=percentage","Minions spawn {0} slower"
ATTRIBUTE_INCREASED_MINION_ATTACK_SPEED,"Minions haben {0} erhöhte Angriffsgeschwindigkeit","{0}=percentage","Minions have {0} increased Attack Speed"
ATTRIBUTE_REDUCED_MINION_ATTACK_SPEED,"Minions haben {0} verringerte Angriffsgeschwindigkeit","{0}=percentage","Minions have {0} reduced Attack Speed"
ATTRIBUTE_INCREASED_MINION_ATTACK_SPEED_PER_MINION_LEVEL,"Minions haben {0} erhöhte Angriffsgeschwindigkeit pro Minion Level","{0}=percentage","Minions have {0} increased Attack Speed per Minion Level"
ATTRIBUTE_INCREASED_MINION_DAMAGE_PER_MINION_LEVEL,"Minions verursachen {0} erhöhten Schaden pro Minion Level","{0}=percentage","Minions deal {0} increased Damage per Minion Level"
ATTRIBUTE_INCREASED_MINION_ARMOR_PER_MINION_LEVEL,"Minions haben {0} erhöhte Rüstung pro Minion Level","{0}=percentage","Minions have {0} increased Armor per Minion Level"
ATTRIBUTE_MINION_ARMOR_REPAIR,"Minions reparieren {0} ihrer maximalen Rüstung pro Sekunde"");","{0}=percentage","Minions repair {0} of maximum Armor per Second"
ATTRIBUTE_MINION_LEVEL,"{0} zu Level aller Minions","{0}=amount, e.g. +2","{0} to level of all Minions"
ATTRIBUTE_MINION_ALL_RESISTANCES,"Minions haben {0} zu allen Widerständen","{0}=percentage","Minions have {0} to all Resistances"
ATTRIBUTE_MINION_THERMAL_RESISTANCES,"Minions haben {0} zu {1}Thermal{2}-Widerständen","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Thermal{2} Resistances"
ATTRIBUTE_MINION_KINETIC_RESISTANCE,"Minions haben {0} zu {1}Kinetik{2}-Widerstand","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Kinetic{2} Resistance"
ATTRIBUTE_MINION_EXPLOSIVE_RESISTANCE,"Minions haben {0} zu {1}Explosiv{2}-Widerstand","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Explosive{2} Resistance"
ATTRIBUTE_MINION_PLASMA_RESISTANCE,"Minions haben {0} zu {1}Plasma{2}-Widerstand","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Plasma{2} Resistance"
ATTRIBUTE_MINION_ELECTRIC_RESISTANCE,"Minions haben {0} zu {1}Elektrik{2}-Widerstand","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Electric{2} Resistance"
ATTRIBUTE_MINION_NUCLEAR_RESISTANCE,"Minions haben {0} zu {1}Nuklear{2}-Widerstand","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Nuclear{2} Resistance"
ATTRIBUTE_HITS_DEAL_NO_NUCLEAR_DAMAGE,"Treffer verursachen keinen {0}Nuklear{1}-Schaden","{0,1}=color highlight marker","Hits deal no {0}Nuclear{1} Damage"
ATTRIBUTE_RADIATION_DEALS_DAMAGE_AS_IF_HIGHER_HIT,"{0}Strahlung{1} verursacht Schaden, als wäre der Treffer um {2} stärker","{0,1}=color highlight marker\n{2}=percentage","{0}Radiation{1} deals damage as if the hit would be {2} higher"
ATTRIBUTE_RADIATION_CHANCE,"{0} {1}Strahlung-{2}Chance","{0}=percentage, {1,2}=color highlight marker","{0} {1}Radiation{2} Chance"
ATTRIBUTE_MORE_RADIATION_DAMAGE,"{0} mehr {1}Strahlung{2}-Schaden","{0}=percentage, {1,2}=color highlight marker","{0} more {1}Radiation{2} Damage"
ATTRIBUTE_LESS_RADIATION_DAMAGE,"{0} weniger {1}Strahlung{2}-Schaden","{0}=percentage, {1,2}=color highlight marker","{0} less {1}Radiation{2} Damage"
ATTRIBUTE_FASTER_RADIATION_DAMAGE,"{1}Strahlung{2}-Schaden ist {0} schneller","{0}=percentage, {1,2}=color highlight marker","{1}Radiation{2} deals Damage {0} faster"
ATTRIBUTE_SLOWER_RADIATION_DAMAGE,"{1}Strahlung{2}-Schaden ist {0} langsamer","{0}=percentage, {1,2}=color highlight marker","{1}Radiation{2} deals Damage {0} slower"
ATTRIBUTE_INCREASED_RADIATION_DAMAGE_PER_STACK,"{2}Strahlung{3} verursacht {0} erhöhten Schaden pro {4}Strahlung{5}-Stack, bis zu {1}","{0,1}=percentage, {2-5}=color highlight marker","{2}Radiation{3} deals {0} increased Damage per {4}Radiation{5} Stack, up to {1}"
ATTRIBUTE_REDUCED_RADIATION_DAMAGE_PER_STACK,"{2}Strahlung{3} verursacht {0} verringerten Schaden pro {4}Strahlung{5}-Stack, bis zu {1}","{0,1}=percentage, {2-5}=color highlight marker","{2}Radiation{3} deals {0} reduced Damage per {4}Radiation{5} Stack, up to {1}"
