key,value,comment,english
BOON_ARMOR_OF_THE_MOON_KING,"Rüstung des Mondkönigs","Boon","Armor of the Moon King"
BOON_SHIELD_OF_THE_MOON_KING,"Schild des Mondkönigs","Boon","Shield of the Moon King"
BOON_AGILITY_OF_THE_MOON_KING,"Beweglichkeit des Mondkönigs","Boon","Agility of the Moon King"
BOON_HIDE_OF_KING_GRUVAK,"Fell von König Gruvak","Boon","Hide of King Gruvak"
BOON_HORNS_OF_KING_GRUVAK,"Hörner von König Gruvak","Boon","Horns of King Gruvak"
BOON_ENDURANCE_OF_KING_GRUVAK,"Ausdauer von König Gruvak","Boon","Endurance of King Gruvak"
BOON_TOOTH_OF_VETH_MARA,"Zahn von Veth'mara","Boon","Tooth of Veth'mara"
BOON_SHELL_OF_VETH_MARA,"Panzer von Veth'mara","Boon","Shell of Veth'mara"
BOON_COCOON_OF_VETH_MARA,"Kokon von Veth'mara","Boon","Cocoon of Veth'mara"
BOON_OMEN_OF_LAZURITH,"Omen von Lazurith","Boon","Omen of Lazurith"
BOON_VAULT_OF_LAZURITH,"Tresor von Lazurith","Boon","Vault of Lazurith"
BOON_WISDOM_OF_LAZURITH,"Weisheit von Lazurith","Boon","Wisdom of Lazurith"
