key,value,comment,english
BUFF_AEGIS_FIELD,"Aegis Feld","","Aegis Field"
BUFF_AEGIS_FIELD_DESCRIPTION,"Gewährt erhöhtes Deflektorschild","","Grants increased Deflector Shield"
BUFF_ARMOR_REPAIR_FIELD_RESILIENCE,"Resilienz","","Resilience"
BUFF_ARMOR_REPAIR_FIELD_BULWARK,"Bulwark","","Bulwark"
BUFF_ARMOR_REPAIR_FIELD_DESCRIPTION,"Gewährt erhöhte Rüstung-Reparatur","","Grants increased Armor Repair"
BUFF_BLASTGUARD_FIELD,"Explosionsschutz Feld","","Blastguard Field"
BUFF_BLASTGUARD_FIELD_DESCRIPTION,"Gewährt erhöhte Explosiv-Resistenz","","Grants increased Explosive Resistance"
BUFF_BLIND,"Geblendet","","Blind"
BUFF_BLIND_DESCRIPTION,"Du fügst weniger Schaden zu und bewegst dich langsamer","","Deal less Damage and move slower while blinded"
BUFF_VENOM_BOOST,"Venom-Boost","","Venom Boost"
BUFF_VENOM_BOOST_DESCRIPTION,"Gewährt mehr Schaden über Zeit","","Grants more Damage over Time"
BUFF_TURBO_BOOST,"Turbo-Boost","","Turbo Boost"
BUFF_TURBO_BOOST_DESCRIPTION,"Gewährt erhöhte Angriffsgeschwindigkeit","","Grants increased Attack Speed"
BUFF_SHIELD_BOOST,"Schild-Boost","","Shield Boost"
BUFF_SHIELD_BOOST_DESCRIPTION,"Gewährt weniger erlittener Schaden","","Grants less Damage Taken"
BUFF_FOCUS_BOOST,"Fokus-Boost","","Focus Boost"
BUFF_FOCUS_BOOST_DESCRIPTION,"Gewährt erhöhte kritische Trefferchance","","Grants increased Critical Strike Chance"
BUFF_FORGE_BOOST,"Schmiede-Boost","","Forge Boost"
BUFF_FORGE_BOOST_DESCRIPTION,"Gewährt erhöhte Rüstung-Reparatur","","Grants increased Armor Repair"
BUFF_DASH_REGENERATION_FIELD_RECHARGE,"Aufladung","","Recharge"
BUFF_DASH_REGENERATION_FIELD_DESCRIPTION,"Gewährt erhöhte Dash Regeneration","","Grants increased Dash Regeneration"
BUFF_DIAMOND_FIELD,"Diamant Feld","","Diamond Field"
BUFF_DIAMOND_FIELD_DESCRIPTION,"Gewährt erhöhte Resistenzen","","Grants increased Resistances"
BUFF_ECLIPSE_FIELD,"Finsternis Feld","","Eclipse Field"
BUFF_ECLIPSE_FIELD_DESCRIPTION,"Gewährt erhöhte Plasma-Resistenz","","Grants increased Plasma Resistance"
BUFF_ENERGY_FIELD,"Energie Feld","","Energy Field"
BUFF_ENERGY_FIELD_DESCRIPTION,"Gewährt erhöhte Energie","","Grants increased Energy"
BUFF_FARADAY_FIELD,"Faraday Feld","","Faraday Field"
BUFF_FARADAY_FIELD_DESCRIPTION,"Gewährt erhöhte Elektro-Resistance","","Grants increased Electric Resistance"
BUFF_HOP,"Sprung","","Hop"
BUFF_HOP_DESCRIPTION,"Erleide während und kurz nach einem Sprung weniger Schaden","","Take less damage while and shortly after hopping"
BUFF_MELEE,"Nahkampf","","Melee"
BUFF_MELEE_DESCRIPTION,"Gewährt weniger erlittenen Schaden","","Grants less Damage Taken"
BUFF_LETHALITY_FIELD,"Todesfeld","","Lethality Field"
BUFF_LETHALITY_FIELD_DESCRIPTION,"Gewährt erhöhte kritische Trefferchance und -schaden","","Grants increased critical strike chance and damage"
BUFF_MASS_FIELD,"Masse Feld","","Mass Field"
