key,value,comment,english
COMMON_KINETIC_DAMAGE,"{0}Kinetik{1}-Schaden","Kinetic damage type label, {0}, {1} are markers for damage color highlight","{0}Kinetic{1} Damage"
COMMON_EXPLOSIVE_DAMAGE,"{0}Explosiv{1}-Schaden","Explosive damage type label, {0}, {1} are markers for damage color highlight","{0}Explosive{1} Damage"
COMMON_PLASMA_DAMAGE,"{0}Plasma{1}-Schaden","Plasma damage type label, {0}, {1} are markers for damage color highlight","{0}Plasma{1} Damage"
COMMON_ELECTRIC_DAMAGE,"{0}Elektro{1}-Schaden","Electric damage type label, {0}, {1} are markers for damage color highlight","{0}Electric{1} Damage"
COMMON_NUCLEAR_DAMAGE,"{0}Nuklear{1}-Schaden","Nuclear damage type label, {0}, {1} are markers for damage color highlight","{0}Nuclear{1} Damage"
COMMON_KINETIC_DAMAGE_PER_SECOND,"{0}Kinetik{1}-Schaden pro Sekunde","Kinetic damage type label, {0}, {1} are markers for damage color highlight","{0}Kinetic{1} Damage per Second"
COMMON_EXPLOSIVE_DAMAGE_PER_SECOND,"{0}Explosiv{1}-Schaden pro Sekunde","Explosive damage type label, {0}, {1} are markers for damage color highlight","{0}Explosive{1} Damage per Second"
COMMON_PLASMA_DAMAGE_PER_SECOND,"{0}Plasma{1}-Schaden pro Sekunde","Plasma damage type label, {0}, {1} are markers for damage color highlight","{0}Plasma{1} Damage per Second"
COMMON_ELECTRIC_DAMAGE_PER_SECOND,"{0}Elektro{1}-Schaden pro Sekunde","Electric damage type label, {0}, {1} are markers for damage color highlight","{0}Electric{1} Damage per Second"
COMMON_NUCLEAR_DAMAGE_PER_SECOND,"{0}Nuklear{1}-Schaden pro Sekunde","Nuclear damage type label, {0}, {1} are markers for damage color highlight","{0}Nuclear{1} Damage per Second"
COMMON_KINETIC_RESISTANCE,"{0}Kinetik{1}-Widerstand","{0,1}=color","{0}Kinetic{1} Resistance"
COMMON_EXPLOSIVE_RESISTANCE,"{0}Explosiv{1}-Widerstand","{0,1}=color","{0}Explosive{1} Resistance"
COMMON_PLASMA_RESISTANCE,"{0}Plasma{1}-Widerstand","{0,1}=color","{0}Plasma{1} Resistance"
COMMON_ELECTRIC_RESISTANCE,"{0}Elektro{1}-Widerstand","{0,1}=color","{0}Electric{1} Resistance"
COMMON_NUCLEAR_RESISTANCE,"{0}Nuklear{1}-Widerstand","{0,1}=color","{0}Nuclear{1} Resistance"
COMMON_DEBRIS_CHANCE,"{0}Trümmer{1}-Chance","{0,1}=color","{0}Debris{1} Chance"
COMMON_AFTERSHOCK_CHANCE,"{0}Nachbeben{1}-Chance","{0,1}=color","{0}Aftershock{1} Chance"
COMMON_BLIND_CHANCE,"{0}Blenden{1}-Chance","{0,1}=color","{0}Blind{1} Chance"
COMMON_SHOCK_CHANCE,"{0}Schock{1}-Chance","{0,1}=color","{0}Shock{1} Chance"
COMMON_RADIATION_CHANCE,"{0}Strahlung{1}-Chance","{0,1}=color","{0}Radiation{1} Chance"
COMMON_DEBRIS_DAMAGE,"{0}Trümmer{1}-Schaden","{0,1}=color","{0}Debris{1} Damage"
COMMON_DEBRIS_RADIUS,"{0}Trümmer{1}-Radius","{0,1}=color","{0}Debris{1} Radius"
COMMON_RADIATION_DAMAGE,"{0}Strahlung{1}-Schaden","{0,1}=color","{0}Radiation{1} Damage"
COMMON_RADIATION_DAMAGE_ONE_INSTANCE,"Eine Instanz verursacht {0} Schaden pro Sekunde","","One instance deals {0} damage per second"
COMMON_ATTACKS_PER_SECOND,"Angriffe pro Sekunde","Attacks per Second stat","Attacks per Second"
COMMON_CRITICAL_STRIKE_CHANCE,"Kritische Trefferchance","stat","Critical Strike Chance"
COMMON_CRITICAL_STRIKE_MULTIPLIER,"Kritischer Trefferschaden","stat","Critical Strike Multiplier"
COMMON_RANGE,"Reichweite","Range stat","Range"
COMMON_THRUST,"Schubkraft","stat","Thrust"
COMMON_MAXIMUM_VELOCITY,"Geschwindigkeit","stat","Maximum Velocity"
COMMON_ARMOR,"Rüstung","stat","Armor"
COMMON_DEFLECTOR_SHIELD,"Deflektorschild","stat","Deflector Shield"
COMMON_DODGE,"Ausweichen","stat","Dodge"
COMMON_DURATION,"Dauer","stat","Duration"
COMMON_HIT_DAMAGE,"Trefferschaden","stat","Hit Damage"
COMMON_SECONDS_SHORT_ONE,"{0}s","Short form of seconds (singular), {0}=amount of seconds","{0}s"
COMMON_SECONDS_SHORT_MANY,"{0}s","Short form of seconds (plural), {0}=amount of seconds","{0}s"
COMMON_SECONDS_LONG_ONE,"{0} Sekunde","Long form of seconds (singular), {0}=amount of seconds","{0} second"
COMMON_SECONDS_LONG_MANY,"{0} Sekunden","Long form of seconds (plural), {0}=amount of seconds","{0} seconds"
COMMON_PERCENT,"{0}%","{0}=number","{0}%"
COMMON_PERCENT_PLUS,"+{0}%","{0}=number","+{0}%"
COMMON_PERCENT_MINUS,"-{0}%","{0}=number","-{0}%"
COMMON_LEVEL_LABEL,"Level","","Level"
COMMON_LEVEL_COUNT,"Level {0}","{0}=level, e.g. 20","Level {0}"
COMMON_ITEM_LEVEL_LABEL,"Item Level","","Item Level"
COMMON_REQUIRED_SHIP_LEVEL_LABEL,"Benötigter Schiff-Level","","Required Ship Level"
COMMON_EXPERIENCE_LABEL,"Erfahrung","","Experience"
COMMON_EXPERIENCE_PROGRESS_LABEL,"Fortschritt","","Progress"
