key,value,comment,english
ENEMY_ASH_QUEEN,"Asche-Königin","","Ash Queen"
ENEMY_ASTEROID,"Asteroid","","Asteroid"
ENEMY_ASTEROID_SUMMONER,"Asteroiden Beschwörer","","Asteroid Summoner"
ENEMY_AZATHOTH,"Azathoth","","Azathoth"
ENEMY_RUST_BARON,"Rostiger Baron","","The Rust Baron"
ENEMY_RUST_BARON_II,"Rostiger Baron II","","The Rust Baron II"
ENEMY_BIG_ASTEROID,"Großer Asteroid","","Big Asteroid"
ENEMY_BIG_EGG_GUARD,"Großer Ei-Wächter","","Big Egg Guard"
ENEMY_BIG_GUNNER,"Großer Kanonier","","Big Gunner"
ENEMY_BIG_GUN_TURRET,"Großer Geschützturm","","Big Gun Turret"
ENEMY_BIG_ROCKETEER,"Großer Raketenmann","","Big Rocketeer"
ENEMY_BIG_SLINGER,"Großer Schleuderer","","Big Slinger"
ENEMY_BIG_SPARKER,"Großer Blitzer","","Big Sparker"
ENEMY_BIG_SPORER,"Große Spore","","Big Sporer"
ENEMY_BIG_THORNS,"Große Dornen","","Big Thorns"
ENEMY_BLAST_GUNNER,"Schroter","","Blast Gunner"
ENEMY_BOOMER,"Bomber","","Boomer"
ENEMY_BOOMSMITH,"Bomben-Schmied","","Boomsmith"
ENEMY_BRAMBLE_QUEEN,"Dornen-Königin","","Bramble Queen"
ENEMY_BUZZER,"Summer","","Buzzer"
ENEMY_CONTAMINATOR,"Kontaminator","","Contaminator"
ENEMY_DRAK_VETH,"Drak'Veth","","Drak'Veth"
ENEMY_EAGLE_EYE,"Adlerauge","","Eagle Eye"
ENEMY_EAGLE_EYE_II,"Adlerauge II","","Eagle Eye II"
ENEMY_EGG_GUARD,"Ei-Wächter","","Egg Guard"
ENEMY_ELECTRO_BOOMER,"Elektro-Bomber","","Electro Boomer"
ENEMY_ELECTRO_GUN_TURRET,"Elektro-Geschützturm","","Electro Gun Turret"
ENEMY_FIERY_SQUIRE,"Feuriger Knappe","","Fiery Squire"
ENEMY_ICICLE_SQUIRE,"Eisiger Knappe","","Icicle Squire"
ENEMY_KING_GRUVAK,"König Gruvak","","King Gruvak"
ENEMY_UBER_KING_GRUVAK,"Kaiser Gruvak","","Emperor Gruvak"
ENEMY_GUNNER,"Kanonier","","Gunner"
ENEMY_GUN_TURRET,"Geschützturm","","Gun Turret"
ENEMY_HAUNTER,"Häscher","","Haunter"
ENEMY_ICY_ASTEROID,"Eisiger Asteroid","","Icy Asteroid"
ENEMY_IONIZER,"Ionisator","","Ionizer"
ENEMY_JUNK_LORD,"Schrottfürst","","Junk Lord"
ENEMY_KOKO,"Koko","","Koko"
ENEMY_LAZURITH,"Lazurith","","Lazurith"
ENEMY_MATILDA,"Matilda","","Matilda"
ENEMY_MOTHERSHIP,"Mutterschiff","","Mothership"
ENEMY_NIHALOR,"Nihalor","","Nihalor"
ENEMY_NUCLEAR_BOOMER,"Nuke-Bomber","","Nuke-Boomer"
ENEMY_OWL_OF_WISDOM,"Eule der Weisheit","","Owl of Wisdom"
ENEMY_ROCKETEER,"Raketenmann","","Rocketeer"
ENEMY_ROCKTHORN,"Felsdorn","","Rockthorn"
ENEMY_ROCKTHORN_II,"Felsdorn II","","Rockthorn II"
ENEMY_SER_ASTEROID,"Ser Asteroid","","Ser Asteroid"
ENEMY_SHOCKER,"Schocker","","Shocker"
ENEMY_SLINGER,"Schleuderer","","Slinger"
ENEMY_SLURXON,"Slurxon","","Slurxon"
ENEMY_SNOWMAN,"Schneemann","","Snowman"
ENEMY_SPARKER,"Blitzer","","Sparker"
ENEMY_SPORER,"Spore","","Sporer"
ENEMY_ABYSS_STRUDEL,"Abgrundstrudel","Hint: has nothing to do with the Abyss end-game sector","Abyss Strudel"
ENEMY_THORN_KNIGHT,"Dornen-Ritter","","Thorn Knight"
ENEMY_THORNS,"Dornen","","Thorns"
ENEMY_THUNDERHEART,"Donnerherz","","Thunderheart"
ENEMY_THUNDERHEART_II,"Donnerherz II","","Thunderheart II"
ENEMY_TREASURE,"Schatz","","Treasure"
ENEMY_TRINITY,"Dreieinigkeit","","Trinity"
ENEMY_UBER_BARON,"Über Baron","","Uber Baron"
ENEMY_UBER_DRAK_VETH,"Über Drak'Veth","","Uber Drak'Veth"
ENEMY_VETH_MARA,"Veth'mara","","Veth'mara"
ENEMY_MOON_KING,"Mondkönig","","The Moon King"
ENEMY_MOON_CROW,"Mondkrähe","","Moon Crow"
ENEMY_WULFRIC,"Wulfric","","Wulfric"
ENEMY_BAT,"Fledermaus","","Bat"
ENEMY_BIG_BAT,"Große Fledermaus","","Big Bat"
ENEMY_BAT_BARON,"Fledermaus-Baron","","Bat Baron"
ENEMY_SHARD_GOBLIN,"Splitter-Goblin","","Shard Goblin"
ENEMY_SHARD_KNIGHT,"Splitter-Ritter","","Shard Knight"
ENEMY_OCTRON,"Octron","","Octron"
ENEMY_DRAGON_NUCLEAR,"Veth'Radon, der Sternenverschlinger","","Veth'Radon, the Star Eater"
ENEMY_DRAGON_KINETIC,"Drak'Mech, der Eiserne Sturm","","Drak'Mech, the Iron Gale"
ENEMY_DRAGON_PLASMA,"Sol'Theris, der Zorn der Sonne","","Sol'Theris, the Sun's Wrath"
ENEMY_DRAGON_ELECTRIC,"Vol'Trox, der Sturmschnitter","","Vol'Trox, the Storm Reaper"
ENEMY_DRAGON_EXPLOSIVE,"Pyrr'Zar, der Detonator","","Pyrr'Zar, the Detonator"
