key,value,comment,english
ITEM_INTRINSIC_QUALITY_SCRAP,"Rissig","Intrinsic quality of an item","Scrap"
ITEM_INTRINSIC_QUALITY_RUSTY,"Rostig","Intrinsic quality of an item","Rusty"
ITEM_INTRINSIC_QUALITY_AUGMENTED,"Verstärkt","Intrinsic quality of an item","Augmented"
ITEM_INTRINSIC_QUALITY_ENHANCED,"Verbessert","Intrinsic quality of an item","Enhanced"
ITEM_INTRINSIC_QUALITY_EXCEPTIONAL,"Außergewöhnlich","Intrinsic quality of an item","Exceptional"
ITEM_INTRINSIC_QUALITY_HEAVY,"Stark","Intrinsic quality of an item","Heavy"
ITEM_INTRINSIC_QUALITY_ELITE,"Elite","Intrinsic quality of an item","Elite"
ITEM_INTRINSIC_QUALITY_RELIC,"Relikt","Intrinsic quality of an item","Relic"
ITEM_INTRINSIC_QUALITY_ELDER,"Uralt","Intrinsic quality of an item","Elder"
ITEM_INTRINSIC_QUALITY_ANCIENT,"Antik","Intrinsic quality of an item","Ancient"
ITEM_INTRINSIC_QUALITY_ETERNAL,"Ewig","Intrinsic quality of an item","Eternal"
ITEM_CATEGORY_WEAPON,"Waffe","item category","Weapon"
ITEM_CATEGORY_SHIELD,"Schild","item category","Shield"
ITEM_CATEGORY_CORE,"Kern","item category","Core"
ITEM_CATEGORY_ENGINE,"Antrieb","item category","Engine"
ITEM_CATEGORY_NEXUS,"Nexus","item category","Nexus"
ITEM_CATEGORY_MOD,"Mod","item category","Mod"
ITEM_CATEGORY_CHIP,"Chip","item category","Chip"
ITEM_CATEGORY_DICE,"Würfel","item category","Dice"
ITEM_CATEGORY_REWARD,"Belohnung","item category","Reward"
ITEM_CATEGORY_QUEST_ITEM,"Quest-Gegenstand","item category","Quest Item"
ITEM_CATEGORY_SECTOR_ITEM,"Sektor","item category","Sector"
ITEM_CATEGORY_SECTOR_CHIP,"Sektor-Chip","item category","Sector Chip"
ITEM_TAG_ATTACK,"Angriff","item tag","Attack"
ITEM_TAG_ATTACK_SPEED,"Angriffsgeschwindigkeit","item tag","Attack Speed"
ITEM_TAG_RANGE,"Reichweite","item tag","Range"
ITEM_TAG_FIELD,"Feld","item tag","Field"
ITEM_TAG_AOE,"Wirkungsbereich","item tag","AoE"
ITEM_TAG_PROJECTILE,"Projektil","item tag","Projectile"
ITEM_TAG_DOT,"Schaden über Zeit","item tag","DoT"
ITEM_TAG_HIT,"Treffer","item tag","Hit"
ITEM_TAG_MINION,"Minion","item tag","Minion"
ITEM_TAG_PARASITE,"Parasit","item tag","Parasite"
ITEM_TAG_VIRUS,"Virus","item tag","Virus"
ITEM_TAG_VIRUS_FIELD,"Virus Feld","item tag","Virus Field"
ITEM_TAG_MELEE,"Nahkampf","item tag","Melee"
ITEM_TAG_REFLECT,"Reflektiert","item tag","Reflect"
ITEM_TAG_MINE,"Mine","item tag","Mine"
ITEM_STASH_TAB_DICE,"Würfel","stash tab","Dice"
ITEM_STASH_TAB_GEAR,"Gear","stash tab","Gear"
ITEM_STASH_TAB_MOD,"Mod","stash tab","Mod"
ITEM_STASH_TAB_UNIQUE,"Unikat","stash tab","Unique"
ITEM_STASH_TAB_MISC,"Kram","stash tab","Misc"
ITEM_STASH_TAB_SECTOR,"Sektor","stash tab","Sector"
ITEM_CHIP,"Chip","item name","Chip"
ITEM_CHIP_DESCRIPTION,"Passt in einen Chip-Sockel im Skill-Baum","Description of Chip items","Fits into a Chip Socket on the Skill Tree"
ITEM_SECTOR_CHIP,"Sektor-Chip","item name","Sector Chip"
ITEM_SECTOR_CHIP_DESCRIPTION,"Passt in einen Sockel im Skill-Baum der Murmelmaschine","Description of Sector Chip items","Fits into a Socket on the Marble Machine Skill Tree"
ITEM_CRIT_RIPPER,"Kritschlitzer","item name","Crit Ripper"
ITEM_EMPOWERED_CRIT_RIPPER,"Erwachter Kritschlitzer","item name","Empowered Crit Ripper"
ITEM_DRONE_MASTER,"Drohnenmeister","item name","Drone Master"
ITEM_EMPOWERED_CHIP,"Erwachter Chip","item name","Empowered Chip"
ITEM_SINGULARITY,"Singularität","item name","Singularity"
ITEM_ESCAPE_CIRCUIT,"Flucht-Schaltkreis","item name","Escape Circuit"
ITEM_SHEAKIRUS_WRATH,"Sheakirus Zorn","item name","Sheakiru's Wrath"
ITEM_SOUL_STONE,"Seelenstein","item name","Soul Stone"
ITEM_SPIRIT_ANIMALS_SOUL_STONE,"{0}s Seelenstein","{0}=name of spirit animal, e.g. Huli","{0}'s Soul Stone"
ITEM_THE_GRAND_FINALE,"Das Große Finale","item name","The Grand Finale"
ITEM_ZEDS_PACT,"Zeds Pakt","item name","Zed's Pact"
ITEM_CHAOS_CIRCUIT,"Chaoszirkel","item name","Chaos Circuit"
ITEM_DRAGON_EYE,"Drachenauge","item name","Dragon Eye"
ITEM_BASTION,"Bastion","item name","Bastion"
ITEM_NULLHEART,"Nullherz","item name","Nullheart"
ITEM_PAPYRUS,"Papyrus","item name","Papyrus"
ITEM_PAPYRUS_DESCRIPTION,"Papier ist die beste Verteidigung","item name","Paper is the best Defense"
ITEM_PELT_OF_THE_MOON_KING,"Pelz des Mondkönigs","item name","Pelt of the Moon King"
ITEM_CRYSTAL_CORE,"Kristall-Kern","item name","Crystal Core"
ITEM_ETHEREAL_CORE,"Ätherischer-Kern","item name","Ethereal Core"
ITEM_NEBULA_CORE,"Nebel-Kern","item name","Nebula Core"
ITEM_PHANTOM_CORE,"Phantom-Kern","item name","Phantom Core"
ITEM_POLYMER_CORE,"Polymer-Kern","item name","Polymer Core"
ITEM_TITANIUM_CORE,"Titan-Kern","item name","Titanium Core"
