key,value,comment,english
MISSION_TUTORIAL,"Erster Kontakt","Name of the tutorial mission","First Contact"
MISSION_ABYSS,"Abgrund","Name of all Abyss Missions","Abyss"
MISSION_ABYSS_DEPTH,"Tiefe","Abyss Depth","Depth"
MISSION_EGG_HUNT,"Eiersuche","Mission name","Egg Hunt"
MISSION_BIG_EGG_HUNT,"Große Eiersuche","Mission name","Big Egg Hunt"
MISSION_ASTEROID_FIELD,"Asteroidenfeld","Mission name","Asteroid Field"
MISSION_ARENA,"Arena","Mission name","Arena"
MISSION_WAVES_OF_CORRUPTION,"Wellen der Verderbnis","Mission name","Waves of Corruption"
MISSION_TREASURE_HUNT,"Schatzsuche","Mission name","Treasure Hunt"
MISSION_DEFEAT_KOKO,"Besiege Koko","Mission name","Defeat Koko"
MISSION_THE_BIG_EGG,"Das Große Ei","Mission name","The Big Egg"
MISSION_CHAMBER_OF_NIHALOR,"Kammer von Nihalor","Mission name","Chamber of Nihalor"
MISSION_SURVIVE,"Überleben","Mission name","Survive"
MISSION_INTERLUDE,"Zwischenspiel","Mission name","Interlude"
MISSION_KING_GRUVAKS_CASTLE,"Burg von König Gruvak","Mission name","King Gruvak's Castle"
MISSION_LAZURITHS_HIDE,"Zuflucht von Lazurith","Mission name","Lazurith's Hide"
MISSION_VETH_MARAS_LAIR,"Brutstätte von Veth'mara","Mission name","Veth'mara's Lair"
MISSION_SEPULCHER_OF_IRON_VIGIL,"Grabmal der Eisernen Wacht","Mission name","Sepulcher of Iron Vigil"
MISSION_THE_LOST_OPAL,"Der Verlorene Opal","Mission name","The Lost Opal"
MISSION_TOMB_OF_VIRA,"Grab von Vira","Mission name","Tomb of Vira"
MISSION_CRYPT_OF_ETERNAL_VOLTRON,"Krypta des Ewigen Voltron","Mission name","Crypt of Eternal Voltron"
MISSION_ECHOES_OF_THE_PAST,"Echos der Vergangenheit","Mission name","Echoes of the Past"
MISSION_TURTLE_IN_NEED,"Schildkröte in Not","Mission name","Turtle in Need"
MISSION_HUNT,"Jagd","Mission name","Hunt"
MISSION_HAUNTED_SECTOR,"Verfluchter Sektor","Mission name","Haunted Sector"
MISSION_BUZZER_SPIRAL_SECTOR,"Spulenspirale","Mission name","Buzzer Spiral Sector"
MISSION_SPARKER_SPIRAL_SECTOR,"Funkenspirale","Mission name","Sparker Spiral Sector"
MISSION_SHOCKWAVE_SECTOR,"Schockwellen-Sektor","Mission name","Shockwave Sector"
MISSION_PLASMA_PURSUIT,"Plasmajagd","Mission name","Plasma Pursuit"
MISSION_PLASMA_SECTOR,"Plasmasektor","Mission name","Plasma Sector"
MISSION_PLASMA_SPIRAL_SECTOR,"Plasmaspiralen-Sektor","Mission name","Plasma Spiral Sector"
MISSION_THORN_SPIRAL,"Dornenspirale","Mission name","Thorn Spiral"
MISSION_THORN_SECTOR,"Dornensektor","Mission name","Thorn Sector"
MISSION_EGGS_TO_THE_NORTH,"Eier im Norden","Mission name","Eggs to the North"
MISSION_GUNS_TO_THE_WEST,"Kanonen im Westen","Mission name","Guns to the West"
MISSION_ROCKETS_TO_THE_EAST,"Raketen im Osten","Mission name","Rockets to the East"
MISSION_BIG_PLASMA_BALLS,"Große Plasmakugeln","Mission name","Big Plasma Balls"
MISSION_BIG_EXPLOSIVE_ROCKETS,"Große Raketen","Mission name","Big Explosive Rockets"
MISSION_BIG_THORNS_SECTOR,"Sektor der Riesendornen","Mission name","Big Thorns Sector"
MISSION_ASTEROID_SPIRAL,"Asteroidenspirale","Mission name","Asteroid Spiral"
MISSION_WOLF_SECTOR,"Wolfsektor","Mission name","Wolf Sector"
MISSION_STAIRS_TO_THE_MOON_KING,"Treppe des Mondkönigs","Mission name","Stairs to the Moon King"
MISSION_GUARDIANS_OF_THE_MOON_KING,"Wächter des Mondkönigs","Mission name","Guardians of the Moon King"
MISSION_TOWARDS_THE_TOMB_OF_THE_FALLEN_KNIGHT,"Zum Grab des Gefallenen Ritters","Mission name","Towards the Tomb of the Fallen Knight"
MISSION_BACK_TO_THE_ROOTS,"Zurück zu den Wurzeln","Mission name","Back to the Roots"
MISSION_A_LOST_EGG,"Ein Verlorenes Ei","Mission name","A lost Egg"
MISSION_BRAMBLE_PATH,"Pfad der Dornen","Mission name","Bramble Path"
MISSION_ASH_PATH,"Pfad der Asche","Mission name","Ash Path"
MISSION_RADIOACTIVE_AREA,"Radioaktive Zone","Mission name","Radioactive Area"
MISSION_SCATTERED_AREA,"Streugebiet","Mission name","Scattered Area"
MISSION_GUARD_SPIRAL,"Wächterspirale","Mission name","Guard Spiral"
MISSION_ELECTRIC_DEFENSE_I,"Elektro-Verteidigung I","Mission name","Electric Defense I"
MISSION_ELECTRIC_DEFENSE_II,"Elektro-Verteidigung II","Mission name","Electric Defense II"
MISSION_ELECTRIC_MADNESS_I,"Elektro-Wahnsinn I","Mission name","Electric Madness I"
MISSION_ELECTRIC_MADNESS_II,"Elektro-Wahnsinn II","Mission name","Electric Madness II"
MISSION_ELECTRIC_MADNESS_III,"Elektro-Wahnsinn III","Mission name","Electric Madness III"
MISSION_CREDITS,"Verlorene Übertragung","Mission name","Lost Transmission"
MISSION_DESTROY_ALL_ENEMIES_OBJECTIVE,"Zerstöre alle Gegner","Objective","Destroy all Enemies"
MISSION_DEFEAT_BOSS_OBJECTIVE,"Besiege {0}","Objective","Defeat {0}"
MISSION_DEFEAT_BOSS_OBJECTIVE_ONCE_AND_FOR_ALL,"Besiege {0} – ein für alle Mal","Objective, {0}=boss name","Defeat {0} - Once and for all"
MISSION_DEFEAT_BOSSES_OBJECTIVE,"Besiege {0} Bosse","Objective, {0}=amount","Defeat {0} Bosses"
MISSION_DESTROY_ENEMY_SPIRAL_OBJECTIVE,"Zerstöre die feindliche Spirale","Objective","Destroy the Enemy Spiral"
MISSION_DESTROY_ENEMY_WAVES_OBJECTIVE,"Zerstöre {0} Feindwellen","Objective, {0}=amount","Destroy {0} Enemy Waves"
MISSION_FIND_TURTLE_EGGS_OBJECTIVE_ONE,"Finde {0} Schildkrötenei","Objective, {0}=amount-singular","Find {0} Turtle Egg"
MISSION_FIND_TURTLE_EGGS_OBJECTIVE_MANY,"Finde {0} Schildkröteneier","Objective, {0}=amount-plural","Find {0} Turtle Eggs"
MISSION_RESCUE_TURTLE_OBJECTIVE,"Zerstöre alle Gegner und rette die Händlerschildkröte","Objective","Destroy all enemies and rescue the Trader Turtle"
MISSION_SURVIVE_OBJECTIVE,"Überlebe {0}","Objective, {0}=x seconds","Survive {0}"
MISSION_UNLOCK_STASH_OBJECTIVE,"Zerstöre alle Gegner und berge deine Truhe","Objective","Destroy all enemies and salvage your Stash"
MISSION_NIHALOR_CHAMBER_OBJECTIVE,"Dringe in die Kammer vor","Objective","Descend into the Chamber"
MISSION_KIKI_FALLEN_KNIGHT_OBJECTIVE,"Hilf Kiki, das Grab des Gefallenen Ritters zu plündern","Objective","Help Kiki to raid the Tomb of the Fallen Knight"
MISSION_KIKI_INVESTIGATION_OBJECTIVE,"Finde heraus, was der kleine Fuchs im Schilde führt","Objective","Investigate what the little fox is up to"
MISSION_KIKI_RAID_SEPULCHER_OBJECTIVE,"Hilf Kiki, das Grabmal zu plündern","Objective","Help Kiki to raid the Sepulcher"
MISSION_KIKI_LOST_OPAL_OBJECTIVE,"Hilf Kiki, den Verlorenen Opal zu bergen","Objective","Help Kiki to loot the Lost Opal"
MISSION_HELP_KIKI_OBJECTIVE,"Hilf Kiki","Objective","Help Kiki"
MISSION_HELP_KIKI_TO_RAID_THE_CRYPT_OBJECTIVE,"Hilf Kiki, die Krypta zu plündern","Objective","Help Kiki to raid the Crypt"
MISSION_KIKI_RAID_TOMB_OF_ETERNAL_QUEEN_OBJECTIVE,"Hilf Kiki, das Grab der Ewigen Königin zu plündern","Objective","Help Kiki to raid the Tomb of the Eternal Queen"
MISSION_TALK_TO_CARLO_OBJECTIVE,"Sprich mit Carlo","Objective","Talk to Carlo"
MISSION_TALK_TO_KIKI_OBJECTIVE,"Sprich mit Kiki","Objective","Talk to Kiki"
MISSION_TALK_TO_KIKI_AND_CARLO_OBJECTIVE,"Sprich mit Kiki und Carlo","Objective","Talk to Kiki and Carlo"
MISSION_TALK_TO_KING_GRUVAK_OBJECTIVE,"Sprich mit König Gruvak","Objective","Talk to King Gruvak"
MISSION_TALK_TO_LAZURITH_OBJECTIVE,"Sprich mit Lazurith","Objective","Talk to Lazurith"
MISSION_TALK_TO_VETH_MARA_OBJECTIVE,"Sprich mit Veth'mara","Objective","Talk to Veth'mara"
MISSION_CLAIM_BACK_MANUAL_OBJECTIVE,"Hol dir zurück, was dir gehört","Objective","Claim back what is yours"
MISSION_INVESTIGATE_BIG_EGG_OBJECTIVE,"Untersuche das Große Ei","Objective","Investigate the Big Egg"
MISSION_INVESTIGATE_EGG_RIFT_OBJECTIVE,"Untersuche den Ei-Riss","Objective","Investigate the Egg Rift"
MISSION_ENEMIES_REMAINING_ONE,"{0} Gegner übrig","{0}=number, singular","{0} Enemy remaining"
MISSION_ENEMIES_REMAINING_MANY,"{0} Gegner übrig","{0}=number, plural","{0} Enemies remaining"
MISSION_BOSSES_REMAINING_ONE,"{0} Boss übrig","{0}=number, singular","{0} Boss remaining"
MISSION_BOSSES_REMAINING_MANY,"{0} Bosse übrig","{0}=number, plural","{0} Bosses remaining"
MISSION_EGGS_REMAINING_ONE,"{0} Ei übrig","{0}=number, singular","{0} Egg remaining"
MISSION_EGGS_REMAINING_MANY,"{0} Eier übrig","{0}=number, plural","{0} Eggs remaining"
MISSION_GET_READY_COUNTDOWN,"Bereit in {0}","{0}=seconds","Get ready: {0}"
MISSION_SURVIVAL_COUNTDOWN,"Noch {0}","{0}=seconds","{0} remaining"
MISSION_CREDITS_OBJECTIVE,"Eine Übertragung vom Astroloot-Team","","A transmission from the Astroloot Team"
MISSION_FREE_KIKI_OBJECTIVE,"Befreie Kiki","Objective","Free Kiki"
