key,value,comment,english
MMSKILL_RARITY,"Seltenheit","Skill node","Rarity"
MMSKILL_EXPERIENCE,"Erfahrung","Skill node","Experience"
MMSKILL_SECTOR_RANK,"Sektor-Rang","Skill node","Sector Rank"
MMSKILL_SECTOR_CHANCE,"Sektor-Chance","Skill node","Sector Chance"
MMSKILL_MONSTER_LEVEL,"Monster-Level","Skill node","Monster Level"
MMSKILL_MONSTROSITY,"Monstrosität","Skill node","Monstrosity"
MMSKILL_OCTRON_ITEM_CHANCE,"Octron-Item-Chance","Skill node","Octron Item Chance"
MMSKILL_ABYSS_OCTRON_ITEM_CHANCE,"Abgrund Octron-Item-Chance","Skill node","Abyss Octron Item Chance"
MMSKILL_WHISPERS_OF_OCTRON,"Octrons Flüstern","Skill node","Whispers of Octron"
MMSKILL_WHISPERS_OF_THE_DEEP,"Flüstern aus der Tiefe","Skill node","Whispers of the Deep"
MMSKILL_FAVOR_OF_THE_DEEP,"Gunst der Tiefe","Skill node","Favor of the Deep"
MMSKILL_ABYSS_RARITY,"Abgrund-Seltenheit","Skill node","Abyss Rarity"
MMSKILL_DEEP_TREASURES,"Schätze der Tiefe","Skill node","Deep Treasures"
MMSKILL_ABYSS_EXPERIENCE,"Abgrund-Erfahrung","Skill node","Abyss Experience"
MMSKILL_DEEP_WISDOM,"Weisheit der Tiefe","Skill node","Deep Wisdom"
MMSKILL_ABYSS_CARLO_MISSION_CHANCE,"Abgrund-Carlo-Mission-Chance","Skill node","Abyss Carlo Mission Chance"
MMSKILL_BLACK_MARKET,"Schwarzmarkt","Skill node","Black Market"
MMSKILL_CARLO_MISSION_CHANCE,"Carlo-Mission-Chance","Skill node","Carlo Mission Chance"
MMSKILL_PROFITABLE_PASSAGE,"Profitabler Durchgang","Skill node","Profitable Passage"
MMSKILL_MORE_EGGS,"Mehr Eier","Skill node","More Eggs"
MMSKILL_ABYSS_RARITY_AND_EXPERIENCE,"Abgrund-Seltenheit und -Erfahrung","Skill node","Abyss Rarity and Experience"
MMSKILL_MAW_OF_THE_ABYSS,"Schlund des Abgrunds","Skill node","Maw of the Abyss"
MMSKILL_UNIQUE_MONSTER_EXPERIENCE,"Einzigartige Monster-Erfahrung","Skill node","Unique Monster Experience"
MMSKILL_UNIQUE_MONSTER_DAMAGE_AND_EXPERIENCE,"Einzigartige Monster-Schaden und -Erfahrung","Skill node","Unique Monster Damage and Experience"
MMSKILL_UNIQUE_MONSTER_ARMOR_AND_EXPERIENCE,"Einzigartige Monster-Rüstung und -Erfahrung","Skill node","Unique Monster Armor and Experience"
MMSKILL_TRIAL_OF_FURY,"Prüfung des Zorns","Skill node","Trial of Fury"
MMSKILL_TRIAL_OF_FORTITUDE,"Prüfung der Stärke","Skill node","Trial of Fortitude"
