key,value,comment,english
SKILL_ARMOR,"Rüstung","Skill node","Armor"
SKILL_ARMOR_AND_MASS,"Rüstung und Masse","Skill node","Armor and Mass"
SKILL_MULTICRIT,"Multicrit","Skill node","Multicrit"
SKILL_DAMAGE_OVER_TIME,"Schaden über Zeit","Skill node","Damage over Time"
SKILL_PESTILENCE,"Pestilenz","Skill node","Pestilence"
SKILL_DAMAGE_OVER_TIME_AND_TIME,"Schaden über Zeit und Zeit","Skill node","Damage over Time and Time"
SKILL_NECROBLAST,"Necroblast","Skill node","Necroblast"
SKILL_EXPLOSIVE_NECROBLAST,"Explosiver Necroblast","Skill node","Explosive Necroblast"
SKILL_PLASMA_NECROBLAST,"Plasma Necroblast","Skill node","Plasma Necroblast"
SKILL_ELECTRIC_NECROBLAST,"Elektrischer Necroblast","Skill node","Electric Necroblast"
SKILL_NUCLEAR_NECROBLAST,"Nuklearer Necroblast","Skill node","Nuclear Necroblast"
SKILL_MINION_DAMAGE,"Minion-Schaden","Skill node","Minion Damage"
SKILL_MINION_ARMOR,"Minion-Rüstung","Skill node","Minion Armor"
SKILL_RADIANT_ANNIHILATION,"Strahlende Vernichtung","Skill node","Radiant Annihilation"
SKILL_RADIATION_CHANCE,"Strahlung-Chance","Skill node","Radiation Chance"
SKILL_DASH_AND_ENERGY,"Dash und Energie","Skill node","Dash and Energy"
SKILL_ENGINE_DAMAGE,"Antrieb-Schaden","Skill node","Engine Damage"
SKILL_ENGINE_DAMAGE_AND_RECHARGE,"Antrieb-Schaden und Aufladung","Skill node","Engine Damage and Recharge"
SKILL_DASH_RECHARGE,"Dash-Aufladung","Skill node","Dash Recharge"
SKILL_THERMAL_DAMAGE_AND_ENERGY,"Thermal Schaden und Energie","Skill node","Thermal Damage and Energy"
SKILL_THERMAL_DAMAGE,"Thermal Schaden","Skill node","Thermal Damage"
SKILL_EXPLOSIVE_DAMAGE,"Explosiv Schaden","Skill node","Explosive Damage"
SKILL_PLASMA_DAMAGE,"Plasma Schaden","Skill node","Plasma Damage"
SKILL_ELECTRIC_DAMAGE,"Elektro Schaden","Skill node","Electric Damage"
SKILL_DEFLECTOR_SHIELD_AND_ENERGY,"Deflektorschild und Energie","Skill node","Deflector Shield and Energy"
SKILL_DEFLECTOR_SHIELD_AND_DODGE,"Deflektorschild und Ausweichen","Skill node","Deflector Shield and Dodge"
SKILL_CRITICAL_STRIKE_CHANCE,"Kritische Trefferchance","Skill node","Critical Strike Chance"
SKILL_CRITICAL_STRIKE_DAMAGE,"Kritischer Trefferschaden","Skill node","Critical Strike Damage"
SKILL_ATTACK_SPEED,"Angriffsgeschwindigkeit","Skill node","Attack Speed"
SKILL_ATTACK_SPEED_AND_TIME,"Angriffsgeschwindigkeit und Zeit","Skill node","Attack Speed and Time"
SKILL_REPAIR_ARMOR,"Rüstung reparieren","Skill node","Repair Armor"
SKILL_KINETIC_DAMAGE,"Kinetischer Schaden","Skill node","Kinetic Damage"
SKILL_KINETIC_DAMAGE_AND_MASS,"Kinetischer Schaden und Masse","Skill node","Kinetic Damage and Mass"
SKILL_KINETIC_DAMAGE_AND_ATTACK_SPEED,"Kinetischer Schaden und Angriffsgeschwindigkeit","Skill node","Kinetic Damage and Attack Speed"
SKILL_NUCLEAR_DEFLECTION,"Nukleare Kontrolle","Skill node","Nuclear Deflection"
SKILL_DODGE,"Ausweichen","Skill node","Dodge"
SKILL_DODGE_AND_TIME,"Ausweichen und Zeit","Skill node","Dodge and Time"
SKILL_DODGE_AND_ARMOR,"Ausweichen und Rüstung","Skill node","Dodge and Armor"
SKILL_DODGE_AND_DEFLECTOR_SHIELD,"Ausweichen und Deflektorschild","Skill node","Dodge and Deflector Shield"
SKILL_PHANTOM,"Phantom","Skill node","Phantom"
SKILL_ATTACK_SPEED_AND_VELOCITY,"Angriff und Geschwindigkeit","Skill node","Attack Speed and Velocity"
SKILL_VERSATILE_TIME,"Vielseitige Zeit","Skill node","Versatile Time"
SKILL_VERSATILE_MASS,"Vielseitige Masse","Skill node","Versatile Mass"
SKILL_VERSATILE_ENERGY,"Vielseitige Energie","Skill node","Versatile Energy"
SKILL_MACH_42,"Mach 42","Skill node","Mach 42"
SKILL_BASTION,"Bastion","Skill node","Bastion"
SKILL_REVITRON,"Revitron","Skill node","Revitron"
SKILL_AREA_DAMAGE,"Flächenschaden","Skill node","Area Damage"
SKILL_AREA_OF_EFFECT,"Wirkungsbereich","Skill node","Area of Effect"
SKILL_GIGA_QUAKE,"Giga-Beben","Skill node","Giga Quake"
SKILL_MINION_COMMANDER,"Minion-Kommandant","Skill node","Minion Commander"
SKILL_NUCLEAR_DAMAGE,"Nuklear-Schaden","Skill node","Nuclear Damage"
SKILL_FALLOUT,"Fall-Out","Skill node","Fallout"
SKILL_TITAN_FIST,"Titanenfaust","Skill node","Titan Fist"
SKILL_PILE_OF_RUINS,"Trümmerhaufen","Skill node","Pile of Ruins"
SKILL_DEBRIS_CHANCE,"Trümmer-Chance","Skill node","Debris Chance"
SKILL_DEBRIS_DAMAGE,"Trümmer-Damage","Skill node","Debris Damage"
SKILL_ARMOR_LEECH,"Rüstungsraub","Skill node","Armor Leech"
