key,value,comment,english
UI_VERSION_LABEL,"Version","","Version"
UI_BUILD_LABEL,"Build","","Build"
UI_START_SCREEN_RESUME,"FORTSETZEN","Resume game button on the start screen","RESUME"
UI_START_SCREEN_NEW_GAME,"NEUES SPIEL","New game button on the start screen","NEW GAME"
UI_START_SCREEN_SETTINGS,"EINSTELLUNGEN","Settings button on the start screen","SETTINGS"
UI_START_SCREEN_EXIT,"BEENDEN","Exit button on the start screen","EXIT"
UI_CLOSE_BUTTON,"Schließen","Button to close a menu or a dialog","Close"
UI_YES_BUTTON,"Ja","Button to close a menu or a dialog","Yes"
UI_NO_BUTTON,"Nein","Button to close a menu or a dialog","No"
UI_SETTINGS_TAB_DISPLAY,"Anzeige","Tab for display settings","Display"
UI_SETTINGS_TAB_AUDIO,"Audio","Tab for audio settings","Audio"
UI_SETTINGS_TAB_CONTROLS,"Steuerung","Tab for control settings","Controls"
UI_SETTINGS_TAB_SHIP,"Schiff","Tab for control settings","Ship"
UI_SETTINGS_DISPLAY_LANGUAGE,"Sprache","Setting for display language","Language"
UI_SETTINGS_DISPLAY_MODE,"Anzeigemodus","Setting for display mode","Display Mode"
UI_SETTINGS_DISPLAY_MODE_WINDOWED_FULLSCREEN,"Fensterloses Vollbild","Run the game in windowed fullscreen mode","Windowed Fullscreen"
UI_SETTINGS_DISPLAY_MODE_WINDOWED,"Fenster","Run the game in windowed mode","Windowed"
UI_SETTINGS_DISPLAY_MODE_FULLSCREEN,"Vollbild","Run the game in exclusive fullscreen","Fullscreen"
UI_SETTINGS_DISPLAY_REFRESH_MODE,"Ziel-FPS","","Target FPS"
UI_SETTINGS_DISPLAY_REFRESH_MODE_VSYNC,"V-Sync","","V-Sync"
UI_SETTINGS_DISPLAY_REFRESH_MODE_FPS,"{0} FPS","{0}=amount, e.g. 60","{0} FPS"
UI_SETTINGS_DISPLAY_MISSION_DATA,"Missionsdaten anzeigen","Setting to toggle mission data","Show Mission Data"
UI_SETTINGS_DISPLAY_DAMAGE_COLORS,"Schadensfarben anzeigen","Setting to toggle damage colors","Show Damage Colors"
UI_SETTINGS_DISPLAY_FPS,"FPS anzeigen","Setting to toggle fps","Show FPS"
UI_SETTINGS_DISPLAY_NATIVE_MOUSE_CURSOR,"Nativer Mauszeiger","Setting to toggle native mouse cursor","Native mouse cursor"
UI_SETTINGS_DISPLAY_ITEM_ANIMATIONS,"Item-Animationen anzeigen","Setting to toggle item animations","Show Item Animations"
UI_SETTINGS_DISPLAY_CORRUPTED_AREA_PARTICLES,"Partikel im korrumpierten Gebiet anzeigen","Performance setting to toggle corrupted area particles","Show Corrupted Area Particles"
UI_SETTINGS_AUDIO_LIB,"Audio System","Setting to toggle audio library","Audio Lib"
UI_SETTINGS_AUDIO_GLOBAL,"Global","Setting for Global audio volume","Global"
UI_SETTINGS_AUDIO_MUSIC,"Musik","Setting for Music volume","Music"
UI_SETTINGS_AUDIO_SFX,"Effekte","Setting for SFX volume","SFX"
UI_SETTINGS_AUDIO_LOOT,"Loot","Setting for Loot volume","Loot"
UI_SETTINGS_AUDIO_UI,"UI","Setting for UI volume","UI"
UI_SETTINGS_AUDIO_VOICE,"Sprache","Setting for Voice volume","Voice"
UI_SETTINGS_CONTROLS_CONTROLLER_SELECT,"Auswahl","Setting for controller select button","Select"
UI_SETTINGS_CONTROLS_CONTROLLER_BACK,"Zurück / Item ablegen","Setting for controller back button. Is also used to drop an item.","Back / Drop item"
UI_SETTINGS_CONTROLS_CONTROLLER_CONFIRM,"Bestätigen / Item transferieren","Setting for controller confirm button. Is also used to transfer an item.","Confirm / Transfer item"
UI_SETTINGS_CONTROLS_CONTROLLER_INFO,"Info","Setting for controller info button.","Info"
UI_SETTINGS_CONTROLS_CONTROLLER_DASH,"Dash","Setting for controller dash button.","Dash"
UI_SETTINGS_CONTROLS_CONTROLLER_OPTIONS,"Optionen","Setting for controller options button.","Options"
UI_SETTINGS_CONTROLS_CONTROLLER_SEARCH,"Suche","Setting for controller search button.","Search"
UI_SETTINGS_CONTROLS_CONTROLLER_DEADZONE,"Deadzone","Setting for controller deadzone.","Deadzone"
UI_SETTINGS_CONTROLS_CONTROLLER_VIBRATION,"Vibration","Setting for controller vibration.","Vibration"
UI_SETTINGS_CONTROLS_SECTION_KEYBOARD,"Tastatur","Section for keyboard settings.","Keyboard"
UI_SETTINGS_CONTROLS_KEYBOARD_UP,"Nach oben","Setting for keyboard Up button","Up"
UI_SETTINGS_CONTROLS_KEYBOARD_LEFT,"Nach links","Setting for keyboard Left button","Left"
UI_SETTINGS_CONTROLS_KEYBOARD_DOWN,"Nach unten","Setting for keyboard Down button","Down"
UI_SETTINGS_CONTROLS_KEYBOARD_RIGHT,"Nach rechts","Setting for keyboard Right button","Right"
UI_SETTINGS_CONTROLS_KEYBOARD_DASH,"Dash","Setting for keyboard Dash button","Dash"
UI_SETTINGS_CONTROLS_KEYBOARD_INFO,"Info","Setting for keyboard Info button","Info"
UI_SETTINGS_CONTROLS_KEYBOARD_CONFIRM,"Bestätigen","Setting for keyboard Confirm button","Confirm"
UI_SETTINGS_CONTROLS_KEYBOARD_SCREENSHOT,"Screenshot","Setting for keyboard Screenshot button","Screenshot"
UI_SETTINGS_CONTROLS_SECTION_MOUSE,"Maus","Section for mouse settings.","Mouse"
UI_SETTINGS_CONTROLS_MOUSE_SCROLL_SPEED,"Scroll-\ngeschwindigkeit","Setting for mouse scroll speed","Scroll Speed"
UI_SETTINGS_CONTROLS_CONTROLLER_CHOOSE_BUTTON,"Knopf drücken:","Prompt the player to press a controller button","Press new button:"
UI_SETTINGS_CONTROLS_KEYBOARD_CHOOSE_KEY,"Taste drücken:","Prompt the player to press a key on the keyboard","Press new key:"
UI_SETTINGS_SHIP_PERSONAL_STASH,"Persönliche Truhe verwenden","Setting if the player wants to use this ship's personal stash","Use Personal Stash"
UI_SETTINGS_SHIP_EXCLUDE_ENGINE_FROM_DPS_PREVIEW,"Antrieb in DPS-Vorschau ignorieren","Setting if the player wants to exclude Engine from DPS preview for this ship","Exclude Engine from DPS Preview"
UI_SETTINGS_SHIP_BOSS_ENEMY_IN_DPS_PREVIEW,"Bossgegner in DPS-Vorschau","Setting if the player wants to simulate a boss enemy in DPS preview","Preview Boss Enemy"
UI_SETTINGS_SHIP_CURRENT_MONSTER_LEVEL_IN_DPS_PREVIEW,"Aktuelles Monsterlevel in DPS-Vorschau","Setting if the player wants to preview the current monster level in DPS preview","Preview current Monster Level"
UI_BACK_BUTTON,"Zurück","Common back button","Back"
UI_EDIT_BUTTON,"Bearbeiten","Common edit button","Edit"
UI_RESUME_BUTTON,"Fortsetzen","Common resume button","Resume"
UI_RENAME_BUTTON,"Umbenennen","Common rename button","Rename"
UI_DELETE_BUTTON,"Löschen","Common delete button","Delete"
UI_OK_BUTTON,"Ok","Common ok button","Ok"
UI_CANCEL_BUTTON,"Abbrechen","Common cancel button","Cancel"
UI_EXIT_BUTTON,"Beenden","Common exit button","Exit"
UI_GAME_DATA_BASE_ERROR_HEADLINE,"Fehler in Spieldatenbank","","Game Database Error"
UI_ONLY_ONE_INSTANCE_ERROR_HEADLINE,"Astroloot läuft bereits","","Astroloot is already running"
UI_ONLY_ONE_INSTANCE_ERROR_CONTENT,"Bitte schließe die andere Instanz, bevor du eine neue startest. Es kann immer nur eine Instanz gleichzeitig laufen.","","Please close the other instance before starting a new one. To avoid conflicts, only one instance can run at a time."
UI_LANGUAGE_CHANGE_NOT_POSSIBLE,"Die Sprache kann nur über die Einstellungen im Hauptmenü geändert werden.","","Language can only be changed through main menu settings."
UI_ERROR_HEADLINE,"Fehler","Common headline when an error has occurred","Error"
UI_ERROR_CONTENT,"Ein unbekannter Fehler ist aufgetreten.\nWeitere Details können in der Log Datei enthalten sein.","Common description when an error has occurred","An unknown error occurred.\nMore details might be in the game log file."
UI_DB_NEWER_VERSION_ERROR_CONTENT,"Die Spieldatenbank wurde mit einer neueren Version von Astroloot erstellt.\nBitte aktualisiere auf die neueste Version.","","The save game database was created by a newer version of Astroloot.\nPlease upgrade to the latest version."
UI_DB_MIGRATION_ERROR_CONTENT,"Fehler beim Aktualisieren der Spieldatenbank auf die neueste Version","","Failed to migrate game db to latest version"
UI_DELETE_GAME_HEADLINE,"Spiel löschen","Headline for the delete game alert","Delete game"
UI_DELETE_GAME_CONTENT,"Bist du sicher, dass du {0} (Level {1}) löschen möchtest?","Dialog content to confirm player deletion.\n{0}=player name\n{1}=player level","Are you sure to delete {0} (level {1})?"
UI_DELETE_GAME_CONTENT_WARNING,"Warnung!\nDas Löschen ist dauerhaft und kann nicht rückgängig gemacht werden.","Warning displayed below DELETE_GAME_CONTENT","Warning!\nDeletion is permanent and can't be reverted."
UI_NEW_GAME_CHOOSE_SHIP,"Wähle dein Schiff","Headline of new game screen","Choose your Ship"
UI_NEW_GAME_CHOOSE_NAME,"Wie heißt du?","Headline for player name selection","What's your name?"
UI_START_BUTTON,"Start","Common start button","Start"
UI_ACCEPT_BUTTON,"Annehmen","Common accept button","Accept"
UI_IGNORE_BUTTON,"Ignorieren","Common ignore button","Ignore"
UI_REJECT_BUTTON,"Ablehnen","Common reject button","Reject"
UI_SHIP_NAME_LEVIATHAN,"Leviathan","Name of the Leviathan ship","Leviathan"
UI_SHIP_NAME_HYPERION,"Hyperion","Name of the Hyperion ship","Hyperion"
UI_SHIP_NAME_CHRONOS,"Chronos","Name of the Chronos ship","Chronos"
UI_SHIP_DESCRIPTION_LEVIATHAN,"Zäher Brocken","Description of the Leviathan ship","Tanky Brute"
UI_SHIP_DESCRIPTION_HYPERION,"Energetische Glaskanone","Description of the Hyperion ship","Energetic Glass Cannon"
UI_SHIP_DESCRIPTION_CHRONOS,"Flinker Taktiker","Description of the Chronos ship","Swift Tactician"
UI_SHIP_SELECT,"Auswählen","Control hint to select a ship","Select"
UI_SHIP_DESELECT,"Abwählen","Control hint to deselect a ship","Deselect"
UI_RESUME_MISSION_BUTTON,"Mission fortsetzen","Resume the current mission","Resume Mission"
UI_ABORT_MISSION_BUTTON,"Mission abbrechen","Abort the current mission","Abort Mission"
UI_SETTINGS_BUTTON,"Einstellungen","Settings button","Settings"
UI_BACK_TO_MAIN_MENU_BUTTON,"Zurück zum Hauptmenü","Close the current game and go back to the main menu","Back to Main Menu"
UI_EXIT_GAME_BUTTON,"Astroloot beenden","Exit the game","Exit Astroloot"
UI_RESUME_GAME_BUTTON,"Spiel fortsetzen","Resume game button","Resume Game"
UI_ONLINE_MULTIPLAYER_BUTTON,"Online Multiplayer","Online Multiplayer button","Online Multiplayer"
UI_LOCAL_MULTIPLAYER_BUTTON,"Lokaler Multiplayer","Local Multiplayer button","Local Multiplayer"
UI_REWARD_CHOOSE_BOON,"Wähle eine dauerhafte Gunst","Ask the player to choose one permanent boon","Choose one permanent Boon"
UI_REWARD_CANNOT_CLAIM,"Ich kann diese Belohnung nicht einlösen.","Speech-bubble for the player that this reward cannot be claimed","I cannot claim this reward."
UI_DIALOG_CONTINUE,"Weiter","","Continue"
UI_SPIRIT_ANIMAL_SHAE,"Shae","","Shae"
UI_SPIRIT_ANIMAL_LIN,"Lin","","Lin"
UI_SPIRIT_ANIMAL_BALTIMORE,"Baltimore","","Baltimore"
UI_SPIRIT_ANIMAL_VORAK,"Vorak","","Vorak"
UI_SPIRIT_ANIMAL_BALU,"Balu","","Balu"
UI_SPIRIT_ANIMAL_POKI,"Poki","","Poki"
UI_SPIRIT_ANIMAL_HULI,"Huli","","Huli"
UI_SPIRIT_ANIMAL_IVY,"Ivy","","Ivy"
UI_SPIRIT_ANIMAL_LORD_CHICKEN,"Lord Chicken","","Lord Chicken"
UI_MENU_ITEMS,"Inventar","Max 10 characters","Items"
UI_MENU_TRADE,"Händler","Max 10 characters","Trade"
UI_MENU_STASH,"Truhe","Max 10 characters","Stash"
UI_MENU_SKILLS,"Skills","Max 6 characters","Skills"
UI_MENU_MISSIONS,"Missionen","Max 10 characters","Missions"
UI_APPLY_BUTTON,"Anwenden","Max 10 characters","Apply"
UI_DISCARD_BUTTON,"Verwerfen","Max 10 characters","Discard"
UI_MENU_MARBLE_MACHINE_SKILLS,"Maschinen-Skills","Max 16 characters","Machine Skills"
UI_CRAFT_MODE_INACTIVE,"Inaktiv","","Inactive"
UI_CRAFT_MODE_DPS,"Schaden/s","","Dps"
UI_CRAFT_MODE_MAX_HIT,"Max. Treffer","","Max Hit"
UI_CRAFT_MODE_MODIFIER_SLOTS,"Mod-Slots","","Modifier Slots"
UI_CRAFT_MODE_AFFIX,"Affix","","Affix"
UI_CRAFT_MODE_SELECTED_AFFIXES,"Affix ({0})","{0}=amount","Affix ({0})"
UI_CRAFT_MODE_MAX_ITEM,"Max Item","","Max Item"
UI_CRAFT_ERROR_TARGET_ITEM_HAS_WRONG_TYPE,"Zielgegenstand hat den falschen Typ.","","Target item is of wrong type."
UI_CRAFT_ERROR_TARGET_ITEM_HAS_WRONG_RARITY,"Zielgegenstand hat die falsche Seltenheit.","","Target item has wrong rarity."
UI_CRAFT_ERROR_TARGET_ITEM_HAS_NO_AFFIX_TO_REMOVE,"Zielgegenstand hat kein Affix, das entfernt werden kann.","","Target item has no affix to remove."
UI_CRAFT_ERROR_AFFIX_NOT_ALLOWED_ON_TARGET_ITEM,"Dieses Affix ist auf dem Zielgegenstand nicht erlaubt.","","This affix is not allowed on target item."
UI_CRAFT_ERROR_TARGET_ITEM_HAS_NO_FREE_AFFIX_CATEGORY_LEFT,"Zielgegenstand hat kein freies {0} mehr.","{0}=affix type, e.g. Suffix or Prefix","Target item has no free {0} left."
UI_CRAFT_ERROR_TARGET_ITEM_HAS_NO_FREE_AFFIX_LEFT,"Zielgegenstand hat keinen freien Affix-Slot mehr.","","Target item has no free affix left."
UI_CRAFT_ERROR_TARGET_ITEM_ALREADY_HAS_AFFIX_TYPE,"Zielgegenstand hat bereits ein Affix dieses Typs.","","Target item already has an affix of this type."
UI_CRAFT_ERROR_TARGET_ITEM_MUST_NOT_BE_IN_STORAGE_CONTAINER,"Zielgegenstand darf sich nicht in einem Lagerbehälter befinden.","","Target item must not be in a storage container."
UI_CRAFT_ERROR_TARGET_ITEM_IS_ALREADY_COMMON,"Zielgegenstand ist bereits gewöhnlich.","","Target item is already common."
UI_CRAFT_ERROR_TARGET_ITEM_IS_NOT_UNIQUE,"Zielgegenstand ist nicht einzigartig.","","Target item is not unique."
UI_CRAFT_ERROR_TARGET_ITEM_CANNOT_BE_IMPROVED,"Zielgegenstand kann nicht verbessert werden.","","Target item cannot be improved."
UI_CRAFT_ERROR_TARGET_ITEM_AFFIXES_CANNOT_BE_IMPROVED_ANY_FURTHER,"Die Affixe dieses Gegenstands können nicht weiter verbessert werden.","","The affixes of this item cannot be improved any further."
UI_CRAFT_ERROR_TARGET_ITEM_CANNOT_HAVE_MODIFIER_SLOTS,"Zielgegenstand kann keine Mod-Slots besitzen.","","Target item cannot have modifier slots."
UI_CRAFT_ERROR_TARGET_ITEM_ALREADY_HAS_MAX_MODIFIER_SLOTS,"Zielgegenstand hat bereits die maximale Anzahl an Mod-Slots.","","Target item already has maximum amount of modifier slots."
UI_CRAFT_ERROR_TARGET_ITEM_SECTOR_HAS_BEEN_OPENED,"Sektor wurde geöffnet, sein Schicksal ist besiegelt.","","Target Sector has been opened, its fate is sealed."
UI_NO_SPACE_IN_INVENTORY_FOR_CHIP,"Für diesen Chip ist kein Platz im Inventar.","","No space in inventory to put Chip."
UI_NO_ITEM_TO_TAKE,"Kein Gegenstand zum aufheben.","","There is no item to take."
UI_NO_PLACE_FOR_ITEM,"Kein Platz für diesen Gegenstand.","","There is no place for this item."
UI_CANNOT_PUT_ITEM_HERE,"Ich kann diesen Gegenstand hier nicht ablegen.","","I cannot put this item here."
UI_CARLO_DOES_NOT_TRADE_THIS,"Damit handle ich nicht.","","I do not trade these items."
UI_CARLO_NO_PLACE_IN_SHOP,"Es ist kein Platz für den Preis dieses Gegenstands in meinem Laden.","","There is no place for the price of this item in my shop."
UI_CARLO_NO_PLACE_IN_INVENTORY,"Es ist kein Platz für den Preis dieses Gegenstands in deinem Inventar.","","There is no place for the price of this item in your inventory."
UI_CARLO_NOT_ENOUGH_DICE_PLAYER,"Dafür hast du zu wenige Würfel.","","Not enough dice for this."
UI_CARLO_NOT_ENOUGH_DICE_TRADER,"Ich habe gerade nicht genug Würfel für diesen Gegenstand.","","I don't have enough dice for this item right now."
UI_CARLO_DOES_NOT_TRADE_OPENED_SECTORS,"Ich tausche keine geöffneten Sektoren, die sind zu gefährlich.","","I do not trade opened sectors, they are dangerous."
UI_STASH_UNLOCKED,"Mal sehen, ob ich was Gutes dagelassen habe.","","Hope I left something good in here."
UI_CARLO_NO_BUYBACK_TURTLE_EGG,"Danke nochmals, dass du mir das zurückgebracht hast, mein Freund.","","Thanks again for returning this to me, my friend."
UI_CARLO_NO_BUYBACK_GOLDEN_TURTLE_EGG,"Danke nochmals für deine Hilfe, mein Freund.","","Thanks again for your help, my friend."
UI_CARLO_TURTLE_EGG_RETURNED,"Ooh, du hast eines meiner kostbaren Eier gefunden! Nimm das hier aus meiner persönlichen Sammlung.","","Aww, you found one of my precious eggs! Take this from my personal collection."
UI_CARLO_GOLDEN_TURTLE_EGG_RETURNED,"Danke, für dieses Stück meiner Seele. Mögen sie zu deinen Gunsten rollen...","","Thank you for this piece of my soul. May these roll in your favor.."
UI_CARLO_TURTLE_EASTER_EGG_RETURNED,"Du hast mich so glücklich gemacht! Falls du jemals unglücklich mit deinen Entscheidungen bist... nimm diese hier.","","You made me so happy! If you are ever unhappy with your choices.. Take these."
UI_CARLO_SECRET_TRADE,"Psst. Bitte verrate niemandem, dass ich mit so etwas handle.","","Psst. Please don't tell anybody that I trade those."
UI_CARLO_TRAPPED_IN_EGG_RIFT,"Die Gier hat mich überwältigt... Bitte, finde einen Weg mich zurückzuholen.","","Greed got the better of me... Please, find a way to bring me back."
UI_CARLO_NO_LONGER_TRAPPED_IN_EGG_RIFT,"Ich hatte einen furchtbaren Traum. Du bist auch darin vorgekommen!","","I had a really bad dream. You have been there, too!"
