key,value,comment
BOON_ARMOR_OF_THE_MOON_KING,"Armatura del Re Lunare","Boon"
BOON_SHIELD_OF_THE_MOON_KING,"Scudo del Re Lunare","Boon"
BOON_AGILITY_OF_THE_MOON_KING,"Agilità del Re Lunare","Boon"
BOON_HIDE_OF_KING_GRUVAK,"Pelle di Re Gruvak","Boon"
BOON_HORNS_OF_KING_GRUVAK,"Corna di Re Gruvak","Boon"
BOON_ENDURANCE_OF_KING_GRUVAK,"Stamina di Re Gruvak","Boon"
BOON_TOOTH_OF_VETH_MARA,"Dente di Veth'mara","Boon"
BOON_SHELL_OF_VETH_MARA,"Guscio di Veth'mara","Boon"
BOON_COCOON_OF_VETH_MARA,"Bozzolo di Veth'mara","Boon"
BOON_OMEN_OF_LAZURITH,"Presagio di Lazurith","Boon"
BOON_VAULT_OF_LAZURITH,"Tesoro di Lazurith","Boon"
BOON_WISDOM_OF_LAZURITH,"Saggezza di Lazurith","Boon"
