key,value,comment
ITEM_INTRINSIC_QUALITY_SCRAP,"Scrap","Intrinsic quality of an item"
ITEM_INTRINSIC_QUALITY_RUSTY,"Rusty","Intrinsic quality of an item"
ITEM_INTRINSIC_QUALITY_AUGMENTED,"Augmented","Intrinsic quality of an item"
ITEM_INTRINSIC_QUALITY_ENHANCED,"Enhanced","Intrinsic quality of an item"
ITEM_INTRINSIC_QUALITY_EXCEPTIONAL,"Exceptional","Intrinsic quality of an item"
ITEM_INTRINSIC_QUALITY_HEAVY,"Heavy","Intrinsic quality of an item"
ITEM_INTRINSIC_QUALITY_ELITE,"Elite","Intrinsic quality of an item"
ITEM_INTRINSIC_QUALITY_RELIC,"Relic","Intrinsic quality of an item"
ITEM_INTRINSIC_QUALITY_ELDER,"Elder","Intrinsic quality of an item"
ITEM_INTRINSIC_QUALITY_ANCIENT,"Ancient","Intrinsic quality of an item"
ITEM_INTRINSIC_QUALITY_ETERNAL,"Eternal","Intrinsic quality of an item"
ITEM_CATEGORY_WEAPON,"Weapon","item category"
ITEM_CATEGORY_SHIELD,"Shield","item category"
ITEM_CATEGORY_CORE,"Core","item category"
ITEM_CATEGORY_ENGINE,"Engine","item category"
ITEM_CATEGORY_NEXUS,"Nexus","item category"
ITEM_CATEGORY_MOD,"Mod","item category"
ITEM_CATEGORY_CHIP,"Chip","item category"
ITEM_CATEGORY_DICE,"Dice","item category"
ITEM_CATEGORY_REWARD,"Reward","item category"
ITEM_CATEGORY_QUEST_ITEM,"Quest Item","item category"
ITEM_TAG_ATTACK,"Attack","item tag"
ITEM_TAG_ATTACK_SPEED,"AttackSpeed","item tag"
ITEM_TAG_RANGE,"Range","item tag"
ITEM_TAG_FIELD,"Field","item tag"
ITEM_TAG_AOE,"AoE","item tag"
ITEM_TAG_PROJECTILE,"Projectile","item tag"
ITEM_TAG_DOT,"DoT","item tag"
ITEM_TAG_HIT,"Hit","item tag"
ITEM_TAG_MINION,"Minion","item tag"
ITEM_TAG_PARASITE,"Parasite","item tag"
ITEM_TAG_VIRUS,"Virus","item tag"
ITEM_TAG_VIRUS_FIELD,"VirusField","item tag"
ITEM_TAG_MELEE,"Melee","item tag"
ITEM_TAG_REFLECT,"Reflect","item tag"
ITEM_TAG_MINE,"Mine","item tag"
ITEM_STASH_TAB_DICE,"Dice","stash tab"
ITEM_STASH_TAB_GEAR,"Gear","stash tab"
ITEM_STASH_TAB_MOD,"Mod","stash tab"
ITEM_STASH_TAB_UNIQUE,"Unique","stash tab"
ITEM_CHIP,"Chip","item name"
ITEM_CHIP_DESCRIPTION,"Fits into a Skill Tree Chip Socket","Description of Chip items"
ITEM_CRIT_RIPPER,"Crit Ripper","item name"
ITEM_DRONE_MASTER,"Drone Master","item name"
ITEM_EMPOWERED_CHIP,"Empowered Chip","item name"
ITEM_SINGULARITY,"Singularity","item name"
ITEM_ESCAPE_CIRCUIT,"Escape Circuit","item name"
ITEM_SHEAKIRUS_WRATH,"Sheakiru's Wrath","item name"
ITEM_SOUL_STONE,"Soul Stone","item name"
ITEM_SPIRIT_ANIMALS_SOUL_STONE,"{0}'s Soul Stone","{0}=name of spirit animal, e.g. Huli"
ITEM_THE_GRAND_FINALE,"The Grand Finale","item name"
ITEM_ZEDS_PACT,"Zed's Pact","item name"
ITEM_BASTION,"Bastion","item name"
ITEM_NULLHEART,"Nullheart","item name"
ITEM_PAPYRUS,"Papyrus","item name"
ITEM_PAPYRUS_DESCRIPTION,"Paper is the best Defense","item name"
ITEM_PELT_OF_THE_MOON_KING,"Pelt of the Moon King","item name"
ITEM_CRYSTAL_CORE,"Crystal Core","item name"
ITEM_ETHEREAL_CORE,"Ethereal Core","item name"
ITEM_NEBULA_CORE,"Nebula Core","item name"
ITEM_PHANTOM_CORE,"Phantom Core","item name"
ITEM_POLYMER_CORE,"Polymer Core","item name"
ITEM_TITANIUM_CORE,"Titanium Core","item name"
ITEM_SHIELD_OF_ARESTUM,"Shield of Arestum","item name"
ITEM_CRYSTAL_SHIELD,"Crystal Shield","item name"
ITEM_ETHEREAL_SHIELD,"Ethereal Shield","item name"
ITEM_NEBULA_SHIELD,"Nebula Shield","item name"
ITEM_PHANTOM_SHIELD,"Phantom Shield","item name"
ITEM_POLYMER_SHIELD,"Polymer Shield","item name"
ITEM_TITANIUM_SHIELD,"Titanium Shield","item name"
ITEM_SIEBENMEILEN,"Siebenmeilen","item name"
ITEM_AFTERBURNER,"Afterburner","item name"
ITEM_AFTERBURNER_DESCRIPTION,"Increases maximum velocity\nand leaves a trail of explosions behind","item name"
ITEM_BLACK_HOLE_WARP,"Black Hole Warp","item name"
ITEM_BLACK_HOLE_WARP_DESCRIPTION,"Leaves a black hole behind","item name"
ITEM_EMP,"EMP","item name"
ITEM_EMP_DESCRIPTION,"Strikes lightning at nearby enemies","item name"
ITEM_FUSION_DRIVE,"Fusion Drive","item name"
ITEM_FUSION_DRIVE_DESCRIPTION,"Attack with nuclear explosions at target location","item name"
ITEM_THRUSTER,"Thruster","item name"
ITEM_WARP,"Warp","item name"
ITEM_WARP_DESCRIPTION,"Fires a nova at the source and target location","item name"
ITEM_ASTRAL_AFFIX,"Astral Affix","item name"
ITEM_ASTRAL_AFFIX_DESCRIPTION_UNCOMMON,"Add stored Affix to an {0}uncommon{1} item","{0,1}=color"
