key,value,comment
MISSION_TUTORIAL,"First Contact","Name of the tutorial mission"
MISSION_ABYSS,"Abyss","Name of all Abyss Missions"
MISSION_ABYSS_DEPTH,"Depth","Abyss Depth"
MISSION_EGG_HUNT,"Egg Hunt","Mission name"
MISSION_BIG_EGG_HUNT,"Big Egg Hunt","Mission name"
MISSION_ASTEROID_FIELD,"Asteroid Field","Mission name"
MISSION_ARENA,"Arena","Mission name"
MISSION_WAVES_OF_CORRUPTION,"Waves of Corruption","Mission name"
MISSION_TREASURE_HUNT,"Treasure Hunt","Mission name"
MISSION_DEFEAT_KOKO,"Defeat Koko","Mission name"
MISSION_THE_BIG_EGG,"The Big Egg","Mission name"
MISSION_CHAMBER_OF_NIHALOR,"Chamber of Nihalor","Mission name"
MISSION_SURVIVE,"Survive","Mission name"
MISSION_INTERLUDE,"Interlude","Mission name"
MISSION_KING_GRUVAKS_CASTLE,"King Gruvak's Castle","Mission name"
MISSION_LAZURITHS_HIDE,"Lazurith's Hide","Mission name"
MISSION_VETH_MARAS_LAIR,"Veth'mara's Lair","Mission name"
MISSION_SEPULCHER_OF_IRON_VIGIL,"Sepulcher of Iron Vigil","Mission name"
MISSION_THE_LOST_OPAL,"The Lost Opal","Mission name"
MISSION_TOMB_OF_VIRA,"Tomb of Vira","Mission name"
MISSION_CRYPT_OF_ETERNAL_VOLTRON,"Crypt of Eternal Voltron","Mission name"
MISSION_ECHOES_OF_THE_PAST,"Echoes of the Past","Mission name"
MISSION_TURTLE_IN_NEED,"Turtle in Need","Mission name"
MISSION_HUNT,"Hunt","Mission name"
MISSION_HAUNTED_SECTOR,"Haunted Sector","Mission name"
MISSION_BUZZER_SPIRAL_SECTOR,"Buzzer Spiral Sector","Mission name"
MISSION_SPARKER_SPIRAL_SECTOR,"Sparker Spiral Sector","Mission name"
MISSION_SHOCKWAVE_SECTOR,"Shockwave Sector","Mission name"
MISSION_PLASMA_PURSUIT,"Plasma Pursuit","Mission name"
MISSION_PLASMA_SECTOR,"Plasma Sector","Mission name"
MISSION_PLASMA_SPIRAL_SECTOR,"Plasma Spiral Sector","Mission name"
MISSION_THORN_SPIRAL,"Thorn Spiral","Mission name"
MISSION_THORN_SECTOR,"Thorn Sector","Mission name"
MISSION_EGGS_TO_THE_NORTH,"Eggs to the North","Mission name"
MISSION_GUNS_TO_THE_WEST,"Guns to the West","Mission name"
MISSION_ROCKETS_TO_THE_EAST,"Rockets to the East","Mission name"
MISSION_BIG_PLASMA_BALLS,"Big Plasma Balls","Mission name"
MISSION_BIG_EXPLOSIVE_ROCKETS,"Big Explosive Rockets","Mission name"
MISSION_BIG_THORNS_SECTOR,"Big Thorns Sector","Mission name"
MISSION_ASTEROID_SPIRAL,"Asteroid Spiral","Mission name"
MISSION_WOLF_SECTOR,"Wolf Sector","Mission name"
MISSION_STAIRS_TO_THE_MOON_KING,"Stairs to the Moon King","Mission name"
MISSION_GUARDIANS_OF_THE_MOON_KING,"Guardians of the Moon King","Mission name"
MISSION_TOWARDS_THE_TOMB_OF_THE_FALLEN_KNIGHT,"Towards the Tomb of the Fallen Knight","Mission name"
MISSION_BACK_TO_THE_ROOTS,"Back to the Roots","Mission name"
MISSION_A_LOST_EGG,"A lost Egg","Mission name"
MISSION_BRAMBLE_PATH,"Bramble Path","Mission name"
MISSION_ASH_PATH,"Ash Path","Mission name"
MISSION_RADIOACTIVE_AREA,"Radioactive Area","Mission name"
MISSION_SCATTERED_AREA,"Scattered Area","Mission name"
MISSION_GUARD_SPIRAL,"Guard Spiral","Mission name"
MISSION_ELECTRIC_DEFENSE_I,"Electric Defense I","Mission name"
MISSION_ELECTRIC_DEFENSE_II,"Electric Defense II","Mission name"
MISSION_ELECTRIC_MADNESS_I,"Electric Madness I","Mission name"
MISSION_ELECTRIC_MADNESS_II,"Electric Madness II","Mission name"
MISSION_ELECTRIC_MADNESS_III,"Electric Madness III","Mission name"
MISSION_CREDITS,"Lost Transmission","Mission name"
MISSION_DESTROY_ALL_ENEMIES_OBJECTIVE,"Destroy all Enemies","Objective"
MISSION_DEFEAT_BOSS_OBJECTIVE,"Defeat {0}","Objective"
MISSION_DEFEAT_BOSS_OBJECTIVE_ONCE_AND_FOR_ALL,"Defeat {0} - Once and for all","Objective, {0}=boss name"
MISSION_DEFEAT_BOSSES_OBJECTIVE,"Defeat {0} Bosses","Objective, {0}=amount"
MISSION_DESTROY_ENEMY_SPIRAL_OBJECTIVE,"Destroy the Enemy Spiral","Objective"
MISSION_DESTROY_ENEMY_WAVES_OBJECTIVE,"Destroy {0} Enemy Waves","Objective, {0}=amount"
MISSION_FIND_TURTLE_EGGS_OBJECTIVE_ONE,"Find {0} Turtle Egg","Objective, {0}=amount-singular"
MISSION_FIND_TURTLE_EGGS_OBJECTIVE_MANY,"Find {0} Turtle Eggs","Objective, {0}=amount-plural"
MISSION_RESCUE_TURTLE_OBJECTIVE,"Destroy all enemies and rescue the Trader Turtle","Objective"
MISSION_SURVIVE_OBJECTIVE,"Survive {0}","Objective, {0}=x seconds"
MISSION_UNLOCK_STASH_OBJECTIVE,"Destroy all enemies and salvage your Stash","Objective"
MISSION_NIHALOR_CHAMBER_OBJECTIVE,"Descend into the Chamber","Objective"
MISSION_KIKI_FALLEN_KNIGHT_OBJECTIVE,"Help Kiki to raid the Tomb of the Fallen Knight","Objective"
MISSION_KIKI_INVESTIGATION_OBJECTIVE,"Investigate what the little fox is up to","Objective"
MISSION_KIKI_RAID_SEPULCHER_OBJECTIVE,"Help Kiki to raid the Sepulcher","Objective"
MISSION_KIKI_LOST_OPAL_OBJECTIVE,"Help Kiki to loot the Lost Opal","Objective"
MISSION_HELP_KIKI_OBJECTIVE,"Help Kiki","Objective"
MISSION_HELP_KIKI_TO_RAID_THE_CRYPT_OBJECTIVE,"Help Kiki to raid the Crypt","Objective"
MISSION_KIKI_RAID_TOMB_OF_ETERNAL_QUEEN_OBJECTIVE,"Help Kiki to raid the Tomb of the Eternal Queen","Objective"
MISSION_TALK_TO_CARLO_OBJECTIVE,"Talk to Carlo","Objective"
MISSION_TALK_TO_KIKI_OBJECTIVE,"Talk to Kiki","Objective"
MISSION_TALK_TO_KIKI_AND_CARLO_OBJECTIVE,"Talk to Kiki and Carlo","Objective"
MISSION_TALK_TO_KING_GRUVAK_OBJECTIVE,"Talk to King Gruvak","Objective"
MISSION_TALK_TO_LAZURITH_OBJECTIVE,"Talk to Lazurith","Objective"
MISSION_TALK_TO_VETH_MARA_OBJECTIVE,"Talk to Veth'mara","Objective"
MISSION_CLAIM_BACK_MANUAL_OBJECTIVE,"Claim back what is yours","Objective"
MISSION_INVESTIGATE_BIG_EGG_OBJECTIVE,"Investigate the Big Egg","Objective"
MISSION_ENEMIES_REMAINING_ONE,"{0} Enemy remaining","{0}=number, singular"
MISSION_ENEMIES_REMAINING_MANY,"{0} Enemies remaining","{0}=number, plural"
MISSION_BOSSES_REMAINING_ONE,"{0} Boss remaining","{0}=number, singular"
MISSION_BOSSES_REMAINING_MANY,"{0} Bosses remaining","{0}=number, plural"
MISSION_EGGS_REMAINING_ONE,"{0} Egg remaining","{0}=number, singular"
MISSION_EGGS_REMAINING_MANY,"{0} Eggs remaining","{0}=number, plural"
MISSION_GET_READY_COUNTDOWN,"Get ready: {0}","{0}=seconds"
MISSION_SURVIVAL_COUNTDOWN,"{0} remaining","{0}=seconds"
MISSION_CREDITS_OBJECTIVE,"A transmission from the Astroloot Team",""
MISSION_CREDITS_DEVELOPMENT,"Development",""
MISSION_CREDITS_GAME_DESIGN,"Game Design",""
MISSION_CREDITS_UX_AND_STORY,"UX and Story",""
MISSION_CREDITS_ADDITIONAL_ARTWORK,"Additional Artwork",""
MISSION_CREDITS_LOCALIZATION,"Localization",""
MISSION_CREDITS_UNIQUE_ITEM_DESIGNERS,"Unique item designers",""
MISSION_CREDITS_SOUND_AND_MUSIC,"Sound & Music",""
MISSION_CREDITS_LIBRARIES,"Powered by",""
MISSION_CREDITS_LAST_BUT_NOT_LEAST,"Last but not least",""
MISSION_CREDITS_THANK_YOU_FOR_PLAYING,"Thank YOU for playing!",""
MISSION_CARLO_DIALOG_RESCUE_1,"Oh, thank the stars! I've been stranded here for days.","Dialog"
MISSION_CARLO_DIALOG_RESCUE_2,"Those Haunters have me on the hook. I don't dare to move.","Dialog"
MISSION_CARLO_DIALOG_RESCUE_3,"Help me out, and you'll get first pick once my shop's back online.","Dialog"
MISSION_CARLO_DIALOG_GIANT_EGG_START_1,"Things are getting strange this deep into the sector...","Dialog"
MISSION_CARLO_DIALOG_GIANT_EGG_START_2,"I can feel it - my stolen eggs must be nearby.","Dialog"
MISSION_CARLO_DIALOG_GIANT_EGG_START_3,"With your help, I know we will find every last one.","Dialog"
MISSION_CARLO_DIALOG_GIANT_EGG_START_4,"Oh, and rumor has it... there's a giant egg somewhere out here. A very giant egg.","Dialog"
MISSION_KIKI_DIALOG_PINK_DIAMOND_START_1,"Pssst! You! Yes, you!","Dialog"
MISSION_KIKI_DIALOG_PINK_DIAMOND_START_2,"You're not gonna believe what I just sniffed out!","Dialog"
MISSION_KIKI_DIALOG_PINK_DIAMOND_START_3,"Only the most legendary, most dazzling, most pink treasure in the entire sector!","Dialog"
MISSION_KIKI_DIALOG_PINK_DIAMOND_START_4,"The Pink Diamond!","Dialog"
MISSION_KIKI_DIALOG_PINK_DIAMOND_START_5,"It's real, and it's being hoarded by the last of Nihalor's creepy old Guardians.","Dialog"
MISSION_KIKI_DIALOG_PINK_DIAMOND_START_6,"You shoot the bad things, I grab the treasure. Just like old times!","Dialog"
MISSION_CARLO_DIALOG_GOLDEN_EGG_START_1,"No one has ever ventured this deep into the sector.","Dialog"
MISSION_CARLO_DIALOG_GOLDEN_EGG_START_2,"The path to the right leads to Drak'Veth.","Dialog"
MISSION_CARLO_DIALOG_GOLDEN_EGG_START_3,"A thief, who stole something of great worth from me long ago.","Dialog"
MISSION_CARLO_DIALOG_GOLDEN_EGG_START_4,"Alone, I stand no chance against him. Will you help me get it back?","Dialog"
MISSION_KIKI_DIALOG_LOST_OPAL_START_1,"Straight ahead lies the lair of King Gruvak.","Dialog"
MISSION_KIKI_DIALOG_LOST_OPAL_START_2,"I'm not sure you're ready for that kind of challenge just yet.","Dialog"
MISSION_KIKI_DIALOG_LOST_OPAL_START_3,"The path to the left leads to the Lost Opal, which I desperately need to have.","Dialog"
MISSION_KIKI_DIALOG_LOST_OPAL_START_4,"Join me, if you want to loot with me on a side quest once more!","Dialog"
MISSION_KING_GRUVAK_DIALOG_1,"Well. Look at you.","Dialog"
MISSION_KING_GRUVAK_DIALOG_2,"You think you're special because you scrapped that deranged mutt and his flea-bitten pup?","Dialog"
MISSION_KING_GRUVAK_DIALOG_3,"My throne is forged from the cores of a thousand fallen ships like yours.","Dialog"
MISSION_KING_GRUVAK_DIALOG_4,"Come, and on behalf of Nihalor, I will end you.","Dialog"
MISSION_LAZURITH_DIALOG_1,"So... the final challenger arrives.","Dialog"
MISSION_LAZURITH_DIALOG_2,"The stars whispered you would come.","Dialog"
MISSION_LAZURITH_DIALOG_3,"I was the last to swear the oath. Not for glory...","Dialog"
MISSION_LAZURITH_DIALOG_4,"...but to keep Nihalor sleeping.","Dialog"
MISSION_LAZURITH_DIALOG_5,"Strike true, if you must. But know this:","Dialog"
