key,value,comment
SKILL_ARMOR,"Armor","Skill node"
SKILL_ARMOR_AND_MASS,"Armor and Mass","Skill node"
SKILL_MULTICRIT,"Multicrit","Skill node"
SKILL_DAMAGE_OVER_TIME,"Damage over Time","Skill node"
SKILL_PESTILENCE,"Pestilence","Skill node"
SKILL_DAMAGE_OVER_TIME_AND_TIME,"Damage over Time and Time","Skill node"
SKILL_NECROBLAST,"Necroblast","Skill node"
SKILL_EXPLOSIVE_NECROBLAST,"Explosive Necroblast","Skill node"
SKILL_PLASMA_NECROBLAST,"Plasma Necroblast","Skill node"
SKILL_ELECTRIC_NECROBLAST,"Electric Necroblast","Skill node"
SKILL_NUCLEAR_NECROBLAST,"Nuclear Necroblast","Skill node"
SKILL_MINION_DAMAGE,"Minion Damage","Skill node"
SKILL_MINION_ARMOR,"Minion Armor","Skill node"
SKILL_RADIANT_ANNIHILATION,"Radiant Annihilation","Skill node"
SKILL_RADIATION_CHANCE,"Radiation Chance","Skill node"
SKILL_DASH_AND_ENERGY,"Dash and Energy","Skill node"
SKILL_ENGINE_DAMAGE,"Engine Damage","Skill node"
SKILL_ENGINE_DAMAGE_AND_RECHARGE,"Engine Damage and Recharge","Skill node"
SKILL_DASH_RECHARGE,"Dash Recharge","Skill node"
SKILL_THERMAL_DAMAGE_AND_ENERGY,"Thermal Damage and Energy","Skill node"
SKILL_THERMAL_DAMAGE,"Thermal Damage","Skill node"
SKILL_EXPLOSIVE_DAMAGE,"Explosive Damage","Skill node"
SKILL_PLASMA_DAMAGE,"Plasma Damage","Skill node"
SKILL_ELECTRIC_DAMAGE,"Electric Damage","Skill node"
SKILL_DEFLECTOR_SHIELD_AND_ENERGY,"Deflector Shield and Energy","Skill node"
SKILL_CRITICAL_STRIKE_CHANCE,"Critical Strike Chance","Skill node"
SKILL_CRITICAL_STRIKE_DAMAGE,"Critical Strike Damage","Skill node"
SKILL_ATTACK_SPEED,"Attack Speed","Skill node"
SKILL_ATTACK_SPEED_AND_TIME,"Attack Speed and Time","Skill node"
SKILL_REPAIR_ARMOR,"Repair Armor","Skill node"
SKILL_KINETIC_DAMAGE,"Kinetic Damage","Skill node"
SKILL_KINETIC_DAMAGE_AND_MASS,"Kinetic Damage and Mass","Skill node"
SKILL_KINETIC_DAMAGE_AND_ATTACK_SPEED,"Kinetic Damage and Attack Speed","Skill node"
SKILL_NUCLEAR_DEFLECTION,"Nuclear Deflection","Skill node"
SKILL_DODGE,"Dodge","Skill node"
SKILL_DODGE_AND_TIME,"Dodge and Time","Skill node"
SKILL_DODGE_AND_ARMOR,"Dodge and Armor","Skill node"
SKILL_DODGE_AND_DEFLECTOR_SHIELD,"Dodge and Deflector Shield","Skill node"
SKILL_PHANTOM,"Phantom","Skill node"
SKILL_ATTACK_SPEED_AND_VELOCITY,"Attack Speed and Velocity","Skill node"
SKILL_VERSATILE_TIME,"Versatile Time","Skill node"
SKILL_VERSATILE_MASS,"Versatile Mass","Skill node"
SKILL_VERSATILE_ENERGY,"Versatile Energy","Skill node"
SKILL_MACH_42,"Mach 42","Skill node"
SKILL_BASTION,"Bastion","Skill node"
SKILL_REVITRON,"Revitron","Skill node"
SKILL_AREA_DAMAGE,"Area Damage","Skill node"
SKILL_AREA_OF_EFFECT,"Area of Effect","Skill node"
SKILL_GIGA_QUAKE,"Giga Quake","Skill node"
SKILL_MINION_COMMANDER,"Minion Commander","Skill node"
SKILL_NUCLEAR_DAMAGE,"Nuclear Damage","Skill node"
SKILL_FALLOUT,"Fallout","Skill node"
SKILL_TITAN_FIST,"Titan Fist","Skill node"
SKILL_PILE_OF_RUINS,"Pile of Ruins","Skill node"
SKILL_DEBRIS_CHANCE,"Debris Chance","Skill node"
SKILL_DEBRIS_DAMAGE,"Debris Damage","Skill node"
SKILL_ARMOR_LEECH,"Armor Leech","Skill node"
SKILL_ARMOR_INFUSION,"Armor Infusion","Skill node"
SKILL_DASH_ON_HIT,"Dash on Hit","Skill node"
SKILL_DASH_INFUSION,"Dash Infusion","Skill node"
SKILL_DANGER_ZONE,"Danger Zone","Skill node"
SKILL_DEBRIS_WASTELAND,"Debris Wasteland","Skill node"
SKILL_COLOSSUS,"Colossus","Skill node"
SKILL_SOLOIST,"Soloist","Skill node"
SKILL_MASOCHIST,"Masochist","Skill node"
SKILL_HEAVY_IMPACT,"Heavy Impact","Skill node"
SKILL_ZEALOT,"Zealot","Skill node"
SKILL_PROJECTILE_DAMAGE,"Projectile Damage","Skill node"
SKILL_MELEE_DAMAGE,"Melee Damage","Skill node"
SKILL_NECK_PUNCH,"Neck Punch","Skill node"
SKILL_FIERCE_AMMO,"Fierce Ammo","Skill node"
SKILL_SPIRIT_ANIMAL_VORAK,"Strength in Silence","Description of Vorak Spirit Animal"
SKILL_SPIRIT_ANIMAL_BALU,"Embrace your inner Strength","Description of Balu Spirit Animal"
SKILL_SPIRIT_ANIMAL_POKI,"Poki wants it all","Description of Poki Spirit Animal"
SKILL_SPIRIT_ANIMAL_SHAE,"Symphony of Digital Chaos","Description of Shae Spirit Animal"
SKILL_SPIRIT_ANIMAL_LIN,"Unleash your Pandamonium","Description of Lin Spirit Animal"
SKILL_SPIRIT_ANIMAL_BALTIMORE,"Tiny bird, big boom","Description of Baltimore Spirit Animal"
SKILL_SPIRIT_ANIMAL_HULI,"Swift Cosmic Prankster","Description of Huli Spirit Animal"
SKILL_SPIRIT_ANIMAL_IVY,"All machines obey her will","Description of Ivy Spirit Animal"
SKILL_SPIRIT_ANIMAL_LORD_CHICKEN,"Bawk, bawk, bawk","Description of Lord Chicken Spirit Animal"
SKILL_CHOOSE_SPIRIT_ANIMAL_TITLE,"Spirit Animal","Overlay to encourage player to choose a Spirit Animal"
SKILL_CHOOSE_SPIRIT_ANIMAL_DESCRIPTION,"Choose your Spirit Animal","Overlay to encourage player to choose a Spirit Animal"
SKILL_CHAIN_REACTION,"Chain Reaction","Skill node"
SKILL_MELTDOWN,"Meltdown","Skill node"
SKILL_KINETIC_FUSION,"Kinetic Fusion","Skill node"
SKILL_THERMAL_FUSION,"Thermal Fusion","Skill node"
SKILL_MULI,"Muli the Evil Twin","Skill node"
SKILL_ATOMIC_BARRIER,"Atomic Barrier","Skill node"
SKILL_ATOMIC_CONVERSION,"Atomic Conversion","Skill node"
SKILL_ZULI,"Zuli the Evil Grandpa","Skill node"
SKILL_HOST_OVERLOAD,"Host Overload","Skill node"
SKILL_PARASITIC_SWARM,"Parasitic Swarm","Skill node"
SKILL_INFECTION_INFUSION,"Infection Infusion","Skill node"
SKILL_CHICKEN_OUT,"Chicken Out","Skill node"
SKILL_FEATHERED_AGILITY,"Feathered Agility","Skill node"
SKILL_PLUMAGE_ARMOR,"Plumage Armor","Skill node"
SKILL_ROOSTER_SHIELD,"Rooster Shield","Skill node"
SKILL_JETSTREAM_FURY,"Jetstream Fury","Skill node"
SKILL_CHICKEN_BLITZ,"Chicken Blitz","Skill node"
SKILL_ENGINE_ECHO,"Engine Echo","Skill node"
SKILL_ALL_RESISTANCES,"All Resistances","Skill node"
SKILL_KINETIC_RESISTANCE,"Kinetic Resistance","Skill node"
SKILL_NUCLEAR_RESISTANCE,"Nuclear Resistance","Skill node"
SKILL_KINETIC_FORTRESS,"Kinetic Fortress","Skill node"
SKILL_NUCLEAR_FORTRESS,"Nuclear Fortress","Skill node"
SKILL_RADIATION_DAMAGE,"Radiation Damage","Skill node"
SKILL_JUNKYARD,"Junkyard","Skill node"
SKILL_SHATTER_STORM,"Shatter Storm","Skill node"
SKILL_TANK,"Tank","Skill node"
SKILL_PLATES_OF_VALOR,"Plates of Valor","Skill node"
SKILL_GALVANIC_SURGE,"Galvanic Surge","Skill node"
SKILL_ATOMIC_ASSAULT,"Atomic Assault","Skill node"
