key,value,comment,english
ATTRIBUTE_FLAT_MASS,"{0} to Mass","Adds flat Mass, e.g +2 to Mass, or -4 to Mass","{0} to Mass"
ATTRIBUTE_FLAT_ENERGY,"{0} to Energy","Adds flat Energy, e.g +2 to Energy, or -4 to Energy","{0} to Energy"
ATTRIBUTE_FLAT_TIME,"{0} to Time","Adds flat Time, e.g +2 to Time, or -4 to Time","{0} to Time"
ATTRIBUTE_NON_CRITICAL_STRIKES_DEAL_NO_DAMAGE,"Non-Critical Strikes deal no Damage","","Non-Critical Strikes deal no Damage"
ATTRIBUTE_NON_CRITICAL_STRIKES_DEAL_MORE_DAMAGE,"Non-Critical Strikes deal {0} more Damage","{0}=percentage","Non-Critical Strikes deal {0} more Damage"
ATTRIBUTE_NON_CRITICAL_STRIKES_DEAL_LESS_DAMAGE,"Non-Critical Strikes deal {0} less Damage","{0}=percentage","Non-Critical Strikes deal {0} less Damage"
ATTRIBUTE_FLAT_MULTICRIT,"{0} Multicrit","Adds Multicrit, e.g. +2 Multicrit","{0} Multicrit"
ATTRIBUTE_INCREASED_DAMAGE_OVER_TIME,"{0} increased Damage over Time","{0}=percentage","{0} increased Damage over Time"
ATTRIBUTE_REDUCED_DAMAGE_OVER_TIME,"{0} reduced Damage over Time","{0}=percentage","{0} reduced Damage over Time"
ATTRIBUTE_MORE_DAMAGE_OVER_TIME,"{0} more Damage over Time","{0}=percentage","{0} more Damage over Time"
ATTRIBUTE_LESS_DAMAGE_OVER_TIME,"{0} less Damage over Time","{0}=percentage","{0} less Damage over Time"
ATTRIBUTE_NECROBLAST,"When one of your Minions dies,\n{0} of its maximum Armor is dealt\nas {1}Kinetic Damage{2} in {3} range","{0}=percentage of Armor, e.g. 500%\n{1,2}=damage color highlighting\n{3}=range, e.g. 400","When one of your Minions dies,\n{0} of its maximum Armor is dealt\nas {1}Kinetic Damage{2} in {3} range"
ATTRIBUTE_NECROBLAST_EXPLOSIVE_CONVERSION,"{0} Necroblast Damage converted to {1}Explosive{2} Damage","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Explosive{2} Damage"
ATTRIBUTE_NECROBLAST_PLASMA_CONVERSION,"{0} Necroblast Damage converted to {1}Plasma{2} Damage","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Plasma{2} Damage"
ATTRIBUTE_NECROBLAST_ELECTRIC_CONVERSION,"{0} Necroblast Damage converted to {1}Electric{2} Damage","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Electric{2} Damage"
ATTRIBUTE_NECROBLAST_NUCLEAR_CONVERSION,"{0} Necroblast Damage converted to {1}Nuclear{2} Damage","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Nuclear{2} Damage"
ATTRIBUTE_INCREASED_MINION_DAMAGE,"Minions deal {0} increased Damage","{0}=percentage","Minions deal {0} increased Damage"
ATTRIBUTE_REDUCED_MINION_DAMAGE,"Minions deal {0} reduced Damage","{0}=percentage","Minions deal {0} reduced Damage"
ATTRIBUTE_MORE_MINION_DAMAGE,"Minions deal {0} more Damage","{0}=percentage","Minions deal {0} more Damage"
ATTRIBUTE_LESS_MINION_DAMAGE,"Minions deal {0} less Damage","{0}=percentage","Minions deal {0} less Damage"
ATTRIBUTE_INCREASED_MINION_ARMOR,"Minions have {0} increased Armor","{0}=percentage","Minions have {0} increased Armor"
ATTRIBUTE_REDUCED_MINION_ARMOR,"Minions have {0} reduced Armor","{0}=percentage","Minions have {0} reduced Armor"
ATTRIBUTE_MORE_MINION_ARMOR,"Minions have {0} more Armor","{0}=percentage, e.g. 10%","Minions have {0} more Armor"
ATTRIBUTE_LESS_MINION_ARMOR,"Minions have {0} less Armor","{0}=percentage, e.g. 10%","Minions have {0} less Armor"
ATTRIBUTE_INCREASED_MINION_SPAWN_RATE,"Minions spawn {0} faster","{0}=percentage","Minions spawn {0} faster"
ATTRIBUTE_REDUCED_MINION_SPAWN_RATE,"Minions spawn {0} slower","{0}=percentage","Minions spawn {0} slower"
ATTRIBUTE_INCREASED_MINION_ATTACK_SPEED,"Minions have {0} increased Attack Speed","{0}=percentage","Minions have {0} increased Attack Speed"
ATTRIBUTE_REDUCED_MINION_ATTACK_SPEED,"Minions have {0} reduced Attack Speed","{0}=percentage","Minions have {0} reduced Attack Speed"
ATTRIBUTE_INCREASED_MINION_ATTACK_SPEED_PER_MINION_LEVEL,"Minions have {0} increased Attack Speed per Minion Level","{0}=percentage","Minions have {0} increased Attack Speed per Minion Level"
ATTRIBUTE_INCREASED_MINION_DAMAGE_PER_MINION_LEVEL,"Minions deal {0} increased Damage per Minion Level","{0}=percentage","Minions deal {0} increased Damage per Minion Level"
ATTRIBUTE_INCREASED_MINION_ARMOR_PER_MINION_LEVEL,"Minions have {0} increased Armor per Minion Level","{0}=percentage","Minions have {0} increased Armor per Minion Level"
ATTRIBUTE_MINION_ARMOR_REPAIR,"Minions repair {0} of maximum Armor per Second","{0}=percentage","Minions repair {0} of maximum Armor per Second"
ATTRIBUTE_MINION_LEVEL,"{0} to level of all Minions","{0}=amount, e.g. +2","{0} to level of all Minions"
ATTRIBUTE_MINION_ALL_RESISTANCES,"Minions have {0} to all Resistances","{0}=percentage","Minions have {0} to all Resistances"
ATTRIBUTE_MINION_THERMAL_RESISTANCES,"Minions have {0} to {1}Thermal{2} Resistances","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Thermal{2} Resistances"
ATTRIBUTE_MINION_KINETIC_RESISTANCE,"Minions have {0} to {1}Kinetic{2} Resistance","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Kinetic{2} Resistance"
ATTRIBUTE_MINION_EXPLOSIVE_RESISTANCE,"Minions have {0} to {1}Explosive{2} Resistance","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Explosive{2} Resistance"
ATTRIBUTE_MINION_PLASMA_RESISTANCE,"Minions have {0} to {1}Plasma{2} Resistance","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Plasma{2} Resistance"
ATTRIBUTE_MINION_ELECTRIC_RESISTANCE,"Minions have {0} to {1}Electric{2} Resistance","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Electric{2} Resistance"
ATTRIBUTE_MINION_NUCLEAR_RESISTANCE,"Minions have {0} to {1}Nuclear{2} Resistance","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Nuclear{2} Resistance"
ATTRIBUTE_HITS_DEAL_NO_NUCLEAR_DAMAGE,"Hits deal no {0}Nuclear{1} Damage","{0,1}=color highlight marker","Hits deal no {0}Nuclear{1} Damage"
