key,value,comment,english
BOON_ARMOR_OF_THE_MOON_KING,"月王のアーマー","Boon","Armor of the Moon King"
BOON_SHIELD_OF_THE_MOON_KING,"月王のシールド","Boon","Shield of the Moon King"
BOON_AGILITY_OF_THE_MOON_KING,"月王の敏捷性","Boon","Agility of the Moon King"
BOON_HIDE_OF_KING_GRUVAK,"グルヴァック王の外皮","Boon","Hide of King Gruvak"
BOON_HORNS_OF_KING_GRUVAK,"グルヴァック王の角","Boon","Horns of King Gruvak"
BOON_ENDURANCE_OF_KING_GRUVAK,"グルヴァック王の耐久力","Boon","Endurance of King Gruvak"
BOON_TOOTH_OF_VETH_MARA,"ベスマラの歯","Boon","Tooth of Veth'mara"
BOON_SHELL_OF_VETH_MARA,"ベスマラのシェル","Boon","Shell of Veth'mara"
BOON_COCOON_OF_VETH_MARA,"ベスマラの繭","Boon","Cocoon of Veth'mara"
BOON_OMEN_OF_LAZURITH,"ラズリスのオーメン","Boon","Omen of Lazurith"
BOON_VAULT_OF_LAZURITH,"ラズリスの宝物庫","Boon","Vault of Lazurith"
BOON_WISDOM_OF_LAZURITH,"ラズリスの知恵","Boon","Wisdom of Lazurith"
