key,value,comment,english
BUFF_AEGIS_FIELD,"イージスフィールド","","Aegis Field"
BUFF_AEGIS_FIELD_DESCRIPTION,"デフレクターシールドが増加する","","Grants increased Deflector Shield"
BUFF_ARMOR_REPAIR_FIELD_RESILIENCE,"耐久性","","Resilience"
BUFF_ARMOR_REPAIR_FIELD_BULWARK,"ブルワーク","","Bulwark"
BUFF_ARMOR_REPAIR_FIELD_DESCRIPTION,"アーマー修理が増加する","","Grants increased Armor Repair"
BUFF_BLASTGUARD_FIELD,"ブラストガードフィールド","","Blastguard Field"
BUFF_BLASTGUARD_FIELD_DESCRIPTION,"爆発耐性が増加する","","Grants increased Explosive Resistance"
BUFF_BLIND,"盲目","","Blind"
BUFF_BLIND_DESCRIPTION,"盲目状態の間、与ダメージが減少し、移動速度が低下する","","Deal less Damage and move slower while blinded"
BUFF_VENOM_BOOST,"毒ブースト","","Venom Boost"
BUFF_VENOM_BOOST_DESCRIPTION,"継続ダメージが増加する","","Grants more Damage over Time"
BUFF_TURBO_BOOST,"ターボブースト","","Turbo Boost"
BUFF_TURBO_BOOST_DESCRIPTION,"アタックスピードが増加する","","Grants increased Attack Speed"
BUFF_SHIELD_BOOST,"シールドブースト","","Shield Boost"
BUFF_SHIELD_BOOST_DESCRIPTION,"被ダメージが減少する","","Grants less Damage Taken"
BUFF_FOCUS_BOOST,"フォーカスブースト","","Focus Boost"
BUFF_FOCUS_BOOST_DESCRIPTION,"クリティカルストライク率が増加する","","Grants increased Critical Strike Chance"
BUFF_FORGE_BOOST,"鍛冶場ブースト","","Forge Boost"
BUFF_FORGE_BOOST_DESCRIPTION,"アーマー修理が増加する","","Grants increased Armor Repair"
BUFF_DASH_REGENERATION_FIELD_RECHARGE,"リチャージ","","Recharge"
BUFF_DASH_REGENERATION_FIELD_DESCRIPTION,"ダッシュの自動回復が増加する","","Grants increased Dash Regeneration"
BUFF_DIAMOND_FIELD,"ダイヤモンドフィールド","","Diamond Field"
BUFF_DIAMOND_FIELD_DESCRIPTION,"耐性が増加する","","Grants increased Resistances"
BUFF_ECLIPSE_FIELD,"エクリプスフィールド","","Eclipse Field"
BUFF_ECLIPSE_FIELD_DESCRIPTION,"プラズマ耐性が増加する","","Grants increased Plasma Resistance"
BUFF_ENERGY_FIELD,"エネルギーフィールド","","Energy Field"
BUFF_ENERGY_FIELD_DESCRIPTION,"エネルギーが増加する","","Grants increased Energy"
BUFF_FARADAY_FIELD,"ファラデーフィールド","","Faraday Field"
BUFF_FARADAY_FIELD_DESCRIPTION,"電気耐性が増加する","","Grants increased Electric Resistance"
BUFF_HOP,"ホップ","","Hop"
BUFF_HOP_DESCRIPTION,"ホップ中とその直後は、被ダメージが減少する","","Take less damage while and shortly after hopping"
BUFF_MELEE,"近接","","Melee"
BUFF_MELEE_DESCRIPTION,"被ダメージが減少する","","Grants less Damage Taken"
BUFF_LETHALITY_FIELD,"致死性フィールド","","Lethality Field"
BUFF_LETHALITY_FIELD_DESCRIPTION,"クリティカルストライク率とダメージが増加する","","Grants increased critical strike chance and damage"
BUFF_MASS_FIELD,"質量フィールド","","Mass Field"
BUFF_MASS_FIELD_DESCRIPTION,"質量が増加する","","Grants increased Mass"
BUFF_MINION_COUNT_ONE,"{0}体の{1}をコントロールする","{0}=amount, {1}=singular minion name","You control {0} {1}"
BUFF_MINION_COUNT_MANY,"{0}体の{1}をコントロールする","{0}=amount, {1}=plural minion name","You control {0} {1}"
BUFF_RETALIATION_INSTINCT,"報復本能","","Retaliation Instinct"
BUFF_RETALIATION_INSTINCT_DESCRIPTION,"与ダメージが増加する","","Grants increased Damage"
BUFF_SHAMROCK_FIELD,"シャムロックフィールド","","Shamrock Field"
BUFF_SHAMROCK_FIELD_DESCRIPTION,"運が増加する","","Grants more Luck"
BUFF_TIME_FIELD,"時間フィールド","","Time Field"
BUFF_TIME_FIELD_DESCRIPTION,"時間が増加する","","Grants increased Time"
BUFF_INCREASED_WEAPON_DAMAGE,"{0}の与ダメージが{1}増加","{0}=item name, {1}=percentage","{0} has gained {1} increased Damage"
BUFF_WINGS,"翼","","Wings"
BUFF_WINGS_DESCRIPTION,"アタックスピードが増加する","","Grants increased Attack Speed"
BUFF_WISDOM,"知恵","","Wisdom"
BUFF_WISDOM_DESCRIPTION,"獲得経験値が増加する","","Grants increased Experience"
BUFF_GLUTTONY,"グラトニー","","Gluttony"
BUFF_GLUTTONY_DESCRIPTION,"パワーアップを回収するごとに、質量が増加する","","Grants increased Mass per collected Power-Up"
BUFF_LOOT_BARRIER,"ルートバリア","","Loot Barrier"
BUFF_LOOT_BARRIER_DESCRIPTION,"パワーアップを回収するごとに、被ダメージが減少する","","Grants less damage taken per collected Power-Up"
BUFF_RAVENOUS_RICHES,"貪欲な富","","Ravenous Riches"
BUFF_RAVENOUS_RICHES_DESCRIPTION,"パワーアップを回収するごとに、与ダメージが増加する","","Grants more damage per collected Power-Up"
BUFF_COOP,"協力","","Co-op"
BUFF_COOP_DESCRIPTION,"パーティでプレイ中\n敵のアーマーが{0}増加","{0}=percentage","You are in a party\nEnemies have {0} more armor"
BUFF_COOP_DESTROYED_DESCRIPTION,"パートナーが破壊された\n頼れるのは自分だけ","","Your partner has been destroyed\nYou are on your own"
