key,value,comment,english
ENEMY_ASH_QUEEN,"灰の女王","","Ash Queen"
ENEMY_ASTEROID,"小惑星","","Asteroid"
ENEMY_ASTEROID_SUMMONER,"小惑星の召喚士","","Asteroid Summoner"
ENEMY_AZATHOTH,"アザトース","","Azathoth"
ENEMY_RUST_BARON,"錆男爵","","The Rust Baron"
ENEMY_RUST_BARON_II,"錆男爵 II号","","The Rust Baron II"
ENEMY_BIG_ASTEROID,"大型小惑星","","Big Asteroid"
ENEMY_BIG_EGG_GUARD,"巨大な卵のガード","","Big Egg Guard"
ENEMY_BIG_GUNNER,"大型砲手","","Big Gunner"
ENEMY_BIG_GUN_TURRET,"大型砲塔","","Big Gun Turret"
ENEMY_BIG_ROCKETEER,"大型ロケット技師","","Big Rocketeer"
ENEMY_BIG_SLINGER,"大型スリンガー","","Big Slinger"
ENEMY_BIG_SPARKER,"大型スパーカー","","Big Sparker"
ENEMY_BIG_SPORER,"大型スポーラー","","Big Sporer"
ENEMY_BIG_THORNS,"大型ソーンズ","","Big Thorns"
ENEMY_BLAST_GUNNER,"ブラスト砲手","","Blast Gunner"
ENEMY_BOOMER,"ブーマー","","Boomer"
ENEMY_BOOMSMITH,"ブームスミス","","Boomsmith"
ENEMY_BRAMBLE_QUEEN,"茨の女王","","Bramble Queen"
ENEMY_BUZZER,"ブザー","","Buzzer"
ENEMY_CONTAMINATOR,"コンタミネーター","","Contaminator"
ENEMY_DRAK_VETH,"ドラクベス","","Drak'Veth"
ENEMY_EAGLE_EYE,"イーグルアイ","","Eagle Eye"
ENEMY_EAGLE_EYE_II,"イーグルアイ II号","","Eagle Eye II"
ENEMY_EGG_GUARD,"卵のガード","","Egg Guard"
ENEMY_ELECTRO_BOOMER,"エレクトロブーマー","","Electro Boomer"
ENEMY_ELECTRO_GUN_TURRET,"エレクトロ砲塔","","Electro Gun Turret"
ENEMY_FIERY_SQUIRE,"炎の従騎士","","Fiery Squire"
ENEMY_ICICLE_SQUIRE,"氷の従騎士","","Icicle Squire"
ENEMY_KING_GRUVAK,"グルヴァック王","","King Gruvak"
ENEMY_UBER_KING_GRUVAK,"グルヴァック皇帝","","Emperor Gruvak"
ENEMY_GUNNER,"砲手","","Gunner"
ENEMY_GUN_TURRET,"砲塔","","Gun Turret"
ENEMY_HAUNTER,"ハウンター","","Haunter"
ENEMY_ICY_ASTEROID,"氷の小惑星","","Icy Asteroid"
ENEMY_IONIZER,"イオナイザー","","Ionizer"
ENEMY_JUNK_LORD,"ジャンクロード","","Junk Lord"
ENEMY_KOKO,"ココ","","Koko"
ENEMY_LAZURITH,"ラズリス","","Lazurith"
ENEMY_MATILDA,"マチルダ","","Matilda"
ENEMY_MOTHERSHIP,"マザーシップ","","Mothership"
ENEMY_NIHALOR,"ニヘイラー","","Nihalor"
ENEMY_NUCLEAR_BOOMER,"核攻撃ブーマー","","Nuke-Boomer"
ENEMY_OWL_OF_WISDOM,"賢者のフクロウ","","Owl of Wisdom"
ENEMY_ROCKETEER,"ロケット技師","","Rocketeer"
ENEMY_ROCKTHORN,"ロックソーン","","Rockthorn"
ENEMY_ROCKTHORN_II,"ロックソーン II号","","Rockthorn II"
ENEMY_SER_ASTEROID,"サー・アステロイド","","Ser Asteroid"
ENEMY_SHOCKER,"ショッカー","","Shocker"
ENEMY_SLINGER,"スリンガー","","Slinger"
ENEMY_SLURXON,"スラークソン","","Slurxon"
ENEMY_SNOWMAN,"雪だるま","","Snowman"
ENEMY_SPARKER,"スパーカー","","Sparker"
ENEMY_SPORER,"スポーラー","","Sporer"
ENEMY_ABYSS_STRUDEL,"アビスシュトゥルーデル","Hint: has nothing to do with the Abyss end-game sector","Abyss Strudel"
ENEMY_THORN_KNIGHT,"ソーンナイト","","Thorn Knight"
ENEMY_THORNS,"ソーンズ","","Thorns"
ENEMY_THUNDERHEART,"サンダーハート","","Thunderheart"
ENEMY_THUNDERHEART_II,"サンダーハート II号","","Thunderheart II"
ENEMY_TREASURE,"財宝三昧","","Treasure"
ENEMY_TRINITY,"トリニティ","","Trinity"
ENEMY_UBER_BARON,"ウーバー男爵","","Uber Baron"
ENEMY_UBER_DRAK_VETH,"ウーバー・ドラクベス","","Uber Drak'Veth"
ENEMY_VETH_MARA,"ベスマラ","","Veth'mara"
ENEMY_MOON_KING,"月王","","The Moon King"
ENEMY_MOON_CROW,"月カラス","","Moon Crow"
ENEMY_WULFRIC,"ウルフリック","","Wulfric"
ENEMY_BAT,"バット","","Bat"
ENEMY_BIG_BAT,"大型バット","","Big Bat"
ENEMY_BAT_BARON,"バット男爵","","Bat Baron"
ENEMY_SHARD_GOBLIN,"シャードゴブリン","","Shard Goblin"
ENEMY_SHARD_KNIGHT,"シャードナイト","","Shard Knight"
ENEMY_OCTRON,"オクトロン","","Octron"
ENEMY_DRAGON_NUCLEAR,"星喰らいのベスラドン","","Veth'Radon, the Star Eater"
ENEMY_DRAGON_KINETIC,"鉄の疾風、ドラクメック","","Drak'Mech, the Iron Gale"
ENEMY_DRAGON_PLASMA,"太陽の怒り、ソルテリス","","Sol'Theris, the Sun's Wrath"
ENEMY_DRAGON_ELECTRIC,"嵐の死神、ヴォルトロックス","","Vol'Trox, the Storm Reaper"
ENEMY_DRAGON_EXPLOSIVE,"デトネーターのピルザー","","Pyrr'Zar, the Detonator"
