key,value,comment,english
GLOSSARY_KINETIC,"Kinetic","Used to search and highlight Kinetic damage type in descriptions","Kinetic"
GLOSSARY_KINETIC_DESCRIPTION,"Kinetic Damage is caused by physical impacts.","","Kinetic Damage is caused by physical impacts."
GLOSSARY_EXPLOSIVE,"Explosive","Used to search and highlight Explosive damage type in descriptions","Explosive"
GLOSSARY_EXPLOSIVE_DESCRIPTION,"Explosive Damage is caused by AoE blasts or massive heat.","","Explosive Damage is caused by AoE blasts or massive heat."
GLOSSARY_PLASMA,"Plasma","Used to search and highlight Plasma damage type in descriptions","Plasma"
GLOSSARY_PLASMA_DESCRIPTION,"Plasma Damage is caused by lasers or other high energetic waves.","","Plasma Damage is caused by lasers or other high energetic waves."
GLOSSARY_ELECTRIC,"Electric","Used to search and highlight Electric damage type in descriptions","Electric"
GLOSSARY_ELECTRIC_DESCRIPTION,"Electric Damage is caused by lightning or sparks.","","Electric Damage is caused by lightning or sparks."
GLOSSARY_NUCLEAR,"Nuclear","Used to search and highlight Nuclear damage type in descriptions","Nuclear"
GLOSSARY_NUCLEAR_DESCRIPTION,"Nuclear Damage is caused by atomic weapons or radiation. It inherently bypasses Deflector Shield.","","Nuclear Damage is caused by atomic weapons or radiation. It inherently bypasses Deflector Shield."
GLOSSARY_THERMAL,"Thermal","Used to search and highlight Thermal damage type in descriptions","Thermal"
GLOSSARY_THERMAL_DESCRIPTION,"{0}Thermal{1} Damage types are {2}Explosive{3}, {4}Plasma{5} and {6}Electric{7}.\n\nWhen damage is converted from a thermal damage type, {8}Thermal{9} Damage modifiers apply at {10} of their value.","{0-9}=color markers, {10}=percentage","{0}Thermal{1} Damage types are {2}Explosive{3}, {4}Plasma{5} and {6}Electric{7}.\n\nWhen damage is converted from a thermal damage type, {8}Thermal{9} Damage modifiers apply at {10} of their value."
GLOSSARY_PIERCE,"Pierce","Used as title for Glossary entry","Pierce"
GLOSSARY_PIERCE_DESCRIPTION,"Projectiles that hit an enemy and pierce are not removed. They continue traveling along their path.","Used to as description for Glossary entry","Projectiles that hit an enemy and pierce are not removed. They continue traveling along their path."
GLOSSARY_RANGE,"Range","","Range"
GLOSSARY_RANGE_DESCRIPTION,"Range determines how far away enemies can be targeted and attacked with a weapon.","","Range determines how far away enemies can be targeted and attacked with a weapon."
GLOSSARY_ATTRIBUTES,"Attributes","Used as title in Glossary","Attributes"
