key,value,comment,english
ITEM_INTRINSIC_QUALITY_SCRAP,"Scrap","Intrinsic quality of an item","Scrap"
ITEM_INTRINSIC_QUALITY_RUSTY,"Rusty","Intrinsic quality of an item","Rusty"
ITEM_INTRINSIC_QUALITY_AUGMENTED,"Augmented","Intrinsic quality of an item","Augmented"
ITEM_INTRINSIC_QUALITY_ENHANCED,"Enhanced","Intrinsic quality of an item","Enhanced"
ITEM_INTRINSIC_QUALITY_EXCEPTIONAL,"Exceptional","Intrinsic quality of an item","Exceptional"
ITEM_INTRINSIC_QUALITY_HEAVY,"Heavy","Intrinsic quality of an item","Heavy"
ITEM_INTRINSIC_QUALITY_ELITE,"Elite","Intrinsic quality of an item","Elite"
ITEM_INTRINSIC_QUALITY_RELIC,"Relic","Intrinsic quality of an item","Relic"
ITEM_INTRINSIC_QUALITY_ELDER,"Elder","Intrinsic quality of an item","Elder"
ITEM_INTRINSIC_QUALITY_ANCIENT,"Ancient","Intrinsic quality of an item","Ancient"
ITEM_INTRINSIC_QUALITY_ETERNAL,"Eternal","Intrinsic quality of an item","Eternal"
ITEM_CATEGORY_WEAPON,"Weapon","item category","Weapon"
ITEM_CATEGORY_SHIELD,"Shield","item category","Shield"
ITEM_CATEGORY_CORE,"Core","item category","Core"
ITEM_CATEGORY_ENGINE,"Engine","item category","Engine"
ITEM_CATEGORY_NEXUS,"Nexus","item category","Nexus"
ITEM_CATEGORY_MOD,"Mod","item category","Mod"
ITEM_CATEGORY_CHIP,"Chip","item category","Chip"
ITEM_CATEGORY_DICE,"Dice","item category","Dice"
ITEM_CATEGORY_REWARD,"Reward","item category","Reward"
ITEM_CATEGORY_QUEST_ITEM,"Quest Item","item category","Quest Item"
ITEM_CATEGORY_SECTOR_ITEM,"Sector","item category","Sector"
ITEM_CATEGORY_SECTOR_CHIP,"Sector Chip","item category","Sector Chip"
ITEM_TAG_ATTACK,"Attack","item tag","Attack"
ITEM_TAG_ATTACK_SPEED,"Attack Speed","item tag","Attack Speed"
ITEM_TAG_RANGE,"Range","item tag","Range"
ITEM_TAG_FIELD,"Field","item tag","Field"
ITEM_TAG_AOE,"AoE","item tag","AoE"
ITEM_TAG_PROJECTILE,"Projectile","item tag","Projectile"
ITEM_TAG_DOT,"DoT","item tag","DoT"
ITEM_TAG_HIT,"Hit","item tag","Hit"
ITEM_TAG_MINION,"Minion","item tag","Minion"
ITEM_TAG_PARASITE,"Parasite","item tag","Parasite"
ITEM_TAG_VIRUS,"Virus","item tag","Virus"
ITEM_TAG_VIRUS_FIELD,"Virus Field","item tag","Virus Field"
ITEM_TAG_MELEE,"Melee","item tag","Melee"
ITEM_TAG_REFLECT,"Reflect","item tag","Reflect"
ITEM_TAG_MINE,"Mine","item tag","Mine"
ITEM_STASH_TAB_DICE,"Dice","stash tab","Dice"
ITEM_STASH_TAB_GEAR,"Gear","stash tab","Gear"
ITEM_STASH_TAB_MOD,"Mod","stash tab","Mod"
ITEM_STASH_TAB_UNIQUE,"Unique","stash tab","Unique"
ITEM_STASH_TAB_MISC,"Misc","stash tab","Misc"
ITEM_STASH_TAB_SECTOR,"Sector","stash tab","Sector"
ITEM_CHIP,"Chip","item name","Chip"
ITEM_CHIP_DESCRIPTION,"Fits into a Chip Socket on the Skill Tree","Description of Chip items","Fits into a Chip Socket on the Skill Tree"
ITEM_SECTOR_CHIP,"Sector Chip","item name","Sector Chip"
ITEM_SECTOR_CHIP_DESCRIPTION,"Fits into a Socket on the Marble Machine Skill Tree","Description of Sector Chip items","Fits into a Socket on the Marble Machine Skill Tree"
ITEM_CRIT_RIPPER,"Crit Ripper","item name","Crit Ripper"
ITEM_EMPOWERED_CRIT_RIPPER,"Empowered Crit Ripper","item name","Empowered Crit Ripper"
ITEM_DRONE_MASTER,"Drone Master","item name","Drone Master"
ITEM_EMPOWERED_CHIP,"Empowered Chip","item name","Empowered Chip"
ITEM_SINGULARITY,"Singularity","item name","Singularity"
ITEM_ESCAPE_CIRCUIT,"Escape Circuit","item name","Escape Circuit"
ITEM_SHEAKIRUS_WRATH,"Sheakiru's Wrath","item name","Sheakiru's Wrath"
ITEM_SOUL_STONE,"Soul Stone","item name","Soul Stone"
ITEM_SPIRIT_ANIMALS_SOUL_STONE,"{0}'s Soul Stone","{0}=name of spirit animal, e.g. Huli","{0}'s Soul Stone"
ITEM_THE_GRAND_FINALE,"The Grand Finale","item name","The Grand Finale"
ITEM_ZEDS_PACT,"Zed's Pact","item name","Zed's Pact"
ITEM_CHAOS_CIRCUIT,"Chaos Circuit","item name","Chaos Circuit"
ITEM_DRAGON_EYE,"Dragon Eye","item name","Dragon Eye"
