key,value,comment,english
MISSION_TUTORIAL,"ファーストコンタクト","Name of the tutorial mission","First Contact"
MISSION_ABYSS,"アビス","Name of all Abyss Missions","Abyss"
MISSION_ABYSS_DEPTH,"深淵","Abyss Depth","Depth"
MISSION_EGG_HUNT,"卵探し","Mission name","Egg Hunt"
MISSION_BIG_EGG_HUNT,"巨大な卵探し","Mission name","Big Egg Hunt"
MISSION_ASTEROID_FIELD,"小惑星フィールド","Mission name","Asteroid Field"
MISSION_ARENA,"アリーナ","Mission name","Arena"
MISSION_WAVES_OF_CORRUPTION,"コラプションの波","Mission name","Waves of Corruption"
MISSION_TREASURE_HUNT,"財宝ハント","Mission name","Treasure Hunt"
MISSION_DEFEAT_KOKO,"打倒ココ","Mission name","Defeat Koko"
MISSION_THE_BIG_EGG,"巨大な卵","Mission name","The Big Egg"
MISSION_CHAMBER_OF_NIHALOR,"ニヘイラーの間","Mission name","Chamber of Nihalor"
MISSION_SURVIVE,"生存","Mission name","Survive"
MISSION_INTERLUDE,"幕間","Mission name","Interlude"
MISSION_KING_GRUVAKS_CASTLE,"グルヴァック王の城","Mission name","King Gruvak's Castle"
MISSION_LAZURITHS_HIDE,"ラズリスの隠れ家","Mission name","Lazurith's Hide"
MISSION_VETH_MARAS_LAIR,"ベスマラの巣窟","Mission name","Veth'mara's Lair"
MISSION_SEPULCHER_OF_IRON_VIGIL,"鉄のヴィジルの墓室","Mission name","Sepulcher of Iron Vigil"
MISSION_THE_LOST_OPAL,"失われたオパール","Mission name","The Lost Opal"
MISSION_TOMB_OF_VIRA,"ヴァイラの墓","Mission name","Tomb of Vira"
MISSION_CRYPT_OF_ETERNAL_VOLTRON,"永遠のヴォルトロンの地下納骨堂","Mission name","Crypt of Eternal Voltron"
MISSION_ECHOES_OF_THE_PAST,"過去の残響","Mission name","Echoes of the Past"
MISSION_TURTLE_IN_NEED,"困った亀","Mission name","Turtle in Need"
MISSION_HUNT,"狩り","Mission name","Hunt"
MISSION_HAUNTED_SECTOR,"呪われたセクター","Mission name","Haunted Sector"
MISSION_BUZZER_SPIRAL_SECTOR,"ブザースパイラルセクター","Mission name","Buzzer Spiral Sector"
MISSION_SPARKER_SPIRAL_SECTOR,"スパーカースパイラルセクター","Mission name","Sparker Spiral Sector"
MISSION_SHOCKWAVE_SECTOR,"ショックウェーブセクター","Mission name","Shockwave Sector"
MISSION_PLASMA_PURSUIT,"プラズマ追跡","Mission name","Plasma Pursuit"
MISSION_PLASMA_SECTOR,"プラズマセクター","Mission name","Plasma Sector"
MISSION_PLASMA_SPIRAL_SECTOR,"プラズマスパイラルセクター","Mission name","Plasma Spiral Sector"
MISSION_THORN_SPIRAL,"ソーンスパイラル","Mission name","Thorn Spiral"
MISSION_THORN_SECTOR,"ソーンセクター","Mission name","Thorn Sector"
MISSION_EGGS_TO_THE_NORTH,"北に卵あり","Mission name","Eggs to the North"
MISSION_GUNS_TO_THE_WEST,"西に銃あり","Mission name","Guns to the West"
MISSION_ROCKETS_TO_THE_EAST,"東にロケットあり","Mission name","Rockets to the East"
MISSION_BIG_PLASMA_BALLS,"巨大なプラズマボール","Mission name","Big Plasma Balls"
MISSION_BIG_EXPLOSIVE_ROCKETS,"巨大な爆発ロケット","Mission name","Big Explosive Rockets"
MISSION_BIG_THORNS_SECTOR,"巨大なソーンセクター","Mission name","Big Thorns Sector"
MISSION_ASTEROID_SPIRAL,"小惑星スパイラル","Mission name","Asteroid Spiral"
MISSION_WOLF_SECTOR,"ウルフセクター","Mission name","Wolf Sector"
MISSION_STAIRS_TO_THE_MOON_KING,"月王への階段","Mission name","Stairs to the Moon King"
MISSION_GUARDIANS_OF_THE_MOON_KING,"月王のガーディアン","Mission name","Guardians of the Moon King"
MISSION_TOWARDS_THE_TOMB_OF_THE_FALLEN_KNIGHT,"堕落騎士の墓へ","Mission name","Towards the Tomb of the Fallen Knight"
MISSION_BACK_TO_THE_ROOTS,"原点回帰","Mission name","Back to the Roots"
MISSION_A_LOST_EGG,"失われた卵","Mission name","A lost Egg"
MISSION_BRAMBLE_PATH,"茨の道","Mission name","Bramble Path"
MISSION_ASH_PATH,"灰の道","Mission name","Ash Path"
MISSION_RADIOACTIVE_AREA,"放射能エリア","Mission name","Radioactive Area"
MISSION_SCATTERED_AREA,"散乱エリア","Mission name","Scattered Area"
MISSION_GUARD_SPIRAL,"ガードスパイラル","Mission name","Guard Spiral"
MISSION_ELECTRIC_DEFENSE_I,"電気防御 I","Mission name","Electric Defense I"
MISSION_ELECTRIC_DEFENSE_II,"電気防御 II","Mission name","Electric Defense II"
MISSION_ELECTRIC_MADNESS_I,"電撃的狂気 I","Mission name","Electric Madness I"
MISSION_ELECTRIC_MADNESS_II,"電撃的狂気 II","Mission name","Electric Madness II"
MISSION_ELECTRIC_MADNESS_III,"電撃的狂気 III","Mission name","Electric Madness III"
MISSION_CREDITS,"失われた通信","Mission name","Lost Transmission"
MISSION_DESTROY_ALL_ENEMIES_OBJECTIVE,"全ての敵を破壊する","Objective","Destroy all Enemies"
MISSION_DEFEAT_BOSS_OBJECTIVE,"{0}を倒す","Objective","Defeat {0}"
MISSION_DEFEAT_BOSS_OBJECTIVE_ONCE_AND_FOR_ALL,"{0}を倒して決着をつける","Objective, {0}=boss name","Defeat {0} - Once and for all"
MISSION_DEFEAT_BOSSES_OBJECTIVE,"{0}体のボスを倒す","Objective, {0}=amount","Defeat {0} Bosses"
MISSION_DESTROY_ENEMY_SPIRAL_OBJECTIVE,"敵のスパイラルを破壊する","Objective","Destroy the Enemy Spiral"
