key,value,comment,english
MMSKILL_RARITY,"レアリティ","Skill node","Rarity"
MMSKILL_EXPERIENCE,"経験値","Skill node","Experience"
MMSKILL_SECTOR_RANK,"セクターランク","Skill node","Sector Rank"
MMSKILL_SECTOR_CHANCE,"セクター確率","Skill node","Sector Chance"
MMSKILL_MONSTER_LEVEL,"モンスターレベル","Skill node","Monster Level"
MMSKILL_MONSTROSITY,"怪物","Skill node","Monstrosity"
MMSKILL_OCTRON_ITEM_CHANCE,"オクトロンアイテム確率","Skill node","Octron Item Chance"
MMSKILL_ABYSS_OCTRON_ITEM_CHANCE,"アビスのオクトロンアイテム確率","Skill node","Abyss Octron Item Chance"
MMSKILL_WHISPERS_OF_OCTRON,"オクトロンの囁き","Skill node","Whispers of Octron"
MMSKILL_WHISPERS_OF_THE_DEEP,"深部の囁き","Skill node","Whispers of the Deep"
MMSKILL_FAVOR_OF_THE_DEEP,"深部の恩恵","Skill node","Favor of the Deep"
MMSKILL_ABYSS_RARITY,"アビスのレアリティ","Skill node","Abyss Rarity"
MMSKILL_DEEP_TREASURES,"深部の財宝","Skill node","Deep Treasures"
MMSKILL_ABYSS_EXPERIENCE,"アビスの経験値","Skill node","Abyss Experience"
MMSKILL_DEEP_WISDOM,"深部の知恵","Skill node","Deep Wisdom"
MMSKILL_ABYSS_CARLO_MISSION_CHANCE,"アビスのカルロミッション確率","Skill node","Abyss Carlo Mission Chance"
MMSKILL_BLACK_MARKET,"闇市","Skill node","Black Market"
MMSKILL_CARLO_MISSION_CHANCE,"カルロミッション確率","Skill node","Carlo Mission Chance"
MMSKILL_PROFITABLE_PASSAGE,"儲けの多い道","Skill node","Profitable Passage"
MMSKILL_MORE_EGGS,"卵増","Skill node","More Eggs"
MMSKILL_ABYSS_RARITY_AND_EXPERIENCE,"アビスのレアリティと経験値","Skill node","Abyss Rarity and Experience"
MMSKILL_MAW_OF_THE_ABYSS,"アビスの大口","Skill node","Maw of the Abyss"
MMSKILL_UNIQUE_MONSTER_EXPERIENCE,"ユニークモンスターの経験値","Skill node","Unique Monster Experience"
MMSKILL_UNIQUE_MONSTER_DAMAGE_AND_EXPERIENCE,"ユニークモンスターのダメージと経験値","Skill node","Unique Monster Damage and Experience"
MMSKILL_UNIQUE_MONSTER_ARMOR_AND_EXPERIENCE,"ユニークモンスターのアーマーと経験値","Skill node","Unique Monster Armor and Experience"
MMSKILL_TRIAL_OF_FURY,"憤激の試練","Skill node","Trial of Fury"
MMSKILL_TRIAL_OF_FORTITUDE,"不屈の試練","Skill node","Trial of Fortitude"
MMSKILL_MUTATION_ANOMALY,"突然変異アノマリー","Skill node","Mutation Anomaly"
MMSKILL_NEST_OF_ABUNDANCE,"豊穣の巣","Skill node","Nest of Abundance"
MMSKILL_CALL_OF_WEAPONS,"武器の呼び声","Skill node","Call of Weapons"
MMSKILL_CALL_OF_SHIELDS,"シールドの呼び声","Skill node","Call of Shields"
MMSKILL_CALL_OF_THE_CORE,"コアの呼び声","Skill node","Call of the Core"
MMSKILL_CALL_OF_THE_ENGINE,"エンジンの呼び声","Skill node","Call of the Engine"
MMSKILL_CALL_OF_THE_NEXUS,"ネクサスの呼び声","Skill node","Call of the Nexus"
MMSKILL_CARLO_MISSION_RARITY,"カルロミッションのレアリティ","Skill node","Carlo Mission Rarity"
MMSKILL_UBER_DRAK_VETH,"ウーバー・ドラクベス","Skill node","Uber Drak'Veth"
MMSKILL_UBER_MATILDA,"ウーバー・マチルダ","Skill node","Uber Matilda"
MMSKILL_GOLDEN_NOSE,"黄金の鼻","Skill node","Golden Nose"
MMSKILL_EXQUISITE_BEAK,"極上のくちばし","Skill node","Exquisite Beak"
MMSKILL_ABYSS_KIKI_MISSION_CHANCE,"アビスのキキミッション確率","Skill node","Abyss Kiki Mission Chance"
MMSKILL_LOOT_SNIFFER,"ルートの鼻利き","Skill node","Loot Sniffer"
MMSKILL_KIKI_MISSION_CHANCE,"キキミッション確率","Skill node","Kiki Mission Chance"
MMSKILL_HIDDEN_VAULT,"隠れ宝物庫","Skill node","Hidden Vault"
MMSKILL_KIKI_MISSION_RARITY,"キキミッションのレアリティ","Skill node","Kiki Mission Rarity"
MMSKILL_TREASURE_TINGLE,"財宝の予感","Skill node","Treasure Tingle"
MMSKILL_TWISTED_LOOT_BOXES,"歪んだルートボックス","Skill node","Twisted Loot Boxes"
MMSKILL_OCTRONS_UNBOXING,"オクトロンの開封","Skill node","Octron's Unboxing"
MMSKILL_TWISTED_WEAPONS,"歪んだ武器","Skill node","Twisted Weapons"
MMSKILL_TWISTED_SHIELDS,"歪んだシールド","Skill node","Twisted Shields"
MMSKILL_TWISTED_CORES,"歪んだコア","Skill node","Twisted Cores"
MMSKILL_TWISTED_ENGINES,"歪んだエンジン","Skill node","Twisted Engines"
MMSKILL_TWISTED_NEXUSES,"歪んだネクサス","Skill node","Twisted Nexuses"
MMSKILL_CHIPSTREAM,"チップストリーム","Skill node","Chipstream"
MMSKILL_EMPOWERED_CHIPSTREAM,"強化されたチップストリーム","Skill node","Empowered Chipstream"
MMSKILL_DUPLICATE_LOOT_BOXES,"ルートボックス複製","Skill node","Duplicate Loot Boxes"
MMSKILL_ONE_FOR_EACH_TWIN,"ツインの分け前","Skill node","One for each Twin"
MMSKILL_LIBRARIAN,"ライブラリアン","Skill node","Librarian"
MMSKILL_GLUTTONY_OF_THE_DEEP,"深部のグラトニー","Skill node","Gluttony of the Deep"
MMSKILL_FRUGALITY_OF_THE_DEEP,"深部の倹約","Skill node","Frugality of the Deep"
MMSKILL_GIFT_OF_THE_MACHINE,"マシンの贈り物","Skill node","Gift of the Machine"
MMSKILL_AMPLIFIER_OF_THE_MACHINE,"マシンのアンプ","Skill node","Amplifier of the Machine"
MMSKILL_EXPLORER_OF_THE_DEEP,"深部の探検家","Skill node","Explorer of the Deep"
MMSKILL_PHOTOLITHOGRAPHY,"フォトリソグラフィ","Skill node","Photolithography"
MMSKILL_TWIN_DICE,"ツインサイコロ","Skill node","Twin Dice"
MMSKILL_UNIQUE_SECTOR_RARITY,"ユニークセクターのレアリティ","Skill node","Unique Sector Rarity"
