key,value,comment,english
SKILL_ARMOR,"アーマー","Skill node","Armor"
SKILL_ARMOR_AND_MASS,"アーマーと質量","Skill node","Armor and Mass"
SKILL_MULTICRIT,"マルチクリティカル","Skill node","Multicrit"
SKILL_DAMAGE_OVER_TIME,"継続ダメージ","Skill node","Damage over Time"
SKILL_PESTILENCE,"疫病","Skill node","Pestilence"
SKILL_DAMAGE_OVER_TIME_AND_TIME,"継続ダメージと時間","Skill node","Damage over Time and Time"
SKILL_NECROBLAST,"ネクロブラスト","Skill node","Necroblast"
SKILL_EXPLOSIVE_NECROBLAST,"爆発ネクロブラスト","Skill node","Explosive Necroblast"
SKILL_PLASMA_NECROBLAST,"プラズマネクロブラスト","Skill node","Plasma Necroblast"
SKILL_ELECTRIC_NECROBLAST,"電気ネクロブラスト","Skill node","Electric Necroblast"
SKILL_NUCLEAR_NECROBLAST,"核ネクロブラスト","Skill node","Nuclear Necroblast"
SKILL_MINION_DAMAGE,"ミニオンダメージ","Skill node","Minion Damage"
SKILL_MINION_ARMOR,"ミニオンアーマー","Skill node","Minion Armor"
SKILL_RADIANT_ANNIHILATION,"光輝の殲滅","Skill node","Radiant Annihilation"
SKILL_RADIATION_CHANCE,"放射線確率","Skill node","Radiation Chance"
SKILL_DASH_AND_ENERGY,"ダッシュとエネルギー","Skill node","Dash and Energy"
SKILL_ENGINE_DAMAGE,"エンジンダメージ","Skill node","Engine Damage"
SKILL_ENGINE_DAMAGE_AND_RECHARGE,"エンジンダメージとリチャージ","Skill node","Engine Damage and Recharge"
SKILL_DASH_RECHARGE,"ダッシュリチャージ","Skill node","Dash Recharge"
SKILL_THERMAL_DAMAGE_AND_ENERGY,"サーマルダメージとエネルギー","Skill node","Thermal Damage and Energy"
SKILL_THERMAL_DAMAGE,"サーマルダメージ","Skill node","Thermal Damage"
SKILL_EXPLOSIVE_DAMAGE,"爆発ダメージ","Skill node","Explosive Damage"
SKILL_PLASMA_DAMAGE,"プラズマダメージ","Skill node","Plasma Damage"
SKILL_ELECTRIC_DAMAGE,"電気ダメージ","Skill node","Electric Damage"
SKILL_DEFLECTOR_SHIELD_AND_ENERGY,"デフレクターシールドとエネルギー","Skill node","Deflector Shield and Energy"
SKILL_DEFLECTOR_SHIELD_AND_DODGE,"デフレクターシールドと回避","Skill node","Deflector Shield and Dodge"
SKILL_CRITICAL_STRIKE_CHANCE,"クリティカルストライク確率","Skill node","Critical Strike Chance"
SKILL_CRITICAL_STRIKE_DAMAGE,"クリティカルストライクダメージ","Skill node","Critical Strike Damage"
SKILL_ATTACK_SPEED,"アタックスピード","Skill node","Attack Speed"
SKILL_ATTACK_SPEED_AND_TIME,"アタックスピードと時間","Skill node","Attack Speed and Time"
SKILL_REPAIR_ARMOR,"アーマー修理","Skill node","Repair Armor"
SKILL_KINETIC_DAMAGE,"キネティックダメージ","Skill node","Kinetic Damage"
