key,value,comment,english
UI_VERSION_LABEL,"バージョン","","Version"
UI_BUILD_LABEL,"ビルド","","Build"
UI_START_SCREEN_RESUME,"再開","Resume game button on the start screen","RESUME"
UI_START_SCREEN_NEW_GAME,"ニューゲーム","New game button on the start screen","NEW GAME"
UI_START_SCREEN_SETTINGS,"設定","Settings button on the start screen","SETTINGS"
UI_START_SCREEN_EXIT,"終了","Exit button on the start screen","EXIT"
UI_CLOSE_BUTTON,"閉じる","Button to close a menu or a dialog","Close"
UI_YES_BUTTON,"はい","Button to close a menu or a dialog","Yes"
UI_NO_BUTTON,"いいえ","Button to close a menu or a dialog","No"
UI_SETTINGS_TAB_DISPLAY,"ディスプレイ","Tab for display settings","Display"
UI_SETTINGS_TAB_AUDIO,"オーディオ","Tab for audio settings","Audio"
UI_SETTINGS_TAB_CONTROLS,"操作","Tab for control settings","Controls"
UI_SETTINGS_TAB_SHIP,"船","Tab for control settings","Ship"
UI_SETTINGS_DISPLAY_LANGUAGE,"言語","Setting for display language","Language"
UI_SETTINGS_DISPLAY_MODE,"表示モード","Setting for display mode","Display Mode"
UI_SETTINGS_DISPLAY_MODE_WINDOWED_FULLSCREEN,"ウィンドウ（フルスクリーン）","Run the game in windowed fullscreen mode","Windowed Fullscreen"
UI_SETTINGS_DISPLAY_MODE_WINDOWED,"ウィンドウモード","Run the game in windowed mode","Windowed"
UI_SETTINGS_DISPLAY_MODE_FULLSCREEN,"フルスクリーン","Run the game in exclusive fullscreen","Fullscreen"
UI_SETTINGS_DISPLAY_REFRESH_MODE,"目標FPS","","Target FPS"
UI_SETTINGS_DISPLAY_REFRESH_MODE_VSYNC,"垂直同期","","V-Sync"
UI_SETTINGS_DISPLAY_REFRESH_MODE_FPS,"{0}FPS","{0}=amount, e.g. 60","{0} FPS"
UI_SETTINGS_DISPLAY_MISSION_DATA,"ミッションデータを表示","Setting to toggle mission data","Show Mission Data"
UI_SETTINGS_DISPLAY_DAMAGE_COLORS,"ダメージをカラーで表示","Setting to toggle damage colors","Show Damage Colors"
UI_SETTINGS_DISPLAY_FPS,"FPSを表示","Setting to toggle fps","Show FPS"
UI_SETTINGS_DISPLAY_NATIVE_MOUSE_CURSOR,"標準マウスカーソル","Setting to toggle native mouse cursor","Native mouse cursor"
UI_SETTINGS_DISPLAY_ITEM_ANIMATIONS,"アイテムアニメーションを表示","Setting to toggle item animations","Show Item Animations"
UI_SETTINGS_DISPLAY_CORRUPTED_AREA_PARTICLES,"コラプト状態エリアのパーティクルを表示","Performance setting to toggle corrupted area particles","Show Corrupted Area Particles"
UI_SETTINGS_AUDIO_LIB,"オーディオライブラリ","Setting to toggle audio library","Audio Lib"
UI_SETTINGS_AUDIO_GLOBAL,"全体","Setting for Global audio volume","Global"
UI_SETTINGS_AUDIO_MUSIC,"音楽","Setting for Music volume","Music"
UI_SETTINGS_AUDIO_SFX,"SFX","Setting for SFX volume","SFX"
UI_SETTINGS_AUDIO_LOOT,"ルート","Setting for Loot volume","Loot"
UI_SETTINGS_AUDIO_UI,"UI","Setting for UI volume","UI"
UI_SETTINGS_AUDIO_VOICE,"ボイス","Setting for Voice volume","Voice"
UI_SETTINGS_CONTROLS_CONTROLLER_SELECT,"選択","Setting for controller select button","Select"
UI_SETTINGS_CONTROLS_CONTROLLER_BACK,"戻る / アイテムをドロップ","Setting for controller back button. Is also used to drop an item.","Back / Drop item"
UI_SETTINGS_CONTROLS_CONTROLLER_CONFIRM,"決定 / アイテムを転送","Setting for controller confirm button. Is also used to transfer an item.","Confirm / Transfer item"
UI_SETTINGS_CONTROLS_CONTROLLER_INFO,"情報","Setting for controller info button.","Info"
