key,value,comment,english
ATTRIBUTE_FLAT_MASS,"질량 {0}","Adds flat Mass, e.g +2 to Mass, or -4 to Mass","{0} to Mass"
ATTRIBUTE_FLAT_ENERGY,"에너지 {0}","Adds flat Energy, e.g +2 to Energy, or -4 to Energy","{0} to Energy"
ATTRIBUTE_FLAT_TIME,"시간 {0}","Adds flat Time, e.g +2 to Time, or -4 to Time","{0} to Time"
ATTRIBUTE_NON_CRITICAL_STRIKES_DEAL_NO_DAMAGE,"비-치명타가 피해를 주지 않음","","Non-Critical Strikes deal no Damage"
ATTRIBUTE_NON_CRITICAL_STRIKES_DEAL_MORE_DAMAGE,"비-치명타로 주는 피해 {0} 증폭","{0}=percentage","Non-Critical Strikes deal {0} more Damage"
ATTRIBUTE_NON_CRITICAL_STRIKES_DEAL_LESS_DAMAGE,"비-치명타로 주는 피해 {0} 감폭","{0}=percentage","Non-Critical Strikes deal {0} less Damage"
ATTRIBUTE_FLAT_MULTICRIT,"다중 치명타 {0}","Adds Multicrit, e.g. +2 Multicrit","{0} Multicrit"
ATTRIBUTE_INCREASED_DAMAGE_OVER_TIME,"지속 피해 {0} 증가","{0}=percentage","{0} increased Damage over Time"
ATTRIBUTE_REDUCED_DAMAGE_OVER_TIME,"지속 피해 {0} 감소","{0}=percentage","{0} reduced Damage over Time"
ATTRIBUTE_MORE_DAMAGE_OVER_TIME,"지속 피해 {0} 증폭","{0}=percentage","{0} more Damage over Time"
ATTRIBUTE_LESS_DAMAGE_OVER_TIME,"지속 피해 {0} 감폭","{0}=percentage","{0} less Damage over Time"
ATTRIBUTE_NECROBLAST,"소환수 사망 시 최대 장갑의\n{0}를 {3} 범위에\n{1}운동 에너지 피해{2}로 줌","{0}=percentage of Armor, e.g. 500%\n{1,2}=damage color highlighting\n{3}=range, e.g. 400","When one of your Minions dies,\n{0} of its maximum Armor is dealt\nas {1}Kinetic Damage{2} in {3} range"
ATTRIBUTE_NECROBLAST_EXPLOSIVE_CONVERSION,"괴사 격발 피해의 {0}를 {1}폭발{2} 피해로 전환","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Explosive{2} Damage"
ATTRIBUTE_NECROBLAST_PLASMA_CONVERSION,"괴사 격발 피해의 {0}를 {1}플라스마{2} 피해로 전환","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Plasma{2} Damage"
ATTRIBUTE_NECROBLAST_ELECTRIC_CONVERSION,"괴사 격발 피해의 {0}를 {1}전기{2} 피해로 전환","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Electric{2} Damage"
ATTRIBUTE_NECROBLAST_NUCLEAR_CONVERSION,"괴사 격발 피해의 {0}를 {1}핵{2} 피해로 전환","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Nuclear{2} Damage"
ATTRIBUTE_INCREASED_MINION_DAMAGE,"소환수가 주는 피해 {0} 증가","{0}=percentage","Minions deal {0} increased Damage"
ATTRIBUTE_REDUCED_MINION_DAMAGE,"소환수가 주는 피해 {0} 감소","{0}=percentage","Minions deal {0} reduced Damage"
ATTRIBUTE_MORE_MINION_DAMAGE,"소환수가 주는 피해 {0} 증폭","{0}=percentage","Minions deal {0} more Damage"
ATTRIBUTE_LESS_MINION_DAMAGE,"소환수가 주는 피해 {0} 감폭","{0}=percentage","Minions deal {0} less Damage"
ATTRIBUTE_INCREASED_MINION_ARMOR,"소환수 장갑 {0} 증가","{0}=percentage","Minions have {0} increased Armor"
ATTRIBUTE_REDUCED_MINION_ARMOR,"소환수 장갑 {0} 감소","{0}=percentage","Minions have {0} reduced Armor"
ATTRIBUTE_MORE_MINION_ARMOR,"소환수 장갑 {0} 증폭","{0}=percentage, e.g. 10%","Minions have {0} more Armor"
ATTRIBUTE_LESS_MINION_ARMOR,"소환수 장갑 {0} 감폭","{0}=percentage, e.g. 10%","Minions have {0} less Armor"
ATTRIBUTE_INCREASED_MINION_SPAWN_RATE,"소환수 생성 속도 {0} 가속","{0}=percentage","Minions spawn {0} faster"
ATTRIBUTE_REDUCED_MINION_SPAWN_RATE,"소환수 생성 속도 {0} 감속","{0}=percentage","Minions spawn {0} slower"
ATTRIBUTE_INCREASED_MINION_ATTACK_SPEED,"소환수 공격 속도 {0} 증가","{0}=percentage","Minions have {0} increased Attack Speed"
ATTRIBUTE_REDUCED_MINION_ATTACK_SPEED,"소환수 공격 속도 {0} 감소","{0}=percentage","Minions have {0} reduced Attack Speed"
ATTRIBUTE_INCREASED_MINION_ATTACK_SPEED_PER_MINION_LEVEL,"소환수 레벨당 소환수의 공격 속도 {0} 증가","{0}=percentage","Minions have {0} increased Attack Speed per Minion Level"
ATTRIBUTE_INCREASED_MINION_DAMAGE_PER_MINION_LEVEL,"소환수 레벨당 소환수가 주는 피해 {0} 증가","{0}=percentage","Minions deal {0} increased Damage per Minion Level"
ATTRIBUTE_INCREASED_MINION_ARMOR_PER_MINION_LEVEL,"소환수 레벨당 소환수의 장갑 {0} 증가","{0}=percentage","Minions have {0} increased Armor per Minion Level"
ATTRIBUTE_MINION_ARMOR_REPAIR,"소환수가 1초마다 최대 장갑의 {0} 수리","{0}=percentage","Minions repair {0} of maximum Armor per Second"
ATTRIBUTE_MINION_LEVEL,"모든 소환수 레벨 {0}","{0}=amount, e.g. +2","{0} to level of all Minions"
ATTRIBUTE_MINION_ALL_RESISTANCES,"소환수의 모든 저항 {0}","{0}=percentage","Minions have {0} to all Resistances"
ATTRIBUTE_MINION_THERMAL_RESISTANCES,"소환수의 {1}열{2} 저항 {0}","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Thermal{2} Resistances"
ATTRIBUTE_MINION_KINETIC_RESISTANCE,"소환수의 {1}운동 에너지{2} 저항 {0}","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Kinetic{2} Resistance"
ATTRIBUTE_MINION_EXPLOSIVE_RESISTANCE,"소환수의 {1}폭발{2} 저항 {0}","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Explosive{2} Resistance"
ATTRIBUTE_MINION_PLASMA_RESISTANCE,"소환수의 {1}플라스마{2} 저항 {0}","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Plasma{2} Resistance"
ATTRIBUTE_MINION_ELECTRIC_RESISTANCE,"소환수의 {1}전기{2} 저항 {0}","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Electric{2} Resistance"
ATTRIBUTE_MINION_NUCLEAR_RESISTANCE,"소환수의 {1}핵{2} 저항 {0}","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Nuclear{2} Resistance"
ATTRIBUTE_HITS_DEAL_NO_NUCLEAR_DAMAGE,"명중으로 {0}핵{1} 피해를 주지 않음","{0,1}=color highlight marker","Hits deal no {0}Nuclear{1} Damage"
ATTRIBUTE_RADIATION_DEALS_DAMAGE_AS_IF_HIGHER_HIT,"{0}방사능{1}이 명중 피해가 {2} 더 높은 것처럼 피해를 줌","{0,1}=color highlight marker\n{2}=percentage","{0}Radiation{1} deals damage as if the hit would be {2} higher"
ATTRIBUTE_RADIATION_CHANCE,"{1}방사능{2} 확률 {0}","{0}=percentage, {1,2}=color highlight marker","{0} {1}Radiation{2} Chance"
ATTRIBUTE_MORE_RADIATION_DAMAGE,"{1}방사능{2} 피해 {0} 증폭","{0}=percentage, {1,2}=color highlight marker","{0} more {1}Radiation{2} Damage"
ATTRIBUTE_LESS_RADIATION_DAMAGE,"{1}방사능{2} 피해 {0} 감폭","{0}=percentage, {1,2}=color highlight marker","{0} less {1}Radiation{2} Damage"
ATTRIBUTE_FASTER_RADIATION_DAMAGE,"{1}방사능{2} 피해 {0} 가속","{0}=percentage, {1,2}=color highlight marker","{1}Radiation{2} deals Damage {0} faster"
ATTRIBUTE_SLOWER_RADIATION_DAMAGE,"{1}방사능{2} 피해 {0} 감속","{0}=percentage, {1,2}=color highlight marker","{1}Radiation{2} deals Damage {0} slower"
ATTRIBUTE_INCREASED_RADIATION_DAMAGE_PER_STACK,"{2}방사능{3} 중첩당 {4}방사능{5} 피해 {0} 증가, 최대 {1}","{0,1}=percentage, {2-5}=color highlight marker","{2}Radiation{3} deals {0} increased Damage per {4}Radiation{5} Stack, up to {1}"
ATTRIBUTE_REDUCED_RADIATION_DAMAGE_PER_STACK,"{2}방사능{3} 중첩당 {4}방사능{5} 피해 {0} 감소, 최대 {1}","{0,1}=percentage, {2-5}=color highlight marker","{2}Radiation{3} deals {0} reduced Damage per {4}Radiation{5} Stack, up to {1}"
ATTRIBUTE_FASTER_DASH_RECHARGE,"대시 재충전 {0} 가속","{0}=percentage","{0} faster Dash Recharge"
ATTRIBUTE_INCREASED_ENGINE_DAMAGE,"엔진 피해 {0} 증가","{0}=percentage","{0} increased Engine Damage"
ATTRIBUTE_REDUCED_ENGINE_DAMAGE,"엔진 피해 {0} 감소","{0}=percentage","{0} reduced Engine Damage"
ATTRIBUTE_DASH_RECHARGE_PER_SECOND,"1초마다 대시 {0} 재충전","{0}=percentage","Recharge {0} Dash per Second"
ATTRIBUTE_INCREASED_DAMAGE,"피해 {0} 증가","{0}=percentage","{0} increased Damage"
ATTRIBUTE_REDUCED_DAMAGE,"피해 {0} 감소","{0}=percentage","{0} reduced Damage"
ATTRIBUTE_INCREASED_THERMAL_DAMAGE,"{1}열{2} 피해 {0} 증가","{0}=percentage, {1,2}=color highlight marker","{0} increased {1}Thermal{2} Damage"
ATTRIBUTE_REDUCED_THERMAL_DAMAGE,"{1}열{2} 피해 {0} 감소","{0}=percentage, {1,2}=color highlight marker","{0} reduced {1}Thermal{2} Damage"
ATTRIBUTE_INCREASED_KINETIC_DAMAGE,"{1}운동 에너지{2} 피해 {0} 증가","{0}=percentage, {1,2}=color highlight marker","{0} increased {1}Kinetic{2} Damage"
ATTRIBUTE_REDUCED_KINETIC_DAMAGE,"{1}운동 에너지{2} 피해 {0} 감소","{0}=percentage, {1,2}=color highlight marker","{0} reduced {1}Kinetic{2} Damage"
ATTRIBUTE_INCREASED_EXPLOSIVE_DAMAGE,"{1}폭발{2} 피해 {0} 증가","{0}=percentage, {1,2}=color highlight marker","{0} increased {1}Explosive{2} Damage"
ATTRIBUTE_REDUCED_EXPLOSIVE_DAMAGE,"{1}폭발{2} 피해 {0} 감소","{0}=percentage, {1,2}=color highlight marker","{0} reduced {1}Explosive{2} Damage"
ATTRIBUTE_INCREASED_PLASMA_DAMAGE,"{1}플라스마{2} 피해 {0} 증가","{0}=percentage, {1,2}=color highlight marker","{0} increased {1}Plasma{2} Damage"
ATTRIBUTE_REDUCED_PLASMA_DAMAGE,"{1}플라스마{2} 피해 {0} 감소","{0}=percentage, {1,2}=color highlight marker","{0} reduced {1}Plasma{2} Damage"
ATTRIBUTE_INCREASED_ELECTRIC_DAMAGE,"{1}전기{2} 피해 {0} 증가","{0}=percentage, {1,2}=color highlight marker","{0} increased {1}Electric{2} Damage"
ATTRIBUTE_REDUCED_ELECTRIC_DAMAGE,"{1}전기{2} 피해 {0} 감소","{0}=percentage, {1,2}=color highlight marker","{0} reduced {1}Electric{2} Damage"
ATTRIBUTE_INCREASED_NUCLEAR_DAMAGE,"{1}핵{2} 피해 {0} 증가","{0}=percentage, {1,2}=color highlight marker","{0} increased {1}Nuclear{2} Damage"
