key,value,comment,english
BOON_ARMOR_OF_THE_MOON_KING,"달의 왕의 갑옷","Boon","Armor of the Moon King"
BOON_SHIELD_OF_THE_MOON_KING,"달의 왕의 방패","Boon","Shield of the Moon King"
BOON_AGILITY_OF_THE_MOON_KING,"달의 왕의 민첩성","Boon","Agility of the Moon King"
BOON_HIDE_OF_KING_GRUVAK,"왕 그루박의 가죽","Boon","Hide of King Gruvak"
BOON_HORNS_OF_KING_GRUVAK,"왕 그루박의 뿔","Boon","Horns of King Gruvak"
BOON_ENDURANCE_OF_KING_GRUVAK,"왕 그루박의 지구력","Boon","Endurance of King Gruvak"
BOON_TOOTH_OF_VETH_MARA,"베스마라의 이빨","Boon","Tooth of Veth'mara"
BOON_SHELL_OF_VETH_MARA,"베스마라의 껍질","Boon","Shell of Veth'mara"
BOON_COCOON_OF_VETH_MARA,"베스마라의 고치","Boon","Cocoon of Veth'mara"
BOON_OMEN_OF_LAZURITH,"라주리스의 징조","Boon","Omen of Lazurith"
BOON_VAULT_OF_LAZURITH,"라주리스의 금고","Boon","Vault of Lazurith"
BOON_WISDOM_OF_LAZURITH,"라주리스의 지혜","Boon","Wisdom of Lazurith"
