key,value,comment,english
BUFF_AEGIS_FIELD,"이지스 역장","","Aegis Field"
BUFF_AEGIS_FIELD_DESCRIPTION,"편향 보호막이 증가합니다","","Grants increased Deflector Shield"
BUFF_ARMOR_REPAIR_FIELD_RESILIENCE,"회복력","","Resilience"
BUFF_ARMOR_REPAIR_FIELD_BULWARK,"방벽","","Bulwark"
BUFF_ARMOR_REPAIR_FIELD_DESCRIPTION,"장갑 수리량이 증가합니다","","Grants increased Armor Repair"
BUFF_BLASTGUARD_FIELD,"방폭 역장","","Blastguard Field"
BUFF_BLASTGUARD_FIELD_DESCRIPTION,"폭발 저항이 증가합니다","","Grants increased Explosive Resistance"
BUFF_BLIND,"실명","","Blind"
BUFF_BLIND_DESCRIPTION,"실명 상태에서는 가하는 피해가 감폭되고 이동 속도가 느려집니다","","Deal less Damage and move slower while blinded"
BUFF_VENOM_BOOST,"맹독 강화","","Venom Boost"
BUFF_VENOM_BOOST_DESCRIPTION,"지속 피해가 증폭됩니다","","Grants more Damage over Time"
BUFF_TURBO_BOOST,"터보 강화","","Turbo Boost"
BUFF_TURBO_BOOST_DESCRIPTION,"공격 속도가 증가합니다","","Grants increased Attack Speed"
BUFF_SHIELD_BOOST,"보호막 강화","","Shield Boost"
BUFF_SHIELD_BOOST_DESCRIPTION,"받는 피해가 감폭됩니다","","Grants less Damage Taken"
BUFF_FOCUS_BOOST,"집중 강화","","Focus Boost"
BUFF_FOCUS_BOOST_DESCRIPTION,"치명타 확률이 증가합니다","","Grants increased Critical Strike Chance"
BUFF_FORGE_BOOST,"단조 강화","","Forge Boost"
BUFF_FORGE_BOOST_DESCRIPTION,"장갑 수리량이 증가합니다","","Grants increased Armor Repair"
BUFF_DASH_REGENERATION_FIELD_RECHARGE,"재충전","","Recharge"
BUFF_DASH_REGENERATION_FIELD_DESCRIPTION,"대시 재생이 증가합니다","","Grants increased Dash Regeneration"
BUFF_DIAMOND_FIELD,"다이아몬드 역장","","Diamond Field"
BUFF_DIAMOND_FIELD_DESCRIPTION,"모든 저항이 증가합니다","","Grants increased Resistances"
BUFF_ECLIPSE_FIELD,"일식 역장","","Eclipse Field"
BUFF_ECLIPSE_FIELD_DESCRIPTION,"플라스마 저항이 증가합니다","","Grants increased Plasma Resistance"
BUFF_ENERGY_FIELD,"에너지 역장","","Energy Field"
BUFF_ENERGY_FIELD_DESCRIPTION,"에너지가 증가합니다","","Grants increased Energy"
BUFF_FARADAY_FIELD,"패러데이 역장","","Faraday Field"
BUFF_FARADAY_FIELD_DESCRIPTION,"전기 저항이 증가합니다","","Grants increased Electric Resistance"
BUFF_HOP,"도약","","Hop"
BUFF_HOP_DESCRIPTION,"도약 중 및 직후에 받는 피해가 감폭됩니다","","Take less damage while and shortly after hopping"
BUFF_MELEE,"근접","","Melee"
BUFF_MELEE_DESCRIPTION,"받는 피해가 감폭됩니다","","Grants less Damage Taken"
BUFF_LETHALITY_FIELD,"살상 역장","","Lethality Field"
BUFF_LETHALITY_FIELD_DESCRIPTION,"치명타 확률 및 피해가 증가합니다","","Grants increased critical strike chance and damage"
BUFF_MASS_FIELD,"질량 역장","","Mass Field"
BUFF_MASS_FIELD_DESCRIPTION,"질량이 증가합니다","","Grants increased Mass"
BUFF_MINION_COUNT_ONE,"{1} {0}개를 조종합니다","{0}=amount, {1}=singular minion name","You control {0} {1}"
BUFF_MINION_COUNT_MANY,"{1} {0}개를 조종합니다","{0}=amount, {1}=plural minion name","You control {0} {1}"
BUFF_RETALIATION_INSTINCT,"보복 본능","","Retaliation Instinct"
BUFF_RETALIATION_INSTINCT_DESCRIPTION,"주는 피해가 증가합니다","","Grants increased Damage"
BUFF_SHAMROCK_FIELD,"클로버 역장","","Shamrock Field"
BUFF_SHAMROCK_FIELD_DESCRIPTION,"행운이 증폭됩니다","","Grants more Luck"
BUFF_TIME_FIELD,"시간 역장","","Time Field"
BUFF_TIME_FIELD_DESCRIPTION,"시간이 증가합니다","","Grants increased Time"
BUFF_INCREASED_WEAPON_DAMAGE,"{0}의 피해가 {1} 증가합니다","{0}=item name, {1}=percentage","{0} has gained {1} increased Damage"
BUFF_WINGS,"날개","","Wings"
BUFF_WINGS_DESCRIPTION,"공격 속도가 증가합니다","","Grants increased Attack Speed"
BUFF_WISDOM,"지혜","","Wisdom"
BUFF_WISDOM_DESCRIPTION,"획득 경험치가 증가합니다","","Grants increased Experience"
BUFF_GLUTTONY,"폭식","","Gluttony"
BUFF_GLUTTONY_DESCRIPTION,"파워업을 습득할 때마다 질량이 증가합니다","","Grants increased Mass per collected Power-Up"
BUFF_LOOT_BARRIER,"전리품 방벽","","Loot Barrier"
BUFF_LOOT_BARRIER_DESCRIPTION,"파워업을 수집할 때마다 받는 피해가 감폭됩니다","","Grants less damage taken per collected Power-Up"
BUFF_RAVENOUS_RICHES,"탐욕의 재물","","Ravenous Riches"
BUFF_RAVENOUS_RICHES_DESCRIPTION,"파워업을 수집할 때마다 주는 피해가 증폭됩니다","","Grants more damage per collected Power-Up"
BUFF_COOP,"협동","","Co-op"
BUFF_COOP_DESCRIPTION,"현재 파티 상태입니다\n적의 장갑이 {0} 증폭됩니다","{0}=percentage","You are in a party\nEnemies have {0} more armor"
BUFF_COOP_DESTROYED_DESCRIPTION,"동료가 파괴되었습니다\n이제 혼자입니다","","Your partner has been destroyed\nYou are on your own"
