key,value,comment,english
COMMON_KINETIC_DAMAGE,"{0}운동 에너지{1} 피해","Kinetic damage type label, {0}, {1} are markers for damage color highlight","{0}Kinetic{1} Damage"
COMMON_EXPLOSIVE_DAMAGE,"{0}폭발{1} 피해","Explosive damage type label, {0}, {1} are markers for damage color highlight","{0}Explosive{1} Damage"
COMMON_PLASMA_DAMAGE,"{0}플라스마{1} 피해","Plasma damage type label, {0}, {1} are markers for damage color highlight","{0}Plasma{1} Damage"
COMMON_ELECTRIC_DAMAGE,"{0}전기{1} 피해","Electric damage type label, {0}, {1} are markers for damage color highlight","{0}Electric{1} Damage"
COMMON_NUCLEAR_DAMAGE,"{0}핵{1} 피해","Nuclear damage type label, {0}, {1} are markers for damage color highlight","{0}Nuclear{1} Damage"
COMMON_KINETIC_DAMAGE_PER_SECOND,"초당 {0}운동 에너지{1} 피해","Kinetic damage type label, {0}, {1} are markers for damage color highlight","{0}Kinetic{1} Damage per Second"
COMMON_EXPLOSIVE_DAMAGE_PER_SECOND,"초당 {0}폭발{1} 피해","Explosive damage type label, {0}, {1} are markers for damage color highlight","{0}Explosive{1} Damage per Second"
COMMON_PLASMA_DAMAGE_PER_SECOND,"초당 {0}플라스마{1} 피해","Plasma damage type label, {0}, {1} are markers for damage color highlight","{0}Plasma{1} Damage per Second"
COMMON_ELECTRIC_DAMAGE_PER_SECOND,"초당 {0}전기{1} 피해","Electric damage type label, {0}, {1} are markers for damage color highlight","{0}Electric{1} Damage per Second"
COMMON_NUCLEAR_DAMAGE_PER_SECOND,"초당 {0}핵{1} 피해","Nuclear damage type label, {0}, {1} are markers for damage color highlight","{0}Nuclear{1} Damage per Second"
COMMON_KINETIC_RESISTANCE,"{0}운동 에너지{1} 저항","{0,1}=color","{0}Kinetic{1} Resistance"
COMMON_EXPLOSIVE_RESISTANCE,"{0}폭발{1} 저항","{0,1}=color","{0}Explosive{1} Resistance"
COMMON_PLASMA_RESISTANCE,"{0}플라스마{1} 저항","{0,1}=color","{0}Plasma{1} Resistance"
COMMON_ELECTRIC_RESISTANCE,"{0}전기{1} 저항","{0,1}=color","{0}Electric{1} Resistance"
COMMON_NUCLEAR_RESISTANCE,"{0}핵{1} 저항","{0,1}=color","{0}Nuclear{1} Resistance"
COMMON_DEBRIS_CHANCE,"{0}파쇄{1} 확률","{0,1}=color","{0}Debris{1} Chance"
COMMON_AFTERSHOCK_CHANCE,"{0}여진{1} 확률","{0,1}=color","{0}Aftershock{1} Chance"
COMMON_BLIND_CHANCE,"{0}실명{1} 확률","{0,1}=color","{0}Blind{1} Chance"
COMMON_SHOCK_CHANCE,"{0}감전{1} 확률","{0,1}=color","{0}Shock{1} Chance"
COMMON_RADIATION_CHANCE,"{0}방사능{1} 확률","{0,1}=color","{0}Radiation{1} Chance"
COMMON_DEBRIS_DAMAGE,"{0}파쇄{1} 피해","{0,1}=color","{0}Debris{1} Damage"
COMMON_DEBRIS_RADIUS,"{0}파쇄{1} 반경","{0,1}=color","{0}Debris{1} Radius"
COMMON_RADIATION_DAMAGE,"{0}방사능{1} 피해","{0,1}=color","{0}Radiation{1} Damage"
COMMON_RADIATION_DAMAGE_ONE_INSTANCE,"인스턴스 하나가 초당 {0}의 피해를 줍니다","","One instance deals {0} damage per second"
COMMON_ATTACKS_PER_SECOND,"초당 공격 횟수","Attacks per Second stat","Attacks per Second"
COMMON_CRITICAL_STRIKE_CHANCE,"치명타 확률","stat","Critical Strike Chance"
COMMON_CRITICAL_STRIKE_MULTIPLIER,"치명타 배율","stat","Critical Strike Multiplier"
COMMON_RANGE,"범위","Range stat","Range"
COMMON_THRUST,"추진력","stat","Thrust"
COMMON_MAXIMUM_VELOCITY,"최대 속도","stat","Maximum Velocity"
COMMON_ARMOR,"장갑","stat","Armor"
COMMON_DEFLECTOR_SHIELD,"편향 보호막","stat","Deflector Shield"
COMMON_DODGE,"회피","stat","Dodge"
COMMON_DURATION,"지속 시간","stat","Duration"
COMMON_HIT_DAMAGE,"명중 피해","stat","Hit Damage"
COMMON_SECONDS_SHORT_ONE,"{0}초","Short form of seconds (singular), {0}=amount of seconds","{0}s"
COMMON_SECONDS_SHORT_MANY,"{0}초","Short form of seconds (plural), {0}=amount of seconds","{0}s"
COMMON_SECONDS_LONG_ONE,"{0}초","Long form of seconds (singular), {0}=amount of seconds","{0} second"
COMMON_SECONDS_LONG_MANY,"{0}초","Long form of seconds (plural), {0}=amount of seconds","{0} seconds"
COMMON_PERCENT,"{0}%","{0}=number","{0}%"
