key,value,comment,english
ENEMY_ASH_QUEEN,"Ash Queen","","Ash Queen"
ENEMY_ASTEROID,"Asteroid","","Asteroid"
ENEMY_ASTEROID_SUMMONER,"Asteroid Summoner","","Asteroid Summoner"
ENEMY_AZATHOTH,"Azathoth","","Azathoth"
ENEMY_RUST_BARON,"The Rust Baron","","The Rust Baron"
ENEMY_RUST_BARON_II,"The Rust Baron II","","The Rust Baron II"
ENEMY_BIG_ASTEROID,"Big Asteroid","","Big Asteroid"
ENEMY_BIG_EGG_GUARD,"Big Egg Guard","","Big Egg Guard"
ENEMY_BIG_GUNNER,"Big Gunner","","Big Gunner"
ENEMY_BIG_GUN_TURRET,"Big Gun Turret","","Big Gun Turret"
ENEMY_BIG_ROCKETEER,"Big Rocketeer","","Big Rocketeer"
ENEMY_BIG_SLINGER,"Big Slinger","","Big Slinger"
ENEMY_BIG_SPARKER,"Big Sparker","","Big Sparker"
ENEMY_BIG_SPORER,"Big Sporer","","Big Sporer"
ENEMY_BIG_THORNS,"Big Thorns","","Big Thorns"
ENEMY_BLAST_GUNNER,"Blast Gunner","","Blast Gunner"
ENEMY_BOOMER,"Boomer","","Boomer"
ENEMY_BOOMSMITH,"Boomsmith","","Boomsmith"
ENEMY_BRAMBLE_QUEEN,"Bramble Queen","","Bramble Queen"
ENEMY_BUZZER,"Buzzer","","Buzzer"
ENEMY_CONTAMINATOR,"Contaminator","","Contaminator"
ENEMY_DRAK_VETH,"Drak'Veth","","Drak'Veth"
ENEMY_EAGLE_EYE,"Eagle Eye","","Eagle Eye"
ENEMY_EAGLE_EYE_II,"Eagle Eye II","","Eagle Eye II"
ENEMY_EGG_GUARD,"Egg Guard","","Egg Guard"
ENEMY_ELECTRO_BOOMER,"Electro Boomer","","Electro Boomer"
ENEMY_ELECTRO_GUN_TURRET,"Electro Gun Turret","","Electro Gun Turret"
ENEMY_FIERY_SQUIRE,"Fiery Squire","","Fiery Squire"
ENEMY_ICICLE_SQUIRE,"Icicle Squire","","Icicle Squire"
ENEMY_KING_GRUVAK,"King Gruvak","","King Gruvak"
ENEMY_UBER_KING_GRUVAK,"Emperor Gruvak","","Emperor Gruvak"
ENEMY_GUNNER,"Gunner","","Gunner"
ENEMY_GUN_TURRET,"Gun Turret","","Gun Turret"
ENEMY_HAUNTER,"Haunter","","Haunter"
ENEMY_ICY_ASTEROID,"Icy Asteroid","","Icy Asteroid"
ENEMY_IONIZER,"Ionizer","","Ionizer"
ENEMY_JUNK_LORD,"Junk Lord","","Junk Lord"
ENEMY_KOKO,"Koko","","Koko"
ENEMY_LAZURITH,"Lazurith","","Lazurith"
ENEMY_MATILDA,"Matilda","","Matilda"
ENEMY_MOTHERSHIP,"Mothership","","Mothership"
ENEMY_NIHALOR,"Nihalor","","Nihalor"
ENEMY_NUCLEAR_BOOMER,"Nuke-Boomer","","Nuke-Boomer"
ENEMY_OWL_OF_WISDOM,"Owl of Wisdom","","Owl of Wisdom"
ENEMY_ROCKETEER,"Rocketeer","","Rocketeer"
ENEMY_ROCKTHORN,"Rockthorn","","Rockthorn"
ENEMY_ROCKTHORN_II,"Rockthorn II","","Rockthorn II"
ENEMY_SER_ASTEROID,"Ser Asteroid","","Ser Asteroid"
ENEMY_SHOCKER,"Shocker","","Shocker"
ENEMY_SLINGER,"Slinger","","Slinger"
ENEMY_SLURXON,"Slurxon","","Slurxon"
ENEMY_SNOWMAN,"Snowman","","Snowman"
ENEMY_SPARKER,"Sparker","","Sparker"
ENEMY_SPORER,"Sporer","","Sporer"
ENEMY_ABYSS_STRUDEL,"Abyss Strudel","Hint: has nothing to do with the Abyss end-game sector","Abyss Strudel"
ENEMY_THORN_KNIGHT,"Thorn Knight","","Thorn Knight"
ENEMY_THORNS,"Thorns","","Thorns"
ENEMY_THUNDERHEART,"Thunderheart","","Thunderheart"
ENEMY_THUNDERHEART_II,"Thunderheart II","","Thunderheart II"
ENEMY_TREASURE,"Treasure","","Treasure"
ENEMY_TRINITY,"Trinity","","Trinity"
ENEMY_UBER_BARON,"Uber Baron","","Uber Baron"
ENEMY_UBER_DRAK_VETH,"Uber Drak'Veth","","Uber Drak'Veth"
ENEMY_VETH_MARA,"Veth'mara","","Veth'mara"
ENEMY_MOON_KING,"The Moon King","","The Moon King"
ENEMY_MOON_CROW,"Moon Crow","","Moon Crow"
ENEMY_WULFRIC,"Wulfric","","Wulfric"
ENEMY_BAT,"Bat","","Bat"
ENEMY_BIG_BAT,"Big Bat","","Big Bat"
ENEMY_BAT_BARON,"Bat Baron","","Bat Baron"
ENEMY_SHARD_GOBLIN,"Shard Goblin","","Shard Goblin"
ENEMY_SHARD_KNIGHT,"Shard Knight","","Shard Knight"
ENEMY_OCTRON,"Octron","","Octron"
ENEMY_DRAGON_NUCLEAR,"Veth'Radon, the Star Eater","","Veth'Radon, the Star Eater"
ENEMY_DRAGON_KINETIC,"Drak'Mech, the Iron Gale","","Drak'Mech, the Iron Gale"
ENEMY_DRAGON_PLASMA,"Sol'Theris, the Sun's Wrath","","Sol'Theris, the Sun's Wrath"
ENEMY_DRAGON_ELECTRIC,"Vol'Trox, the Storm Reaper","","Vol'Trox, the Storm Reaper"
ENEMY_DRAGON_EXPLOSIVE,"Pyrr'Zar, the Detonator","","Pyrr'Zar, the Detonator"
