key,value,comment,english
GLOSSARY_KINETIC,"운동 에너지","Used to search and highlight Kinetic damage type in descriptions","Kinetic"
GLOSSARY_KINETIC_DESCRIPTION,"운동 에너지 피해는 물리적 충격으로 인해 발생합니다.","","Kinetic Damage is caused by physical impacts."
GLOSSARY_EXPLOSIVE,"폭발","Used to search and highlight Explosive damage type in descriptions","Explosive"
GLOSSARY_EXPLOSIVE_DESCRIPTION,"폭발 피해는 효과 범위 폭발이나 막대한 열로 인해 발생합니다.","","Explosive Damage is caused by AoE blasts or massive heat."
GLOSSARY_PLASMA,"플라스마","Used to search and highlight Plasma damage type in descriptions","Plasma"
GLOSSARY_PLASMA_DESCRIPTION,"플라스마 피해는 레이저나 기타 고에너지 파동으로 인해 발생합니다.","","Plasma Damage is caused by lasers or other high energetic waves."
GLOSSARY_ELECTRIC,"전기","Used to search and highlight Electric damage type in descriptions","Electric"
GLOSSARY_ELECTRIC_DESCRIPTION,"전기 피해는 번개나 스파크로 인해 발생합니다.","","Electric Damage is caused by lightning or sparks."
GLOSSARY_NUCLEAR,"핵","Used to search and highlight Nuclear damage type in descriptions","Nuclear"
GLOSSARY_NUCLEAR_DESCRIPTION,"핵 피해는 핵무기나 방사능으로 인해 발생합니다. 핵 피해는 기본적으로 편향 보호막을 무시합니다.","","Nuclear Damage is caused by atomic weapons or radiation. It inherently bypasses Deflector Shield."
GLOSSARY_THERMAL,"열","Used to search and highlight Thermal damage type in descriptions","Thermal"
GLOSSARY_THERMAL_DESCRIPTION,"{0}열{1} 피해 유형에는 {2}폭발{3}, {4}플라스마{5}, {6}전기{7} 피해가 있습니다.\n\n열 피해 유형에서 다른 유형으로 피해가 전환될 경우, {8}열{9} 피해 속성은 기존 값의 {10}만큼 적용됩니다.","{0-9}=color markers, {10}=percentage","{0}Thermal{1} Damage types are {2}Explosive{3}, {4}Plasma{5} and {6}Electric{7}.\n\nWhen damage is converted from a thermal damage type, {8}Thermal{9} Damage modifiers apply at {10} of their value."
GLOSSARY_PIERCE,"관통|관통하는|관통한","Used as title for Glossary entry","Pierce"
GLOSSARY_PIERCE_DESCRIPTION,"적을 명중하고 관통한 투사체는 제거되지 않고 경로를 따라 계속 나아갑니다.","Used to as description for Glossary entry","Projectiles that hit an enemy and pierce are not removed. They continue traveling along their path."
GLOSSARY_RANGE,"범위","","Range"
GLOSSARY_RANGE_DESCRIPTION,"범위는 무기로 적을 대상으로 지정하고 공격할 수 있는 거리를 결정합니다.","","Range determines how far away enemies can be targeted and attacked with a weapon."
GLOSSARY_ATTRIBUTES,"능력치","Used as title in Glossary","Attributes"
GLOSSARY_MASS,"질량","Used as title and search string in Glossary","Mass"
GLOSSARY_MASS_DESCRIPTION,"포인트당 효과:\n\n장갑 {0} 증가\n{2}운동 에너지 피해{3} {1} 증폭\n가속 {4} 감소","Used as description for Mass\n{0}=increase armor, for instance 1%\n{1}=more damage, for instance 1%\n{2,3}=damage color marker\n{4}=increased acceleration, for instance 1%","Each point grants:\n\n{0} increased Armor\n{1} more {2}Kinetic Damage{3}\n{4} reduced Acceleration"
GLOSSARY_ENERGY,"에너지","Used as title and search string in Glossary","Energy"
GLOSSARY_ENERGY_DESCRIPTION,"포인트당 효과:\n\n편향 보호막 {0} 증가\n대시 재충전 {1} 가속\n{3}열{4} 피해 {2} 증폭","Used as description for Energy\n{0}=increased deflector shield, for instance 1%\n{1}=faster dash recharge, for instance 1%\n{2}=more thermal damage, for instance 1%\n{3,4}=damage color marker","Each point grants:\n\n{0} increased Deflector Shield\n{1} faster Dash Recharge\n{2} more {3}Thermal{4} Damage"
GLOSSARY_TIME,"시간","Used as title and search string in Glossary","Time"
GLOSSARY_TIME_DESCRIPTION,"포인트당 효과:\n\n함선 주위의 시간 흐름을 {0} 가속하여, {1} 범위 내의 플레이어, 적, 투사체 등 모든 것의 속도를 높입니다.\n\n시간은 소환수와 기생체에게 계승됩니다.","Used as description for Time\n{0}=speedup per time, e.g. 1%\n{1}=range around the player affected by time, e.g. 300","Each point grants:\n\n{0} faster flow of time around your ship, speeding up everything in {1} range - including you, enemies, and projectiles.\n\nTime is inherited by your Minions and Parasites."
GLOSSARY_DEFLECTOR_SHIELD,"편향 보호막","","Deflector Shield"
GLOSSARY_DEFLECTOR_SHIELD_DESCRIPTION,"편향 보호막은 장갑이 피해를 받지 않도록 보호합니다.\n{0} 동안 피해를 받지 않으면 편향 보호막이 충전됩니다. 핵 피해는 기본적으로 편향 보호막을 무시합니다.","{0}=2 seconds","Deflector Shield protects your Armor from taking damage.\nDeflector Shield recharges after {0} of not taking damage. Nuclear Damage inherently bypasses Deflector Shield."
GLOSSARY_VELOCITY,"속도","","Velocity"
GLOSSARY_VELOCITY_DESCRIPTION,"속도는 함선의 최대 이동 속도를 결정합니다.","","Velocity determines your ship's maximum movement speed."
GLOSSARY_ACCELERATION,"가속","","Acceleration"
GLOSSARY_ACCELERATION_DESCRIPTION,"가속은 함선이 속도가 얼마나 빠르게 높아지는지를 결정합니다.","","Acceleration determines how fast your ship gains speed."
GLOSSARY_PICKUP_RANGE,"습득 범위","","Pickup Range"
