key,value,comment,english
ITEM_INTRINSIC_QUALITY_SCRAP,"고철","Intrinsic quality of an item","Scrap"
ITEM_INTRINSIC_QUALITY_RUSTY,"녹슮","Intrinsic quality of an item","Rusty"
ITEM_INTRINSIC_QUALITY_AUGMENTED,"증강","Intrinsic quality of an item","Augmented"
ITEM_INTRINSIC_QUALITY_ENHANCED,"강화","Intrinsic quality of an item","Enhanced"
ITEM_INTRINSIC_QUALITY_EXCEPTIONAL,"특출","Intrinsic quality of an item","Exceptional"
ITEM_INTRINSIC_QUALITY_HEAVY,"육중","Intrinsic quality of an item","Heavy"
ITEM_INTRINSIC_QUALITY_ELITE,"정예","Intrinsic quality of an item","Elite"
ITEM_INTRINSIC_QUALITY_RELIC,"유물","Intrinsic quality of an item","Relic"
ITEM_INTRINSIC_QUALITY_ELDER,"선대","Intrinsic quality of an item","Elder"
ITEM_INTRINSIC_QUALITY_ANCIENT,"고대","Intrinsic quality of an item","Ancient"
ITEM_INTRINSIC_QUALITY_ETERNAL,"영원","Intrinsic quality of an item","Eternal"
ITEM_CATEGORY_WEAPON,"무기","item category","Weapon"
ITEM_CATEGORY_SHIELD,"보호막","item category","Shield"
ITEM_CATEGORY_CORE,"코어","item category","Core"
ITEM_CATEGORY_ENGINE,"엔진","item category","Engine"
ITEM_CATEGORY_NEXUS,"넥서스","item category","Nexus"
ITEM_CATEGORY_MOD,"속성","item category","Mod"
ITEM_CATEGORY_CHIP,"칩","item category","Chip"
ITEM_CATEGORY_DICE,"주사위","item category","Dice"
ITEM_CATEGORY_REWARD,"보상","item category","Reward"
ITEM_CATEGORY_QUEST_ITEM,"퀘스트 아이템","item category","Quest Item"
ITEM_CATEGORY_SECTOR_ITEM,"섹터","item category","Sector"
ITEM_CATEGORY_SECTOR_CHIP,"섹터 칩","item category","Sector Chip"
ITEM_TAG_ATTACK,"공격","item tag","Attack"
ITEM_TAG_ATTACK_SPEED,"공격 속도","item tag","Attack Speed"
ITEM_TAG_RANGE,"범위","item tag","Range"
ITEM_TAG_FIELD,"역장","item tag","Field"
ITEM_TAG_AOE,"효과 범위","item tag","AoE"
ITEM_TAG_PROJECTILE,"투사체","item tag","Projectile"
ITEM_TAG_DOT,"지속 피해","item tag","DoT"
ITEM_TAG_HIT,"명중","item tag","Hit"
ITEM_TAG_MINION,"소환수","item tag","Minion"
ITEM_TAG_PARASITE,"기생체","item tag","Parasite"
ITEM_TAG_VIRUS,"바이러스","item tag","Virus"
ITEM_TAG_VIRUS_FIELD,"바이러스 역장","item tag","Virus Field"
ITEM_TAG_MELEE,"근접","item tag","Melee"
ITEM_TAG_REFLECT,"반사","item tag","Reflect"
ITEM_TAG_MINE,"기뢰","item tag","Mine"
ITEM_STASH_TAB_DICE,"주사위","stash tab","Dice"
ITEM_STASH_TAB_GEAR,"장비","stash tab","Gear"
ITEM_STASH_TAB_MOD,"속성","stash tab","Mod"
ITEM_STASH_TAB_UNIQUE,"고유","stash tab","Unique"
ITEM_STASH_TAB_MISC,"기타","stash tab","Misc"
ITEM_STASH_TAB_SECTOR,"섹터","stash tab","Sector"
ITEM_CHIP,"칩","item name","Chip"
ITEM_CHIP_DESCRIPTION,"스킬 트리의 칩 홈에 장착합니다","Description of Chip items","Fits into a Chip Socket on the Skill Tree"
ITEM_SECTOR_CHIP,"섹터 칩","item name","Sector Chip"
ITEM_SECTOR_CHIP_DESCRIPTION,"구슬 기계 스킬 트리의 홈에 장착합니다","Description of Sector Chip items","Fits into a Socket on the Marble Machine Skill Tree"
ITEM_CRIT_RIPPER,"치명타 파열기","item name","Crit Ripper"
ITEM_EMPOWERED_CRIT_RIPPER,"Empowered Crit Ripper","item name","Empowered Crit Ripper"
ITEM_DRONE_MASTER,"드론 마스터","item name","Drone Master"
ITEM_EMPOWERED_CHIP,"강화된 칩","item name","Empowered Chip"
ITEM_SINGULARITY,"특이점","item name","Singularity"
ITEM_ESCAPE_CIRCUIT,"탈출 회로","item name","Escape Circuit"
ITEM_SHEAKIRUS_WRATH,"셰아키루의 분노","item name","Sheakiru's Wrath"
ITEM_SOUL_STONE,"영혼석","item name","Soul Stone"
ITEM_SPIRIT_ANIMALS_SOUL_STONE,"{0}의 영혼석","{0}=name of spirit animal, e.g. Huli","{0}'s Soul Stone"
ITEM_THE_GRAND_FINALE,"대단원의 막","item name","The Grand Finale"
ITEM_ZEDS_PACT,"제드의 서약","item name","Zed's Pact"
ITEM_CHAOS_CIRCUIT,"카오스 회로","item name","Chaos Circuit"
ITEM_DRAGON_EYE,"용의 눈","item name","Dragon Eye"
ITEM_BASTION,"보루","item name","Bastion"
ITEM_NULLHEART,"공허의 심장","item name","Nullheart"
ITEM_PAPYRUS,"파피루스","item name","Papyrus"
ITEM_PAPYRUS_DESCRIPTION,"최고의 방어 수단은 바로 종이입니다","item name","Paper is the best Defense"
ITEM_PELT_OF_THE_MOON_KING,"달의 왕의 생가죽","item name","Pelt of the Moon King"
ITEM_CRYSTAL_CORE,"수정 코어","item name","Crystal Core"
ITEM_ETHEREAL_CORE,"에테르 코어","item name","Ethereal Core"
ITEM_NEBULA_CORE,"성운 코어","item name","Nebula Core"
ITEM_PHANTOM_CORE,"환영 코어","item name","Phantom Core"
ITEM_POLYMER_CORE,"폴리머 코어","item name","Polymer Core"
ITEM_TITANIUM_CORE,"티타늄 코어","item name","Titanium Core"
ITEM_SHIELD_OF_ARESTUM,"아레스툼의 보호막","item name","Shield of Arestum"
ITEM_CRYSTAL_SHIELD,"수정 보호막","item name","Crystal Shield"
ITEM_ETHEREAL_SHIELD,"에테르 보호막","item name","Ethereal Shield"
ITEM_NEBULA_SHIELD,"성운 보호막","item name","Nebula Shield"
ITEM_PHANTOM_SHIELD,"환영 보호막","item name","Phantom Shield"
ITEM_POLYMER_SHIELD,"폴리머 보호막","item name","Polymer Shield"
ITEM_TITANIUM_SHIELD,"티타늄 보호막","item name","Titanium Shield"
ITEM_GLASS_SHIELD,"유리 보호막","item name","Glass Shield"
ITEM_SIEBENMEILEN,"지벤마일렌","item name","Siebenmeilen"
ITEM_AFTERBURNER,"애프터버너","item name","Afterburner"
ITEM_AFTERBURNER_DESCRIPTION,"최대 속도가 증가하고\n뒤에 폭발의 흔적을 남깁니다","item description","Increases maximum velocity\nand leaves a trail of explosions behind"
ITEM_AFTERBURNER_DESCRIPTION_2,"뒤에 화염의 흔적을 남깁니다","item description","Leaves a trail of flames behind"
ITEM_BLACK_HOLE_WARP,"블랙홀 워프","item name","Black Hole Warp"
ITEM_BLACK_HOLE_WARP_DESCRIPTION,"뒤에 블랙홀을 남깁니다","item name","Leaves a black hole behind"
ITEM_EMP,"EMP","item name","EMP"
ITEM_EMP_DESCRIPTION,"주변의 적에게 번개를 내리칩니다","item name","Strikes lightning at nearby enemies"
ITEM_FUSION_DRIVE,"융합 드라이브","item name","Fusion Drive"
ITEM_FUSION_DRIVE_DESCRIPTION,"대상 위치를 핵폭발로 공격합니다","item name","Attack with nuclear explosions at target location"
ITEM_THRUSTER,"추진기","item name","Thruster"
ITEM_WARP,"워프","item name","Warp"
ITEM_WARP_DESCRIPTION,"시전 위치와 대상 위치에 초신성을 발사합니다.","item name","Fires a nova at the source and target location"
ITEM_ASTRAL_AFFIX,"우주 접사","item name","Astral Affix"
ITEM_ASTRAL_AFFIX_DESCRIPTION_UNCOMMON,"저장된 접사를 {0}고급{1} 아이템에 추가합니다.","{0,1}=color","Add stored Affix to an {0}uncommon{1} item"
ITEM_ASTRAL_AFFIX_DESCRIPTION_RARE,"저장된 접사를 {0}희귀{1} 아이템에 추가합니다.","{0,1}=color","Add stored Affix to a {0}rare{1} item"
ITEM_ASTRAL_DICE,"우주 주사위","item name","Astral Dice"
ITEM_ASTRAL_DICE_DESCRIPTION,"비-고유 아이템을 파괴하여 무작위 접사를 추출합니다","","Destroy a non-unique item to extract a random Affix"
ITEM_ASTRAL_DICE_DESCRIPTION_BLUEPRINT_HINT,"비-고유 섹터를 파괴하여 청사진을 추출합니다","","Destroy a non-unique sector to extract its Blueprint"
ITEM_BLANK_DICE,"빈 주사위","item name","Blank Dice"
ITEM_BLANK_DICE_DESCRIPTION,"비-고유 아이템의 희귀도를 {0}일반{1}으로 변경합니다","{0,1}=color","Change rarity of non-unique item to {0}common{1}"
ITEM_INFINITY_DICE,"무한 주사위","item name","Infinity Dice"
ITEM_INFINITY_DICE_DESCRIPTION,"{0}고유{1} 아이템의 등급을 업그레이드합니다","{0,1}=color","Upgrade tier of a {0}unique{1} item"
ITEM_JINX_DICE,"징크스 주사위","item name","Jinx Dice"
ITEM_JINX_DICE_DESCRIPTION,"{0}고급{1} 또는 {2}희귀{3} 아이템에 접사를 추가합니다","{0,1,2,3}=color","Add Affix to an {0}uncommon{1} or {2}rare{3} item"
ITEM_LUNAR_DICE,"달 주사위","item name","Lunar Dice"
ITEM_LUNAR_DICE_DESCRIPTION,"무작위 아이템 접사를 강화합니다","","Improves a random item Affix"
ITEM_PLASMA_DICE,"플라스마 주사위","item name","Plasma Dice"
ITEM_PLASMA_DICE_DESCRIPTION,"{0}일반{1} 아이템의 희귀도를 {2}고급{3} 등급으로 변경합니다","{0,1,2,3}=color","Change rarity of a {0}common{1} item to {2}uncommon{3}"
ITEM_SOLAR_DICE,"태양 주사위","item name","Solar Dice"
ITEM_SOLAR_DICE_DESCRIPTION,"{0}고급{1} 아이템의 희귀도를 {2}희귀{3} 등급으로 변경합니다","{0,1,2,3}=color","Change rarity of an {0}uncommon{1} item to {2}rare{3}"
ITEM_SLOT_DICE,"슬롯 주사위","item name","Slot Dice"
ITEM_SLOT_DICE_DESCRIPTION,"속성 슬롯의 수를 무작위 변경합니다","","Re-rolls number of modifier slots"
ITEM_VOID_DICE,"공허 주사위","item name","Void Dice"
ITEM_VOID_DICE_DESCRIPTION,"비-고유 아이템에서 무작위 접사를 삭제합니다","","Erase random Affix from a non-unique item"
ITEM_UNKNOWN_DICE,"알 수 없는 주사위","if crafting manual not found yet","Unknown Dice"
ITEM_UNKNOWN_DICE_DESCRIPTION,"매혹적으로 반짝여서 더 갖고 싶어집니다","if crafting manual not found yet","Shimmers enticingly - you wish you had more of it"
ITEM_BLUEPRINT,"청사진","item name","Blueprint"
ITEM_BLUEPRINT_DESCRIPTION,"저장된 접사들을 비-고유 섹터에 각인합니다","","Imprints stored Affixes onto a non-unique Sector"
ITEM_BLUEPRINT_USES_REMAINING_ONE,"남은 사용 횟수 {0}회","{0}=amount","{0} use remaining"
ITEM_BLUEPRINT_USES_REMAINING_MANY,"남은 사용 횟수 {0}회","{0}=amount","{0} uses remaining"
ITEM_NEXUS_SHARD,"넥서스 파편","item name","Nexus Shard"
ITEM_NEXUS_SHARD_DESCRIPTION,"넥서스 아이템을 증강합니다","","Augments any Nexus item"
ITEM_ADDITIONAL_ATTACKS,"추가 공격","item name","Additional Attacks"
ITEM_AEGIS,"이지스","item name","Aegis"
ITEM_COMMON_FIELD_DESCRIPTION,"{0} 범위 내의 아군을 강화하는 역장입니다","{0}=range","Field that buffs allies in {0} range"
ITEM_AFTERSHOCK,"여진","item name","Aftershock"
ITEM_AGILITY,"민첩","item name","Agility"
ITEM_AGONY,"고통","item name","Agony"
ITEM_AMP,"증폭기","item name","Amp"
ITEM_AOE,"효과 범위","item name","AoE"
ITEM_ARMOR_LEECH,"장갑 흡수","item name","Armor Leech"
ITEM_ARMOR_ON_HIT,"명중 시 장갑","item name","Armor on Hit"
ITEM_ATTACK_SPEED,"공격 속도","item name","Attack Speed"
ITEM_AURORA_BULWARK,"오로라 방벽","item name","Aurora Bulwark"
ITEM_AURORA_BULWARK_DESCRIPTION,"코어에 장착합니다","item description","Equips your Core"
ITEM_BETA_RAY,"베타선","item name","Beta-Ray"
ITEM_BLAST_GUARD,"방폭","item name","Blastguard"
ITEM_BLIND,"실명","item name","Blind"
ITEM_BOOMERANG,"부메랑","item name","Boomerang"
ITEM_BURST,"격발","item name","Burst"
ITEM_COMMON_VIRUS_DESCRIPTION,"명중한 적의 방어를 해킹하는 바이러스입니다\n적 하나당 최대 1개의 바이러스만 적용됩니다","item description","Virus that hacks the defence of enemies hit\nMaximum of 1 Virus per enemy"
ITEM_CHAIN,"연쇄","item name","Chain"
ITEM_CHRONOS,"크로노스","item name","Chronos"
ITEM_CONTAGION,"전염","item name","Contagion"
ITEM_CORRODE,"부식","item name","Corrode"
ITEM_CRUMBLE,"붕괴","item name","Crumble"
ITEM_CRUSH,"타쇄","item name","Crush"
ITEM_DASH_ON_HIT,"명중 시 대시","item name","Dash on Hit"
ITEM_DEATH_THRESHOLD,"즉사 한계치","item name","Death Threshold"
ITEM_DEBRIS,"파쇄","item name","Debris"
ITEM_DIAMOND,"다이아몬드","item name","Diamond"
ITEM_ECLIPSE,"일식","item name","Eclipse"
ITEM_ELECTRIC,"전기","item name","Electric"
ITEM_ENERGY,"에너지","item name","Energy"
ITEM_FARADAY,"패러데이","item name","Faraday"
ITEM_FIELD,"역장","item name","Field"
ITEM_FLARE,"플레어","item name","Flare"
ITEM_FOCUS,"집중","item name","Focus"
ITEM_FORGE,"단조","item name","Forge"
ITEM_GRAV,"중력","item name","Grav"
ITEM_GRAV_DESCRIPTION,"소환수에 적용됩니다","item description","Modifies Minions"
ITEM_GRIM_BULWARK,"어둠의 방벽","item name","Grim Bulwark"
