key,value,comment,english
MISSION_TUTORIAL,"First Contact","Name of the tutorial mission","First Contact"
MISSION_ABYSS,"Abyss","Name of all Abyss Missions","Abyss"
MISSION_ABYSS_DEPTH,"Depth","Abyss Depth","Depth"
MISSION_EGG_HUNT,"Egg Hunt","Mission name","Egg Hunt"
MISSION_BIG_EGG_HUNT,"Big Egg Hunt","Mission name","Big Egg Hunt"
MISSION_ASTEROID_FIELD,"Asteroid Field","Mission name","Asteroid Field"
MISSION_ARENA,"Arena","Mission name","Arena"
MISSION_WAVES_OF_CORRUPTION,"Waves of Corruption","Mission name","Waves of Corruption"
MISSION_TREASURE_HUNT,"Treasure Hunt","Mission name","Treasure Hunt"
MISSION_DEFEAT_KOKO,"Defeat Koko","Mission name","Defeat Koko"
MISSION_THE_BIG_EGG,"The Big Egg","Mission name","The Big Egg"
MISSION_CHAMBER_OF_NIHALOR,"Chamber of Nihalor","Mission name","Chamber of Nihalor"
MISSION_SURVIVE,"Survive","Mission name","Survive"
MISSION_INTERLUDE,"Interlude","Mission name","Interlude"
MISSION_KING_GRUVAKS_CASTLE,"King Gruvak's Castle","Mission name","King Gruvak's Castle"
MISSION_LAZURITHS_HIDE,"Lazurith's Hide","Mission name","Lazurith's Hide"
MISSION_VETH_MARAS_LAIR,"Veth'mara's Lair","Mission name","Veth'mara's Lair"
MISSION_SEPULCHER_OF_IRON_VIGIL,"Sepulcher of Iron Vigil","Mission name","Sepulcher of Iron Vigil"
MISSION_THE_LOST_OPAL,"The Lost Opal","Mission name","The Lost Opal"
MISSION_TOMB_OF_VIRA,"Tomb of Vira","Mission name","Tomb of Vira"
MISSION_CRYPT_OF_ETERNAL_VOLTRON,"Crypt of Eternal Voltron","Mission name","Crypt of Eternal Voltron"
MISSION_ECHOES_OF_THE_PAST,"Echoes of the Past","Mission name","Echoes of the Past"
MISSION_TURTLE_IN_NEED,"Turtle in Need","Mission name","Turtle in Need"
MISSION_HUNT,"Hunt","Mission name","Hunt"
MISSION_HAUNTED_SECTOR,"Haunted Sector","Mission name","Haunted Sector"
MISSION_BUZZER_SPIRAL_SECTOR,"Buzzer Spiral Sector","Mission name","Buzzer Spiral Sector"
MISSION_SPARKER_SPIRAL_SECTOR,"Sparker Spiral Sector","Mission name","Sparker Spiral Sector"
MISSION_SHOCKWAVE_SECTOR,"Shockwave Sector","Mission name","Shockwave Sector"
MISSION_PLASMA_PURSUIT,"Plasma Pursuit","Mission name","Plasma Pursuit"
MISSION_PLASMA_SECTOR,"Plasma Sector","Mission name","Plasma Sector"
