key,value,comment,english
MMSKILL_RARITY,"희귀도","Skill node","Rarity"
MMSKILL_EXPERIENCE,"경험치","Skill node","Experience"
MMSKILL_SECTOR_RANK,"섹터 등급","Skill node","Sector Rank"
MMSKILL_SECTOR_CHANCE,"섹터 확률","Skill node","Sector Chance"
MMSKILL_MONSTER_LEVEL,"몬스터 레벨","Skill node","Monster Level"
MMSKILL_MONSTROSITY,"강력한 몬스터","Skill node","Monstrosity"
MMSKILL_OCTRON_ITEM_CHANCE,"옥트론 아이템 확률","Skill node","Octron Item Chance"
MMSKILL_ABYSS_OCTRON_ITEM_CHANCE,"심연 옥트론 아이템 확률","Skill node","Abyss Octron Item Chance"
MMSKILL_WHISPERS_OF_OCTRON,"옥트론의 속삭임","Skill node","Whispers of Octron"
MMSKILL_WHISPERS_OF_THE_DEEP,"깊은 곳의 속삭임","Skill node","Whispers of the Deep"
MMSKILL_FAVOR_OF_THE_DEEP,"깊은 곳의 총애","Skill node","Favor of the Deep"
MMSKILL_ABYSS_RARITY,"심연 희귀도","Skill node","Abyss Rarity"
MMSKILL_DEEP_TREASURES,"깊은 곳의 보물","Skill node","Deep Treasures"
MMSKILL_ABYSS_EXPERIENCE,"심연 경험치","Skill node","Abyss Experience"
MMSKILL_DEEP_WISDOM,"깊은 곳의 지혜","Skill node","Deep Wisdom"
MMSKILL_ABYSS_CARLO_MISSION_CHANCE,"심연 칼로 임무 확률","Skill node","Abyss Carlo Mission Chance"
MMSKILL_BLACK_MARKET,"암시장","Skill node","Black Market"
MMSKILL_CARLO_MISSION_CHANCE,"칼로 임무 확률","Skill node","Carlo Mission Chance"
MMSKILL_PROFITABLE_PASSAGE,"수익성 높은 길목","Skill node","Profitable Passage"
MMSKILL_MORE_EGGS,"알 증폭","Skill node","More Eggs"
MMSKILL_ABYSS_RARITY_AND_EXPERIENCE,"심연 희귀도 및 경험치","Skill node","Abyss Rarity and Experience"
MMSKILL_MAW_OF_THE_ABYSS,"심연의 아귀","Skill node","Maw of the Abyss"
MMSKILL_UNIQUE_MONSTER_EXPERIENCE,"고유 몬스터 경험치","Skill node","Unique Monster Experience"
MMSKILL_UNIQUE_MONSTER_DAMAGE_AND_EXPERIENCE,"고유 몬스터 피해 및 경험치","Skill node","Unique Monster Damage and Experience"
MMSKILL_UNIQUE_MONSTER_ARMOR_AND_EXPERIENCE,"고유 몬스터 장갑 및 경험치","Skill node","Unique Monster Armor and Experience"
MMSKILL_TRIAL_OF_FURY,"격노의 시험","Skill node","Trial of Fury"
MMSKILL_TRIAL_OF_FORTITUDE,"불굴의 시험","Skill node","Trial of Fortitude"
MMSKILL_MUTATION_ANOMALY,"돌연변이 이상 현상","Skill node","Mutation Anomaly"
MMSKILL_NEST_OF_ABUNDANCE,"풍요의 둥지","Skill node","Nest of Abundance"
MMSKILL_CALL_OF_WEAPONS,"무기의 부름","Skill node","Call of Weapons"
MMSKILL_CALL_OF_SHIELDS,"보호막의 부름","Skill node","Call of Shields"
MMSKILL_CALL_OF_THE_CORE,"코어의 부름","Skill node","Call of the Core"
MMSKILL_CALL_OF_THE_ENGINE,"엔진의 부름","Skill node","Call of the Engine"
MMSKILL_CALL_OF_THE_NEXUS,"넥서스의 부름","Skill node","Call of the Nexus"
MMSKILL_CARLO_MISSION_RARITY,"칼로 임무 희귀도","Skill node","Carlo Mission Rarity"
MMSKILL_UBER_DRAK_VETH,"우버 드락베스","Skill node","Uber Drak'Veth"
MMSKILL_UBER_MATILDA,"우버 마틸다","Skill node","Uber Matilda"
MMSKILL_GOLDEN_NOSE,"황금 코","Skill node","Golden Nose"
MMSKILL_EXQUISITE_BEAK,"정교한 부리","Skill node","Exquisite Beak"
MMSKILL_ABYSS_KIKI_MISSION_CHANCE,"심연 키키 임무 확률","Skill node","Abyss Kiki Mission Chance"
MMSKILL_LOOT_SNIFFER,"전리품 탐지","Skill node","Loot Sniffer"
MMSKILL_KIKI_MISSION_CHANCE,"키키 임무 확률","Skill node","Kiki Mission Chance"
MMSKILL_HIDDEN_VAULT,"숨겨진 금고","Skill node","Hidden Vault"
MMSKILL_KIKI_MISSION_RARITY,"키키 임무 희귀도","Skill node","Kiki Mission Rarity"
MMSKILL_TREASURE_TINGLE,"보물 감지","Skill node","Treasure Tingle"
