key,value,comment,english
SKILL_ARMOR,"장갑","Skill node","Armor"
SKILL_ARMOR_AND_MASS,"장갑 및 질량","Skill node","Armor and Mass"
SKILL_MULTICRIT,"다중 치명타","Skill node","Multicrit"
SKILL_DAMAGE_OVER_TIME,"지속 피해","Skill node","Damage over Time"
SKILL_PESTILENCE,"역병","Skill node","Pestilence"
SKILL_DAMAGE_OVER_TIME_AND_TIME,"지속 피해 및 시간","Skill node","Damage over Time and Time"
SKILL_NECROBLAST,"괴사 격발","Skill node","Necroblast"
SKILL_EXPLOSIVE_NECROBLAST,"폭발 괴사 격발","Skill node","Explosive Necroblast"
SKILL_PLASMA_NECROBLAST,"플라스마 괴사 격발","Skill node","Plasma Necroblast"
SKILL_ELECTRIC_NECROBLAST,"전기 괴사 격발","Skill node","Electric Necroblast"
SKILL_NUCLEAR_NECROBLAST,"핵 괴사 격발","Skill node","Nuclear Necroblast"
SKILL_MINION_DAMAGE,"소환수 피해","Skill node","Minion Damage"
SKILL_MINION_ARMOR,"소환수 장갑","Skill node","Minion Armor"
SKILL_RADIANT_ANNIHILATION,"찬란한 섬멸","Skill node","Radiant Annihilation"
SKILL_RADIATION_CHANCE,"방사능 확률","Skill node","Radiation Chance"
SKILL_DASH_AND_ENERGY,"대시 및 에너지","Skill node","Dash and Energy"
SKILL_ENGINE_DAMAGE,"엔진 피해","Skill node","Engine Damage"
SKILL_ENGINE_DAMAGE_AND_RECHARGE,"엔진 피해 및 재충전","Skill node","Engine Damage and Recharge"
SKILL_DASH_RECHARGE,"대시 재충전","Skill node","Dash Recharge"
SKILL_THERMAL_DAMAGE_AND_ENERGY,"열 피해 및 에너지","Skill node","Thermal Damage and Energy"
SKILL_THERMAL_DAMAGE,"열 피해","Skill node","Thermal Damage"
SKILL_EXPLOSIVE_DAMAGE,"폭발 피해","Skill node","Explosive Damage"
SKILL_PLASMA_DAMAGE,"플라스마 피해","Skill node","Plasma Damage"
SKILL_ELECTRIC_DAMAGE,"전기 피해","Skill node","Electric Damage"
SKILL_DEFLECTOR_SHIELD_AND_ENERGY,"편향 보호막 및 에너지","Skill node","Deflector Shield and Energy"
SKILL_DEFLECTOR_SHIELD_AND_DODGE,"편향 보호막 및 회피","Skill node","Deflector Shield and Dodge"
SKILL_CRITICAL_STRIKE_CHANCE,"치명타 확률","Skill node","Critical Strike Chance"
