key,value,comment,english
UI_VERSION_LABEL,"버전","","Version"
UI_BUILD_LABEL,"빌드","","Build"
UI_START_SCREEN_RESUME,"이어하기","Resume game button on the start screen","RESUME"
UI_START_SCREEN_NEW_GAME,"새 게임","New game button on the start screen","NEW GAME"
UI_START_SCREEN_SETTINGS,"설정","Settings button on the start screen","SETTINGS"
UI_START_SCREEN_EXIT,"종료","Exit button on the start screen","EXIT"
UI_CLOSE_BUTTON,"닫기","Button to close a menu or a dialog","Close"
UI_YES_BUTTON,"예","Button to close a menu or a dialog","Yes"
UI_NO_BUTTON,"아니요","Button to close a menu or a dialog","No"
UI_SETTINGS_TAB_DISPLAY,"화면","Tab for display settings","Display"
UI_SETTINGS_TAB_AUDIO,"오디오","Tab for audio settings","Audio"
UI_SETTINGS_TAB_CONTROLS,"조작","Tab for control settings","Controls"
UI_SETTINGS_TAB_SHIP,"함선","Tab for control settings","Ship"
UI_SETTINGS_DISPLAY_LANGUAGE,"언어","Setting for display language","Language"
UI_SETTINGS_DISPLAY_MODE,"화면 모드","Setting for display mode","Display Mode"
UI_SETTINGS_DISPLAY_MODE_WINDOWED_FULLSCREEN,"창 모드 전체 화면","Run the game in windowed fullscreen mode","Windowed Fullscreen"
UI_SETTINGS_DISPLAY_MODE_WINDOWED,"창 모드","Run the game in windowed mode","Windowed"
UI_SETTINGS_DISPLAY_MODE_FULLSCREEN,"전체 화면","Run the game in exclusive fullscreen","Fullscreen"
UI_SETTINGS_DISPLAY_REFRESH_MODE,"목표 FPS","","Target FPS"
UI_SETTINGS_DISPLAY_REFRESH_MODE_VSYNC,"수직 동기화","","V-Sync"
UI_SETTINGS_DISPLAY_REFRESH_MODE_FPS,"{0}FPS","{0}=amount, e.g. 60","{0} FPS"
UI_SETTINGS_DISPLAY_MISSION_DATA,"임무 데이터 표시","Setting to toggle mission data","Show Mission Data"
UI_SETTINGS_DISPLAY_DAMAGE_COLORS,"피해량 색상 표시","Setting to toggle damage colors","Show Damage Colors"
UI_SETTINGS_DISPLAY_FPS,"FPS 표시","Setting to toggle fps","Show FPS"
UI_SETTINGS_DISPLAY_NATIVE_MOUSE_CURSOR,"네이티브 마우스 커서","Setting to toggle native mouse cursor","Native mouse cursor"
UI_SETTINGS_DISPLAY_ITEM_ANIMATIONS,"아이템 애니메이션 표시","Setting to toggle item animations","Show Item Animations"
UI_SETTINGS_DISPLAY_CORRUPTED_AREA_PARTICLES,"타락한 지역 파티클 표시","Performance setting to toggle corrupted area particles","Show Corrupted Area Particles"
UI_SETTINGS_AUDIO_LIB,"오디오 라이브러리","Setting to toggle audio library","Audio Lib"
UI_SETTINGS_AUDIO_GLOBAL,"전체","Setting for Global audio volume","Global"
UI_SETTINGS_AUDIO_MUSIC,"음악","Setting for Music volume","Music"
UI_SETTINGS_AUDIO_SFX,"효과음","Setting for SFX volume","SFX"
UI_SETTINGS_AUDIO_LOOT,"전리품","Setting for Loot volume","Loot"
UI_SETTINGS_AUDIO_UI,"UI","Setting for UI volume","UI"
UI_SETTINGS_AUDIO_VOICE,"음성","Setting for Voice volume","Voice"
UI_SETTINGS_CONTROLS_CONTROLLER_SELECT,"선택","Setting for controller select button","Select"
UI_SETTINGS_CONTROLS_CONTROLLER_BACK,"뒤로 / 아이템 버리기","Setting for controller back button. Is also used to drop an item.","Back / Drop item"
UI_SETTINGS_CONTROLS_CONTROLLER_CONFIRM,"확인 / 아이템 옮기기","Setting for controller confirm button. Is also used to transfer an item.","Confirm / Transfer item"
UI_SETTINGS_CONTROLS_CONTROLLER_INFO,"정보","Setting for controller info button.","Info"
UI_SETTINGS_CONTROLS_CONTROLLER_DASH,"대시","Setting for controller dash button.","Dash"
UI_SETTINGS_CONTROLS_CONTROLLER_OPTIONS,"옵션","Setting for controller options button.","Options"
UI_SETTINGS_CONTROLS_CONTROLLER_SEARCH,"검색","Setting for controller search button.","Search"
UI_SETTINGS_CONTROLS_CONTROLLER_DEADZONE,"데드존","Setting for controller deadzone.","Deadzone"
UI_SETTINGS_CONTROLS_CONTROLLER_VIBRATION,"진동","Setting for controller vibration.","Vibration"
UI_SETTINGS_CONTROLS_SECTION_KEYBOARD,"키보드","Section for keyboard settings.","Keyboard"
UI_SETTINGS_CONTROLS_KEYBOARD_UP,"위","Setting for keyboard Up button","Up"
UI_SETTINGS_CONTROLS_KEYBOARD_LEFT,"왼쪽","Setting for keyboard Left button","Left"
UI_SETTINGS_CONTROLS_KEYBOARD_DOWN,"아래","Setting for keyboard Down button","Down"
UI_SETTINGS_CONTROLS_KEYBOARD_RIGHT,"오른쪽","Setting for keyboard Right button","Right"
UI_SETTINGS_CONTROLS_KEYBOARD_DASH,"대시","Setting for keyboard Dash button","Dash"
UI_SETTINGS_CONTROLS_KEYBOARD_INFO,"정보","Setting for keyboard Info button","Info"
UI_SETTINGS_CONTROLS_KEYBOARD_CONFIRM,"확인","Setting for keyboard Confirm button","Confirm"
UI_SETTINGS_CONTROLS_KEYBOARD_SCREENSHOT,"스크린샷","Setting for keyboard Screenshot button","Screenshot"
UI_SETTINGS_CONTROLS_SECTION_MOUSE,"마우스","Section for mouse settings.","Mouse"
UI_SETTINGS_CONTROLS_MOUSE_SCROLL_SPEED,"스크롤 속도","Setting for mouse scroll speed","Scroll Speed"
UI_SETTINGS_CONTROLS_CONTROLLER_CHOOSE_BUTTON,"새 버튼 누르기:","Prompt the player to press a controller button","Press new button:"
UI_SETTINGS_CONTROLS_KEYBOARD_CHOOSE_KEY,"새 키 누르기:","Prompt the player to press a key on the keyboard","Press new key:"
