key,value,comment,english
BOON_ARMOR_OF_THE_MOON_KING,"Броня Лунного короля","Boon","Armor of the Moon King"
BOON_SHIELD_OF_THE_MOON_KING,"Щит Лунного короля","Boon","Shield of the Moon King"
BOON_AGILITY_OF_THE_MOON_KING,"Проворство Лунного короля","Boon","Agility of the Moon King"
BOON_HIDE_OF_KING_GRUVAK,"Шкура короля Грувака","Boon","Hide of King Gruvak"
BOON_HORNS_OF_KING_GRUVAK,"Рога короля Грувака","Boon","Horns of King Gruvak"
BOON_ENDURANCE_OF_KING_GRUVAK,"Выносливость короля Грувака","Boon","Endurance of King Gruvak"
BOON_TOOTH_OF_VETH_MARA,"Зуб Вет'мары","Boon","Tooth of Veth'mara"
BOON_SHELL_OF_VETH_MARA,"Панцирь Вет'мары","Boon","Shell of Veth'mara"
BOON_COCOON_OF_VETH_MARA,"Кокон Вет'мары","Boon","Cocoon of Veth'mara"
BOON_OMEN_OF_LAZURITH,"Знамение Лазурита","Boon","Omen of Lazurith"
BOON_VAULT_OF_LAZURITH,"Хранилище Лазурита","Boon","Vault of Lazurith"
BOON_WISDOM_OF_LAZURITH,"Мудрость Лазурита","Boon","Wisdom of Lazurith"
