key,value,comment,english
BUFF_AEGIS_FIELD,"Поле эгиды","","Aegis Field"
BUFF_AEGIS_FIELD_DESCRIPTION,"Усиливает отражающий щит.","","Grants increased Deflector Shield"
BUFF_ARMOR_REPAIR_FIELD_RESILIENCE,"Стойкость","","Resilience"
BUFF_ARMOR_REPAIR_FIELD_BULWARK,"Оплот","","Bulwark"
BUFF_ARMOR_REPAIR_FIELD_DESCRIPTION,"Увеличивает восстановление брони.","","Grants increased Armor Repair"
BUFF_BLASTGUARD_FIELD,"Поле защиты от взрыва","","Blastguard Field"
BUFF_BLASTGUARD_FIELD_DESCRIPTION,"Увеличивает сопротивление взрывному урону.","","Grants increased Explosive Resistance"
BUFF_BLIND,"Ослепление","","Blind"
BUFF_BLIND_DESCRIPTION,"При ослеплении уменьшает наносимый урон и скорость.","","Deal less Damage and move slower while blinded"
BUFF_VENOM_BOOST,"Улучшение яда","","Venom Boost"
BUFF_VENOM_BOOST_DESCRIPTION,"Увеличивает постепенный урон.","","Grants more Damage over Time"
BUFF_TURBO_BOOST,"Турбоулучшение","","Turbo Boost"
BUFF_TURBO_BOOST_DESCRIPTION,"Увеличивает скорость атаки.","","Grants increased Attack Speed"
BUFF_SHIELD_BOOST,"Улучшение щита","","Shield Boost"
BUFF_SHIELD_BOOST_DESCRIPTION,"Уменьшает получаемый урон.","","Grants less Damage Taken"
BUFF_FOCUS_BOOST,"Улучшение концентрации","","Focus Boost"
BUFF_FOCUS_BOOST_DESCRIPTION,"Увеличивает шанс критического удара.","","Grants increased Critical Strike Chance"
BUFF_FORGE_BOOST,"Улучшение ковки","","Forge Boost"
BUFF_FORGE_BOOST_DESCRIPTION,"Увеличивает восстановление брони.","","Grants increased Armor Repair"
BUFF_DASH_REGENERATION_FIELD_RECHARGE,"Перезарядка","","Recharge"
BUFF_DASH_REGENERATION_FIELD_DESCRIPTION,"Увеличивает регенерацию рывка.","","Grants increased Dash Regeneration"
BUFF_DIAMOND_FIELD,"Алмазное поле","","Diamond Field"
BUFF_DIAMOND_FIELD_DESCRIPTION,"Увеличивает сопротивления.","","Grants increased Resistances"
BUFF_ECLIPSE_FIELD,"Поле затмения","","Eclipse Field"
BUFF_ECLIPSE_FIELD_DESCRIPTION,"Увеличивает сопротивление плазменному урону.","","Grants increased Plasma Resistance"
BUFF_ENERGY_FIELD,"Поле энергии","","Energy Field"
BUFF_ENERGY_FIELD_DESCRIPTION,"Увеличивает энергию.","","Grants increased Energy"
BUFF_FARADAY_FIELD,"Поле Фарадея","","Faraday Field"
BUFF_FARADAY_FIELD_DESCRIPTION,"Увеличивает сопротивление электрическому урону.","","Grants increased Electric Resistance"
BUFF_HOP,"Скачок","","Hop"
BUFF_HOP_DESCRIPTION,"Уменьшает получаемый урон во время и сразу после скачка.","","Take less damage while and shortly after hopping"
BUFF_MELEE,"Ближний бой","","Melee"
BUFF_MELEE_DESCRIPTION,"Уменьшает получаемый урон.","","Grants less Damage Taken"
BUFF_LETHALITY_FIELD,"Поле летальности","","Lethality Field"
BUFF_LETHALITY_FIELD_DESCRIPTION,"Увеличивает шанс критического удара и урон от него.","","Grants increased critical strike chance and damage"
BUFF_MASS_FIELD,"Поле массы","","Mass Field"
BUFF_MASS_FIELD_DESCRIPTION,"Увеличивает массу.","","Grants increased Mass"
BUFF_MINION_COUNT_ONE,"{1} ({0}) под вашим контролем","{0}=amount, {1}=singular minion name","You control {0} {1}"
BUFF_MINION_COUNT_MANY,"{1} ({0}) под вашим контролем","{0}=amount, {1}=plural minion name","You control {0} {1}"
BUFF_RETALIATION_INSTINCT,"Жажда возмездия","","Retaliation Instinct"
BUFF_RETALIATION_INSTINCT_DESCRIPTION,"Увеличивает урон.","","Grants increased Damage"
BUFF_SHAMROCK_FIELD,"Поле трилистника","","Shamrock Field"
BUFF_SHAMROCK_FIELD_DESCRIPTION,"Увеличивает удачу.","","Grants more Luck"
BUFF_TIME_FIELD,"Поле времени","","Time Field"
BUFF_TIME_FIELD_DESCRIPTION,"Увеличивает время.","","Grants increased Time"
BUFF_INCREASED_WEAPON_DAMAGE,"{0} получает {1} увеличение урона.","{0}=item name, {1}=percentage","{0} has gained {1} increased Damage"
BUFF_WINGS,"Крылья","","Wings"
BUFF_WINGS_DESCRIPTION,"Увеличивает скорость атаки.","","Grants increased Attack Speed"
BUFF_WISDOM,"Мудрость","","Wisdom"
BUFF_WISDOM_DESCRIPTION,"Увеличивает получаемый опыт.","","Grants increased Experience"
BUFF_GLUTTONY,"Ненасытность","","Gluttony"
BUFF_GLUTTONY_DESCRIPTION,"Увеличивает массу за каждое приобретенное усиление.","","Grants increased Mass per collected Power-Up"
BUFF_LOOT_BARRIER,"Барьер добычи","","Loot Barrier"
BUFF_LOOT_BARRIER_DESCRIPTION,"Уменьшает получаемый урон за каждое приобретенное усиление.","","Grants less damage taken per collected Power-Up"
BUFF_RAVENOUS_RICHES,"Алчность","","Ravenous Riches"
BUFF_RAVENOUS_RICHES_DESCRIPTION,"Увеличивает урон за каждое приобретенное усиление.","","Grants more damage per collected Power-Up"
BUFF_COOP,"Совместный режим","","Co-op"
BUFF_COOP_DESCRIPTION,"Вы в группе\nУ врагов на {0} больше брони","{0}=percentage","You are in a party\nEnemies have {0} more armor"
BUFF_COOP_DESTROYED_DESCRIPTION,"Ваш напарник уничтожен\nВы сами по себе","","Your partner has been destroyed\nYou are on your own"
