key,value,comment,english
COMMON_KINETIC_DAMAGE,"{0}Кинетический{1} урон","Kinetic damage type label, {0}, {1} are markers for damage color highlight","{0}Kinetic{1} Damage"
COMMON_EXPLOSIVE_DAMAGE,"{0}Взрывной{1} урон","Explosive damage type label, {0}, {1} are markers for damage color highlight","{0}Explosive{1} Damage"
COMMON_PLASMA_DAMAGE,"{0}Плазменный{1} урон","Plasma damage type label, {0}, {1} are markers for damage color highlight","{0}Plasma{1} Damage"
COMMON_ELECTRIC_DAMAGE,"{0}Электрический{1} урон","Electric damage type label, {0}, {1} are markers for damage color highlight","{0}Electric{1} Damage"
COMMON_NUCLEAR_DAMAGE,"{0}Ядерный{1} урон","Nuclear damage type label, {0}, {1} are markers for damage color highlight","{0}Nuclear{1} Damage"
COMMON_KINETIC_DAMAGE_PER_SECOND,"{0}Кинетический{1} урон в секунду","Kinetic damage type label, {0}, {1} are markers for damage color highlight","{0}Kinetic{1} Damage per Second"
COMMON_EXPLOSIVE_DAMAGE_PER_SECOND,"{0}Взрывной{1} урон в секунду","Explosive damage type label, {0}, {1} are markers for damage color highlight","{0}Explosive{1} Damage per Second"
COMMON_PLASMA_DAMAGE_PER_SECOND,"{0}Плазменный{1} урон в секунду","Plasma damage type label, {0}, {1} are markers for damage color highlight","{0}Plasma{1} Damage per Second"
COMMON_ELECTRIC_DAMAGE_PER_SECOND,"{0}Электрический{1} урон в секунду","Electric damage type label, {0}, {1} are markers for damage color highlight","{0}Electric{1} Damage per Second"
COMMON_NUCLEAR_DAMAGE_PER_SECOND,"{0}Ядерный{1} урон в секунду","Nuclear damage type label, {0}, {1} are markers for damage color highlight","{0}Nuclear{1} Damage per Second"
COMMON_KINETIC_RESISTANCE,"Сопротивление {0}кинетическому{1} урону","{0,1}=color","{0}Kinetic{1} Resistance"
COMMON_EXPLOSIVE_RESISTANCE,"Сопротивление {0}взрывному{1} урону","{0,1}=color","{0}Explosive{1} Resistance"
COMMON_PLASMA_RESISTANCE,"Сопротивление {0}плазменному{1} урону","{0,1}=color","{0}Plasma{1} Resistance"
COMMON_ELECTRIC_RESISTANCE,"Сопротивление {0}электрическому{1} урону","{0,1}=color","{0}Electric{1} Resistance"
COMMON_NUCLEAR_RESISTANCE,"Сопротивление {0}ядерному{1} урону","{0,1}=color","{0}Nuclear{1} Resistance"
COMMON_DEBRIS_CHANCE,"Шанс {0}появления обломков{1}","{0,1}=color","{0}Debris{1} Chance"
COMMON_AFTERSHOCK_CHANCE,"Шанс {0}сотрясения{1}","{0,1}=color","{0}Aftershock{1} Chance"
COMMON_BLIND_CHANCE,"Шанс {0}ослепления{1}","{0,1}=color","{0}Blind{1} Chance"
COMMON_SHOCK_CHANCE,"Шанс {0}шока{1}","{0,1}=color","{0}Shock{1} Chance"
COMMON_RADIATION_CHANCE,"Шанс {0}облучения{1}","{0,1}=color","{0}Radiation{1} Chance"
COMMON_DEBRIS_DAMAGE,"Урон от {0}обломков{1}","{0,1}=color","{0}Debris{1} Damage"
COMMON_DEBRIS_RADIUS,"Радиус {0}появления обломков{1}","{0,1}=color","{0}Debris{1} Radius"
