key,value,comment,english
ENEMY_ASH_QUEEN,"Пепельная королева","","Ash Queen"
ENEMY_ASTEROID,"Астероид","","Asteroid"
ENEMY_ASTEROID_SUMMONER,"Призыватель астероидов","","Asteroid Summoner"
ENEMY_AZATHOTH,"Азатот","","Azathoth"
ENEMY_RUST_BARON,"Ржавый барон","","The Rust Baron"
ENEMY_RUST_BARON_II,"Ржавый барон II","","The Rust Baron II"
ENEMY_BIG_ASTEROID,"Большой астероид","","Big Asteroid"
ENEMY_BIG_EGG_GUARD,"Страж большого яйца","","Big Egg Guard"
ENEMY_BIG_GUNNER,"Большой стрелок","","Big Gunner"
ENEMY_BIG_GUN_TURRET,"Большая пулеметная турель","","Big Gun Turret"
ENEMY_BIG_ROCKETEER,"Большой ракетчик","","Big Rocketeer"
ENEMY_BIG_SLINGER,"Большой слингер","","Big Slinger"
ENEMY_BIG_SPARKER,"Большой искрин","","Big Sparker"
ENEMY_BIG_SPORER,"Большой споровик","","Big Sporer"
ENEMY_BIG_THORNS,"Большие шипы","","Big Thorns"
ENEMY_BLAST_GUNNER,"Взрывной стрелок","","Blast Gunner"
ENEMY_BOOMER,"Грох","","Boomer"
ENEMY_BOOMSMITH,"Гроходел","","Boomsmith"
ENEMY_BRAMBLE_QUEEN,"Колючая королева","","Bramble Queen"
ENEMY_BUZZER,"Вольтажник","","Buzzer"
ENEMY_CONTAMINATOR,"Разносчик","","Contaminator"
ENEMY_DRAK_VETH,"Драк'вет","","Drak'Veth"
ENEMY_EAGLE_EYE,"Орлиный глаз","","Eagle Eye"
ENEMY_EAGLE_EYE_II,"Орлиный глаз II","","Eagle Eye II"
ENEMY_EGG_GUARD,"Страж яйца","","Egg Guard"
ENEMY_ELECTRO_BOOMER,"Электрогрох","","Electro Boomer"
ENEMY_ELECTRO_GUN_TURRET,"Электропулеметная турель","","Electro Gun Turret"
ENEMY_FIERY_SQUIRE,"Огненный оруженосец","","Fiery Squire"
ENEMY_ICICLE_SQUIRE,"Ледяной оруженосец","","Icicle Squire"
ENEMY_KING_GRUVAK,"Король Грувак","","King Gruvak"
ENEMY_UBER_KING_GRUVAK,"Император Грувак","","Emperor Gruvak"
ENEMY_GUNNER,"Стрелок","","Gunner"
ENEMY_GUN_TURRET,"Пулеметная турель","","Gun Turret"
ENEMY_HAUNTER,"Ловчий","","Haunter"
ENEMY_ICY_ASTEROID,"Ледяной астероид","","Icy Asteroid"
ENEMY_IONIZER,"Ионизатор","","Ionizer"
ENEMY_JUNK_LORD,"Мусорный владыка","","Junk Lord"
ENEMY_KOKO,"Коко","","Koko"
ENEMY_LAZURITH,"Лазурит","","Lazurith"
ENEMY_MATILDA,"Матильда","","Matilda"
ENEMY_MOTHERSHIP,"Корабль-носитель","","Mothership"
ENEMY_NIHALOR,"Нихалор","","Nihalor"
ENEMY_NUCLEAR_BOOMER,"Ядерный грох","","Nuke-Boomer"
ENEMY_OWL_OF_WISDOM,"Мудрая сова","","Owl of Wisdom"
ENEMY_ROCKETEER,"Ракетчик","","Rocketeer"
ENEMY_ROCKTHORN,"Камнешип","","Rockthorn"
ENEMY_ROCKTHORN_II,"Камнешип II","","Rockthorn II"
ENEMY_SER_ASTEROID,"Сир Астероид","","Ser Asteroid"
ENEMY_SHOCKER,"Шокер","","Shocker"
ENEMY_SLINGER,"Слингер","","Slinger"
ENEMY_SLURXON,"Мямликсон","","Slurxon"
ENEMY_SNOWMAN,"Снеговик","","Snowman"
ENEMY_SPARKER,"Искрин","","Sparker"
ENEMY_SPORER,"Споровик","","Sporer"
ENEMY_ABYSS_STRUDEL,"Пучинный рулет","Hint: has nothing to do with the Abyss end-game sector","Abyss Strudel"
ENEMY_THORN_KNIGHT,"Шипастый рыцарь","","Thorn Knight"
ENEMY_THORNS,"Шипы","","Thorns"
ENEMY_THUNDERHEART,"Громовое сердце","","Thunderheart"
ENEMY_THUNDERHEART_II,"Громовое сердце II","","Thunderheart II"
ENEMY_TREASURE,"Сокровище","","Treasure"
ENEMY_TRINITY,"Троица","","Trinity"
ENEMY_UBER_BARON,"Убербарон","","Uber Baron"
ENEMY_UBER_DRAK_VETH,"Драк'вет Убер","","Uber Drak'Veth"
ENEMY_VETH_MARA,"Вет'мара","","Veth'mara"
ENEMY_MOON_KING,"Лунный король","","The Moon King"
ENEMY_MOON_CROW,"Лунный ворон","","Moon Crow"
ENEMY_WULFRIC,"Вульфрик","","Wulfric"
ENEMY_BAT,"Летучая мышь","","Bat"
ENEMY_BIG_BAT,"Большая летучая мышь","","Big Bat"
ENEMY_BAT_BARON,"Летучий барон","","Bat Baron"
ENEMY_SHARD_GOBLIN,"Осколочный гоблин","","Shard Goblin"
ENEMY_SHARD_KNIGHT,"Осколочный рыцарь","","Shard Knight"
ENEMY_OCTRON,"Октрон","","Octron"
ENEMY_DRAGON_NUCLEAR,"Пожиратель Звезд Вет'Радон","","Veth'Radon, the Star Eater"
ENEMY_DRAGON_KINETIC,"Железный Шквал Драк'Мек","","Drak'Mech, the Iron Gale"
ENEMY_DRAGON_PLASMA,"Ненависть Солнца Сол'Терис","","Sol'Theris, the Sun's Wrath"
ENEMY_DRAGON_ELECTRIC,"Штормовая Жница Вол'Трокс","","Vol'Trox, the Storm Reaper"
ENEMY_DRAGON_EXPLOSIVE,"Взрыватель Пирр'Зар","","Pyrr'Zar, the Detonator"
