key,value,comment,english
GLOSSARY_KINETIC,"Кинетический|кинетического|кинетическому|кинетическим|кинетическом","Used to search and highlight Kinetic damage type in descriptions","Kinetic"
GLOSSARY_KINETIC_DESCRIPTION,"Кинетический урон наносится в результате физического воздействия.","","Kinetic Damage is caused by physical impacts."
GLOSSARY_EXPLOSIVE,"Взрывной|взрывного|взрывному|взрывным|взрывном","Used to search and highlight Explosive damage type in descriptions","Explosive"
GLOSSARY_EXPLOSIVE_DESCRIPTION,"Взрывной урон наносят взрывы в области и сильный нагрев.","","Explosive Damage is caused by AoE blasts or massive heat."
GLOSSARY_PLASMA,"Плазменный|плазменного|плазменному|плазменным|плазменном","Used to search and highlight Plasma damage type in descriptions","Plasma"
GLOSSARY_PLASMA_DESCRIPTION,"Плазменный урон наносят лазеры и другие высокоэнергетические волны.","","Plasma Damage is caused by lasers or other high energetic waves."
GLOSSARY_ELECTRIC,"Электрический|электрического|электрическому|электрическим|электрическом","Used to search and highlight Electric damage type in descriptions","Electric"
GLOSSARY_ELECTRIC_DESCRIPTION,"Электрический урон наносят искры и молнии.","","Electric Damage is caused by lightning or sparks."
GLOSSARY_NUCLEAR,"Ядерный|ядерного|ядерному|ядерным|ядерном","Used to search and highlight Nuclear damage type in descriptions","Nuclear"
GLOSSARY_NUCLEAR_DESCRIPTION,"Ядерный урон наносят атомное оружие и облучение. Он игнорирует отражающий щит.","","Nuclear Damage is caused by atomic weapons or radiation. It inherently bypasses Deflector Shield."
GLOSSARY_THERMAL,"Тепловой|теплового|тепловому|тепловым|тепловом","Used to search and highlight Thermal damage type in descriptions","Thermal"
GLOSSARY_THERMAL_DESCRIPTION,"К {0}тепловому{1} урону относится {2}взрывной{3}, {4}плазменный{5} и {6}электрический{7}.\n\nПри преобразовании в другой тип свойства {8}теплового{9} урона действуют на {10} от показателя.","{0-9}=color markers, {10}=percentage","{0}Thermal{1} Damage types are {2}Explosive{3}, {4}Plasma{5} and {6}Electric{7}.\n\nWhen damage is converted from a thermal damage type, {8}Thermal{9} Damage modifiers apply at {10} of their value."
GLOSSARY_PIERCE,"Пронзание|пронзания|пронзают|пронзающим|пронзающем","Used as title for Glossary entry","Pierce"
GLOSSARY_PIERCE_DESCRIPTION,"Снаряды, которые попадают во врага и пронзают его, не исчезают, а продолжают лететь по траектории.","Used to as description for Glossary entry","Projectiles that hit an enemy and pierce are not removed. They continue traveling along their path."
GLOSSARY_RANGE,"Дальность|дальности|в радиусе","","Range"
GLOSSARY_RANGE_DESCRIPTION,"Дальность определяет, на каком расстоянии оружие может выбирать и атаковать врагов.","","Range determines how far away enemies can be targeted and attacked with a weapon."
GLOSSARY_ATTRIBUTES,"Характеристики","Used as title in Glossary","Attributes"
GLOSSARY_MASS,"Масса|массы|массе|массу|массой","Used as title and search string in Glossary","Mass"
GLOSSARY_MASS_DESCRIPTION,"Каждое очко дает:\n\n{0} увеличение брони,\nна {1} больше {2}кинетического урона{3},\n{4} уменьшение ускорения.","Used as description for Mass\n{0}=increase armor, for instance 1%\n{1}=more damage, for instance 1%\n{2,3}=damage color marker\n{4}=increased acceleration, for instance 1%","Each point grants:\n\n{0} increased Armor\n{1} more {2}Kinetic Damage{3}\n{4} reduced Acceleration"
GLOSSARY_ENERGY,"Энергия|энергии|энергию|энергией","Used as title and search string in Glossary","Energy"
GLOSSARY_ENERGY_DESCRIPTION,"Каждое очко дает:\n\n{0} увеличение отражающего щита,\nперезарядку рывка на {1} быстрее,\nна {2} больше {3}теплового{4} урона.","Used as description for Energy\n{0}=increased deflector shield, for instance 1%\n{1}=faster dash recharge, for instance 1%\n{2}=more thermal damage, for instance 1%\n{3,4}=damage color marker","Each point grants:\n\n{0} increased Deflector Shield\n{1} faster Dash Recharge\n{2} more {3}Thermal{4} Damage"
GLOSSARY_TIME,"Время|времени","Used as title and search string in Glossary","Time"
GLOSSARY_TIME_DESCRIPTION,"Каждое очко дает:\n\nна {1} более быстрое течение времени вокруг корабля в радиусе {0}, которое ускоряет все: вас, врагов и снаряды.\n\nЭффект действует на приспешников и паразитов.","Used as description for Time\n{0}=speedup per time, e.g. 1%\n{1}=range around the player affected by time, e.g. 300","Each point grants:\n\n{0} faster flow of time around your ship, speeding up everything in {1} range - including you, enemies, and projectiles.\n\nTime is inherited by your Minions and Parasites."
GLOSSARY_DEFLECTOR_SHIELD,"Отражающий щит|отражающему щиту|отражающего щита","","Deflector Shield"
GLOSSARY_DEFLECTOR_SHIELD_DESCRIPTION,"Отражающий щит защищает броню от урона.\nОн перезаряжается, если вы не получаете урон в течение {0}. Ядерный урон игнорирует отражающий щит.","{0}=2 seconds","Deflector Shield protects your Armor from taking damage.\nDeflector Shield recharges after {0} of not taking damage. Nuclear Damage inherently bypasses Deflector Shield."
GLOSSARY_VELOCITY,"Скорость движения|скорости движения","","Velocity"
GLOSSARY_VELOCITY_DESCRIPTION,"Скорость движения определяет максимальную скорость перемещения корабля.","","Velocity determines your ship's maximum movement speed."
GLOSSARY_ACCELERATION,"Ускорение|ускорения","","Acceleration"
GLOSSARY_ACCELERATION_DESCRIPTION,"Ускорение определяет, как быстро корабль набирает скорость.","","Acceleration determines how fast your ship gains speed."
GLOSSARY_PICKUP_RANGE,"Дальность подбора","","Pickup Range"
GLOSSARY_PICKUP_RANGE_DESCRIPTION,"Дальность подбора определяет расстояние, на котором усиления притягиваются к кораблю.","","Pickup Range defines the distance at which Power-Ups are attracted to your ship."
GLOSSARY_POWER_UP,"Усиление|усиления|усилений","","Power-Up"
GLOSSARY_POWER_UP_DESCRIPTION,"При уничтожении врагов с небольшим шансом выпадает усиление. Если его забрать, вы получите временный положительный эффект.\n\nКогда враг погибает, для определения вероятности выпадения усиления используется самый высокий шанс среди всех союзников.","","Destroying enemies has a small chance to drop a Power-Up. Collecting a Power-Up grants a temporary buff.\n\nWhen an enemy is destroyed, the highest Power-Up chance among all allies is used to determine whether a Power-Up drops."
GLOSSARY_DASH,"Рывок|рывка|рывку|рывком|рывке","","Dash"
GLOSSARY_DASH_DESCRIPTION,"Рывок расходуется, когда вы используете двигатель.","","Dash is consumed when you use your Engine."
GLOSSARY_DASH_RECHARGE,"Перезарядка рывка","","Dash Recharge"
GLOSSARY_DASH_RECHARGE_DESCRIPTION,"Корабль постоянно перезаряжает рывок. Базовая скорость перезарядки: {0} в секунду.","{0}=percentage","Your ship constantly recharges Dash. The base recharge rate is {0} per second."
GLOSSARY_ENGINE,"Двигатель|двигателя|двигателю|двигателем|двигателе|двигатели","","Engine"
GLOSSARY_ENGINE_DESCRIPTION,"Двигатели — это предметы, которые срабатывают при рывке. Некоторые двигатели наносят урон врагам.","","Engines are items that trigger when you Dash. Some Engines can damage enemies."
GLOSSARY_MELEE,"Ближний бой|ближнем бою","","Melee"
GLOSSARY_MELEE_DESCRIPTION,"Оружие ближнего боя используется для атаки врагов на близком расстоянии.","","Melee weapons are engaging enemies in close-combat."
GLOSSARY_PROJECTILE,"Снаряд|снаряда|снарядов|снаряды|","","Projectile"
GLOSSARY_PROJECTILE_DESCRIPTION,"Снаряды используются в оружии дальнего боя. Они могут пронзать, отскакивать по цепи, а также разделяться и поражать других врагов.","","Projectiles are fired by ranged weapons. Projectiles can pierce, chain or split towards other enemies."
GLOSSARY_REFLECTED_DAMAGE,"Отраженный урон|отраженного урона","","Reflected Damage"
GLOSSARY_REFLECTED_DAMAGE_DESCRIPTION,"Некоторые предметы позволяют отражать часть получаемого урона во врага.","","Certain items enable you to reflect a portion of incoming damage back to your attackers."
GLOSSARY_DEATH_THRESHOLD,"Порог смерти|порога смерти","","Death Threshold"
GLOSSARY_DEATH_THRESHOLD_DESCRIPTION,"Враги, чья броня после получения урона опускается ниже порога смерти, мгновенно погибают.","","Enemies whose Armor falls below Death Threshold after taking damage are instantly destroyed."
GLOSSARY_AREA_OF_EFFECT,"Область действия|области действия","","Area of Effect"
GLOSSARY_AREA_OF_EFFECT_DESCRIPTION,"Увеличивает радиус взрыва оружия, наносящего урон по области. Это позволяет поразить больше врагов или нанести урон в большей зоне.","","Increases the blast radius of weapons that deal damage in an area, allowing them to hit more enemies or cover a larger zone."
GLOSSARY_AREA_DAMAGE,"Урон по области|урона по области","","Area Damage"
GLOSSARY_AREA_DAMAGE_DESCRIPTION,"Увеличивает урон от оружия, которое действует на области.","","Enhances the damage dealt by weapons that affect an area."
GLOSSARY_DEBRIS,"Обломки|обломок|обломков|обломкам|обломками|обломках","","Debris"
