key,value,comment,english
ITEM_INTRINSIC_QUALITY_SCRAP,"Металлолом","Intrinsic quality of an item","Scrap"
ITEM_INTRINSIC_QUALITY_RUSTY,"Ржав.","Intrinsic quality of an item","Rusty"
ITEM_INTRINSIC_QUALITY_AUGMENTED,"Усовершенствован.","Intrinsic quality of an item","Augmented"
ITEM_INTRINSIC_QUALITY_ENHANCED,"Усилен.","Intrinsic quality of an item","Enhanced"
ITEM_INTRINSIC_QUALITY_EXCEPTIONAL,"Исключительн.","Intrinsic quality of an item","Exceptional"
ITEM_INTRINSIC_QUALITY_HEAVY,"Тяж.","Intrinsic quality of an item","Heavy"
ITEM_INTRINSIC_QUALITY_ELITE,"Элитн.","Intrinsic quality of an item","Elite"
ITEM_INTRINSIC_QUALITY_RELIC,"Реликтов.","Intrinsic quality of an item","Relic"
ITEM_INTRINSIC_QUALITY_ELDER,"Древн.","Intrinsic quality of an item","Elder"
ITEM_INTRINSIC_QUALITY_ANCIENT,"Старин.","Intrinsic quality of an item","Ancient"
ITEM_INTRINSIC_QUALITY_ETERNAL,"Вечн.","Intrinsic quality of an item","Eternal"
ITEM_CATEGORY_WEAPON,"Оружие","item category","Weapon"
ITEM_CATEGORY_SHIELD,"Щит","item category","Shield"
ITEM_CATEGORY_CORE,"Ядро","item category","Core"
ITEM_CATEGORY_ENGINE,"Двигатель","item category","Engine"
ITEM_CATEGORY_NEXUS,"Нексус","item category","Nexus"
ITEM_CATEGORY_MOD,"Свойство","item category","Mod"
ITEM_CATEGORY_CHIP,"Чип","item category","Chip"
ITEM_CATEGORY_DICE,"Кости","item category","Dice"
ITEM_CATEGORY_REWARD,"Награда","item category","Reward"
ITEM_CATEGORY_QUEST_ITEM,"Предмет задания","item category","Quest Item"
ITEM_CATEGORY_SECTOR_ITEM,"Сектор","item category","Sector"
ITEM_CATEGORY_SECTOR_CHIP,"Чип сектора","item category","Sector Chip"
ITEM_TAG_ATTACK,"Атака","item tag","Attack"
ITEM_TAG_ATTACK_SPEED,"Скорость атаки","item tag","Attack Speed"
ITEM_TAG_RANGE,"Дальность","item tag","Range"
ITEM_TAG_FIELD,"Поле","item tag","Field"
ITEM_TAG_AOE,"Область действия","item tag","AoE"
ITEM_TAG_PROJECTILE,"Снаряд","item tag","Projectile"
ITEM_TAG_DOT,"Постепенный урон","item tag","DoT"
ITEM_TAG_HIT,"Попадание","item tag","Hit"
ITEM_TAG_MINION,"Приспешник","item tag","Minion"
ITEM_TAG_PARASITE,"Паразит","item tag","Parasite"
ITEM_TAG_VIRUS,"Вирус","item tag","Virus"
ITEM_TAG_VIRUS_FIELD,"Вирусное поле","item tag","Virus Field"
ITEM_TAG_MELEE,"Ближний бой","item tag","Melee"
ITEM_TAG_REFLECT,"Отражение","item tag","Reflect"
ITEM_TAG_MINE,"Мина","item tag","Mine"
ITEM_STASH_TAB_DICE,"Кости","stash tab","Dice"
ITEM_STASH_TAB_GEAR,"Снаряжение","stash tab","Gear"
ITEM_STASH_TAB_MOD,"Свойство","stash tab","Mod"
ITEM_STASH_TAB_UNIQUE,"Уникальн.","stash tab","Unique"
ITEM_STASH_TAB_MISC,"Проч.","stash tab","Misc"
ITEM_STASH_TAB_SECTOR,"Сектор","stash tab","Sector"
ITEM_CHIP,"Чип","item name","Chip"
ITEM_CHIP_DESCRIPTION,"Вставляется в гнездо для чипа на дереве умений","Description of Chip items","Fits into a Chip Socket on the Skill Tree"
ITEM_SECTOR_CHIP,"Чип сектора","item name","Sector Chip"
ITEM_SECTOR_CHIP_DESCRIPTION,"Вставляется в гнездо на дереве умений шарового механизма","Description of Sector Chip items","Fits into a Socket on the Marble Machine Skill Tree"
ITEM_CRIT_RIPPER,"Вспарыватель","item name","Crit Ripper"
ITEM_EMPOWERED_CRIT_RIPPER,"Усиленный Вспарыватель","item name","Empowered Crit Ripper"
ITEM_DRONE_MASTER,"Мастер дронов","item name","Drone Master"
ITEM_EMPOWERED_CHIP,"Усиленный чип","item name","Empowered Chip"
ITEM_SINGULARITY,"Сингулярность","item name","Singularity"
ITEM_ESCAPE_CIRCUIT,"Спасительная цепь","item name","Escape Circuit"
ITEM_SHEAKIRUS_WRATH,"Гнев Шикиру","item name","Sheakiru's Wrath"
ITEM_SOUL_STONE,"Камень души","item name","Soul Stone"
ITEM_SPIRIT_ANIMALS_SOUL_STONE,"Камень души — {0}","{0}=name of spirit animal, e.g. Huli","{0}'s Soul Stone"
ITEM_THE_GRAND_FINALE,"Грандиозный финал","item name","The Grand Finale"
ITEM_ZEDS_PACT,"Союз Зета","item name","Zed's Pact"
ITEM_CHAOS_CIRCUIT,"Цепь хаоса","item name","Chaos Circuit"
ITEM_DRAGON_EYE,"Драконий глаз","item name","Dragon Eye"
ITEM_BASTION,"Бастион","item name","Bastion"
ITEM_NULLHEART,"Пустое сердце","item name","Nullheart"
ITEM_PAPYRUS,"Папирус","item name","Papyrus"
ITEM_PAPYRUS_DESCRIPTION,"Бумага — лучшая защита","item name","Paper is the best Defense"
ITEM_PELT_OF_THE_MOON_KING,"Шкура Лунного короля","item name","Pelt of the Moon King"
ITEM_CRYSTAL_CORE,"Кристальное ядро","item name","Crystal Core"
ITEM_ETHEREAL_CORE,"Бесплотное ядро","item name","Ethereal Core"
ITEM_NEBULA_CORE,"Туманное ядро","item name","Nebula Core"
ITEM_PHANTOM_CORE,"Фантомное ядро","item name","Phantom Core"
ITEM_POLYMER_CORE,"Полимерное ядро","item name","Polymer Core"
ITEM_TITANIUM_CORE,"Титановое ядро","item name","Titanium Core"
ITEM_SHIELD_OF_ARESTUM,"Щит Арестума","item name","Shield of Arestum"
ITEM_CRYSTAL_SHIELD,"Кристальный щит","item name","Crystal Shield"
ITEM_ETHEREAL_SHIELD,"Бесплотный щит","item name","Ethereal Shield"
ITEM_NEBULA_SHIELD,"Туманный щит","item name","Nebula Shield"
ITEM_PHANTOM_SHIELD,"Фантомный щит","item name","Phantom Shield"
ITEM_POLYMER_SHIELD,"Полимерный щит","item name","Polymer Shield"
ITEM_TITANIUM_SHIELD,"Титановый щит","item name","Titanium Shield"
ITEM_GLASS_SHIELD,"Стеклянный щит","item name","Glass Shield"
ITEM_SIEBENMEILEN,"Скороход","item name","Siebenmeilen"
ITEM_AFTERBURNER,"Дожигатель","item name","Afterburner"
ITEM_AFTERBURNER_DESCRIPTION,"Увеличивает максимальную скорость движения\nи оставляет позади череду взрывов","item description","Increases maximum velocity\nand leaves a trail of explosions behind"
ITEM_AFTERBURNER_DESCRIPTION_2,"Оставляет позади огненный след","item description","Leaves a trail of flames behind"
ITEM_BLACK_HOLE_WARP,"Варп-двигатель черной дыры","item name","Black Hole Warp"
ITEM_BLACK_HOLE_WARP_DESCRIPTION,"Оставляет позади черную дыру","item name","Leaves a black hole behind"
ITEM_EMP,"ЭМИ","item name","EMP"
ITEM_EMP_DESCRIPTION,"Бьет молнией в ближайших врагов","item name","Strikes lightning at nearby enemies"
ITEM_FUSION_DRIVE,"Термоядерный порыв","item name","Fusion Drive"
ITEM_FUSION_DRIVE_DESCRIPTION,"Атакует ядерными взрывами в выбранном месте","item name","Attack with nuclear explosions at target location"
ITEM_THRUSTER,"Ракетный двигатель","item name","Thruster"
ITEM_WARP,"Варп-двигатель","item name","Warp"
ITEM_WARP_DESCRIPTION,"Создает новую звезду в исходном и выбранном месте","item name","Fires a nova at the source and target location"
ITEM_ASTRAL_AFFIX,"Астральный аффикс","item name","Astral Affix"
ITEM_ASTRAL_AFFIX_DESCRIPTION_UNCOMMON,"Добавляет имеющийся аффикс к {0}необычному{1} предмету","{0,1}=color","Add stored Affix to an {0}uncommon{1} item"
ITEM_ASTRAL_AFFIX_DESCRIPTION_RARE,"Добавляет имеющийся аффикс к {0}редкому{1} предмету","{0,1}=color","Add stored Affix to a {0}rare{1} item"
ITEM_ASTRAL_DICE,"Астральные кости","item name","Astral Dice"
ITEM_ASTRAL_DICE_DESCRIPTION,"Уничтожают неуникальный предмет, чтобы извлечь случайный аффикс","","Destroy a non-unique item to extract a random Affix"
ITEM_ASTRAL_DICE_DESCRIPTION_BLUEPRINT_HINT,"Уничтожают неуникальный сектор, чтобы извлечь его чертеж","","Destroy a non-unique sector to extract its Blueprint"
ITEM_BLANK_DICE,"Пустые кости","item name","Blank Dice"
ITEM_BLANK_DICE_DESCRIPTION,"Меняют редкость предмета с неуникальной на {0}обычную{1}","{0,1}=color","Change rarity of non-unique item to {0}common{1}"
ITEM_BLANK_DICE_COUNT_ONE,"{0} Пустые кости","{0}=amount","{0} Blank Dice"
ITEM_BLANK_DICE_COUNT_MANY,"{0} Пустые кости","{0}=amount","{0} Blank Dice"
ITEM_INFINITY_DICE,"Кости бесконечности","item name","Infinity Dice"
ITEM_INFINITY_DICE_DESCRIPTION,"Повышают качество {0}уникального{1} предмета","{0,1}=color","Upgrade tier of a {0}unique{1} item"
ITEM_JINX_DICE,"Проклятые кости","item name","Jinx Dice"
ITEM_JINX_DICE_DESCRIPTION,"Добавляют аффикс к {0}необычному{1} или {2}редкому{3} предмету","{0,1,2,3}=color","Add Affix to an {0}uncommon{1} or {2}rare{3} item"
ITEM_LUNAR_DICE,"Лунные кости","item name","Lunar Dice"
ITEM_LUNAR_DICE_DESCRIPTION,"Улучшают случайный аффикс предмета","","Improves a random item Affix"
ITEM_PLASMA_DICE,"Плазменные кости","item name","Plasma Dice"
ITEM_PLASMA_DICE_DESCRIPTION,"Меняют редкость предмета с {0}обычной{1} на {2}необычную{3}","{0,1,2,3}=color","Change rarity of a {0}common{1} item to {2}uncommon{3}"
ITEM_SOLAR_DICE,"Солнечные кости","item name","Solar Dice"
ITEM_SOLAR_DICE_DESCRIPTION,"Меняют редкость предмета с {0}необычной{1} на {2}редкую{3}","{0,1,2,3}=color","Change rarity of an {0}uncommon{1} item to {2}rare{3}"
ITEM_SLOT_DICE,"Кости ячеек","item name","Slot Dice"
ITEM_SLOT_DICE_DESCRIPTION,"Меняют количество ячеек для свойств","","Re-rolls number of modifier slots"
ITEM_VOID_DICE,"Кости пустоты","item name","Void Dice"
ITEM_VOID_DICE_DESCRIPTION,"Убирают случайный аффикс с неуникального предмета","","Erase random Affix from a non-unique item"
ITEM_UNKNOWN_DICE,"Неизвестные кости","if crafting manual not found yet","Unknown Dice"
ITEM_UNKNOWN_DICE_DESCRIPTION,"Соблазнительно мерцают. Вот бы их было больше!","if crafting manual not found yet","Shimmers enticingly - you wish you had more of it"
ITEM_BLUEPRINT,"Чертеж","item name","Blueprint"
ITEM_BLUEPRINT_DESCRIPTION,"Создает слепок имеющихся аффиксов в неуникальном секторе","","Imprints stored Affixes onto a non-unique Sector"
ITEM_BLUEPRINT_USES_REMAINING_ONE,"Осталось: {0}","{0}=amount","{0} use remaining"
ITEM_BLUEPRINT_USES_REMAINING_MANY,"Осталось: {0}","{0}=amount","{0} uses remaining"
ITEM_NEXUS_SHARD,"Осколок Нексуса","item name","Nexus Shard"
ITEM_NEXUS_SHARD_DESCRIPTION,"Усиливает любой предмет Нексуса","","Augments any Nexus item"
ITEM_ADDITIONAL_ATTACKS,"Дополнительные атаки","item name","Additional Attacks"
ITEM_AEGIS,"Эгида","item name","Aegis"
ITEM_COMMON_FIELD_DESCRIPTION,"Поле, усиливающее союзников в радиусе {0}","{0}=range","Field that buffs allies in {0} range"
ITEM_AFTERSHOCK,"Сотрясение","item name","Aftershock"
ITEM_AGILITY,"Проворство","item name","Agility"
ITEM_AGONY,"Агония","item name","Agony"
ITEM_AMP,"Усилитель","item name","Amp"
