key,value,comment,english
MISSION_TUTORIAL,"Первый контакт","Name of the tutorial mission","First Contact"
MISSION_ABYSS,"Бездна","Name of all Abyss Missions","Abyss"
MISSION_ABYSS_DEPTH,"Глубина","Abyss Depth","Depth"
MISSION_EGG_HUNT,"Охота за яйцами","Mission name","Egg Hunt"
MISSION_BIG_EGG_HUNT,"Охота за большим яйцом","Mission name","Big Egg Hunt"
MISSION_ASTEROID_FIELD,"Астероидное поле","Mission name","Asteroid Field"
MISSION_ARENA,"Арена","Mission name","Arena"
MISSION_WAVES_OF_CORRUPTION,"Волны осквернения","Mission name","Waves of Corruption"
MISSION_TREASURE_HUNT,"Охота за сокровищами","Mission name","Treasure Hunt"
MISSION_DEFEAT_KOKO,"Победа над Коко","Mission name","Defeat Koko"
MISSION_THE_BIG_EGG,"Большое яйцо","Mission name","The Big Egg"
MISSION_CHAMBER_OF_NIHALOR,"Зал Нихалор","Mission name","Chamber of Nihalor"
MISSION_SURVIVE,"Выживание","Mission name","Survive"
MISSION_INTERLUDE,"Интерлюдия","Mission name","Interlude"
MISSION_KING_GRUVAKS_CASTLE,"Замок короля Грувака","Mission name","King Gruvak's Castle"
MISSION_LAZURITHS_HIDE,"Убежище Лазурита","Mission name","Lazurith's Hide"
MISSION_VETH_MARAS_LAIR,"Логово Вет'мары","Mission name","Veth'mara's Lair"
MISSION_SEPULCHER_OF_IRON_VIGIL,"Усыпальница Железного дозора","Mission name","Sepulcher of Iron Vigil"
MISSION_THE_LOST_OPAL,"Потерянный опал","Mission name","The Lost Opal"
MISSION_TOMB_OF_VIRA,"Склеп Виры","Mission name","Tomb of Vira"
MISSION_CRYPT_OF_ETERNAL_VOLTRON,"Гробница Вечного Вольтрона","Mission name","Crypt of Eternal Voltron"
MISSION_ECHOES_OF_THE_PAST,"Отголоски прошлого","Mission name","Echoes of the Past"
MISSION_TURTLE_IN_NEED,"Несчастная черепаха","Mission name","Turtle in Need"
MISSION_HUNT,"Охота","Mission name","Hunt"
MISSION_HAUNTED_SECTOR,"Сектор с призраками","Mission name","Haunted Sector"
MISSION_BUZZER_SPIRAL_SECTOR,"Электроспиральный сектор","Mission name","Buzzer Spiral Sector"
MISSION_SPARKER_SPIRAL_SECTOR,"Искрящий спиральный сектор","Mission name","Sparker Spiral Sector"
MISSION_SHOCKWAVE_SECTOR,"Сектор ударных волн","Mission name","Shockwave Sector"
MISSION_PLASMA_PURSUIT,"Плазменная погоня","Mission name","Plasma Pursuit"
MISSION_PLASMA_SECTOR,"Плазменный сектор","Mission name","Plasma Sector"
MISSION_PLASMA_SPIRAL_SECTOR,"Плазменный спиральный сектор","Mission name","Plasma Spiral Sector"
MISSION_THORN_SPIRAL,"Шипастая спираль","Mission name","Thorn Spiral"
MISSION_THORN_SECTOR,"Шипастый сектор","Mission name","Thorn Sector"
MISSION_EGGS_TO_THE_NORTH,"Яйца на севере","Mission name","Eggs to the North"
