key,value,comment,english
MMSKILL_RARITY,"Редкость","Skill node","Rarity"
MMSKILL_EXPERIENCE,"Опыт","Skill node","Experience"
MMSKILL_SECTOR_RANK,"Ранг сектора","Skill node","Sector Rank"
MMSKILL_SECTOR_CHANCE,"Шанс сектора","Skill node","Sector Chance"
MMSKILL_MONSTER_LEVEL,"Уровень монстра","Skill node","Monster Level"
MMSKILL_MONSTROSITY,"Чудовищность","Skill node","Monstrosity"
MMSKILL_OCTRON_ITEM_CHANCE,"Шанс предмета Октрона","Skill node","Octron Item Chance"
MMSKILL_ABYSS_OCTRON_ITEM_CHANCE,"Шанс предмета Октрона в бездне","Skill node","Abyss Octron Item Chance"
MMSKILL_WHISPERS_OF_OCTRON,"Шепот Октрона","Skill node","Whispers of Octron"
MMSKILL_WHISPERS_OF_THE_DEEP,"Шепот пропасти","Skill node","Whispers of the Deep"
MMSKILL_FAVOR_OF_THE_DEEP,"Благосклонность пропасти","Skill node","Favor of the Deep"
MMSKILL_ABYSS_RARITY,"Редкость бездны","Skill node","Abyss Rarity"
MMSKILL_DEEP_TREASURES,"Сокровища пропасти","Skill node","Deep Treasures"
MMSKILL_ABYSS_EXPERIENCE,"Опыт бездны","Skill node","Abyss Experience"
MMSKILL_DEEP_WISDOM,"Мудрость пропасти","Skill node","Deep Wisdom"
MMSKILL_ABYSS_CARLO_MISSION_CHANCE,"Шанс миссии Карло в бездне","Skill node","Abyss Carlo Mission Chance"
MMSKILL_BLACK_MARKET,"Черный рынок","Skill node","Black Market"
MMSKILL_CARLO_MISSION_CHANCE,"Шанс миссии Карло","Skill node","Carlo Mission Chance"
MMSKILL_PROFITABLE_PASSAGE,"Выгодный путь","Skill node","Profitable Passage"
MMSKILL_MORE_EGGS,"Больше яиц","Skill node","More Eggs"
MMSKILL_ABYSS_RARITY_AND_EXPERIENCE,"Редкость и опыт бездны","Skill node","Abyss Rarity and Experience"
MMSKILL_MAW_OF_THE_ABYSS,"Пасть бездны","Skill node","Maw of the Abyss"
MMSKILL_UNIQUE_MONSTER_EXPERIENCE,"Опыт за уникальных монстров","Skill node","Unique Monster Experience"
