key,value,comment,english
SKILL_ARMOR,"Броня","Skill node","Armor"
SKILL_ARMOR_AND_MASS,"Броня и масса","Skill node","Armor and Mass"
SKILL_MULTICRIT,"Град критических ударов","Skill node","Multicrit"
SKILL_DAMAGE_OVER_TIME,"Постепенный урон","Skill node","Damage over Time"
SKILL_PESTILENCE,"Чума","Skill node","Pestilence"
SKILL_DAMAGE_OVER_TIME_AND_TIME,"Постепенный урон и время","Skill node","Damage over Time and Time"
SKILL_NECROBLAST,"Некрошквал","Skill node","Necroblast"
SKILL_EXPLOSIVE_NECROBLAST,"Взрывной некрошквал","Skill node","Explosive Necroblast"
SKILL_PLASMA_NECROBLAST,"Плазменный некрошквал","Skill node","Plasma Necroblast"
SKILL_ELECTRIC_NECROBLAST,"Электрический некрошквал","Skill node","Electric Necroblast"
SKILL_NUCLEAR_NECROBLAST,"Ядерный некрошквал","Skill node","Nuclear Necroblast"
SKILL_MINION_DAMAGE,"Урон приспешников","Skill node","Minion Damage"
SKILL_MINION_ARMOR,"Броня приспешников","Skill node","Minion Armor"
SKILL_RADIANT_ANNIHILATION,"Светящаяся аннигиляция","Skill node","Radiant Annihilation"
SKILL_RADIATION_CHANCE,"Шанс облучения","Skill node","Radiation Chance"
SKILL_DASH_AND_ENERGY,"Рывок и энергия","Skill node","Dash and Energy"
SKILL_ENGINE_DAMAGE,"Урон от двигателя","Skill node","Engine Damage"
SKILL_ENGINE_DAMAGE_AND_RECHARGE,"Урон от двигателя и перезарядка","Skill node","Engine Damage and Recharge"
SKILL_DASH_RECHARGE,"Перезарядка рывка","Skill node","Dash Recharge"
SKILL_THERMAL_DAMAGE_AND_ENERGY,"Тепловой урон и энергия","Skill node","Thermal Damage and Energy"
SKILL_THERMAL_DAMAGE,"Тепловой урон","Skill node","Thermal Damage"
SKILL_EXPLOSIVE_DAMAGE,"Взрывной урон","Skill node","Explosive Damage"
SKILL_PLASMA_DAMAGE,"Плазменный урон","Skill node","Plasma Damage"
SKILL_ELECTRIC_DAMAGE,"Электрический урон","Skill node","Electric Damage"
SKILL_DEFLECTOR_SHIELD_AND_ENERGY,"Отражающий щит и энергия","Skill node","Deflector Shield and Energy"
SKILL_DEFLECTOR_SHIELD_AND_DODGE,"Отражающий щит и уклонение","Skill node","Deflector Shield and Dodge"
SKILL_CRITICAL_STRIKE_CHANCE,"Шанс критического удара","Skill node","Critical Strike Chance"
SKILL_CRITICAL_STRIKE_DAMAGE,"Критический урон","Skill node","Critical Strike Damage"
SKILL_ATTACK_SPEED,"Скорость атаки","Skill node","Attack Speed"
SKILL_ATTACK_SPEED_AND_TIME,"Скорость атаки и время","Skill node","Attack Speed and Time"
SKILL_REPAIR_ARMOR,"Восстановление брони","Skill node","Repair Armor"
SKILL_KINETIC_DAMAGE,"Кинетический урон","Skill node","Kinetic Damage"
SKILL_KINETIC_DAMAGE_AND_MASS,"Кинетический урон и масса","Skill node","Kinetic Damage and Mass"
SKILL_KINETIC_DAMAGE_AND_ATTACK_SPEED,"Кинетический урон и скорость атаки","Skill node","Kinetic Damage and Attack Speed"
SKILL_NUCLEAR_DEFLECTION,"Ядерное отражение","Skill node","Nuclear Deflection"
SKILL_DODGE,"Уклонение","Skill node","Dodge"
SKILL_DODGE_AND_TIME,"Уклонение и время","Skill node","Dodge and Time"
SKILL_DODGE_AND_ARMOR,"Уклонение и броня","Skill node","Dodge and Armor"
SKILL_DODGE_AND_DEFLECTOR_SHIELD,"Уклонение и отражающий щит","Skill node","Dodge and Deflector Shield"
SKILL_PHANTOM,"Фантом","Skill node","Phantom"
SKILL_ATTACK_SPEED_AND_VELOCITY,"Скорость атаки и скорость движения","Skill node","Attack Speed and Velocity"
SKILL_VERSATILE_TIME,"Универсальное время","Skill node","Versatile Time"
SKILL_VERSATILE_MASS,"Универсальная масса","Skill node","Versatile Mass"
SKILL_VERSATILE_ENERGY,"Универсальная энергия","Skill node","Versatile Energy"
SKILL_MACH_42,"42 маха","Skill node","Mach 42"
SKILL_BASTION,"Бастион","Skill node","Bastion"
SKILL_REVITRON,"Ревитрон","Skill node","Revitron"
SKILL_AREA_DAMAGE,"Урон по области","Skill node","Area Damage"
SKILL_AREA_OF_EFFECT,"Область действия","Skill node","Area of Effect"
SKILL_GIGA_QUAKE,"Гигасодрогание","Skill node","Giga Quake"
SKILL_MINION_COMMANDER,"Командир приспешников","Skill node","Minion Commander"
SKILL_NUCLEAR_DAMAGE,"Ядерный урон","Skill node","Nuclear Damage"
SKILL_FALLOUT,"Радиоактивные осадки","Skill node","Fallout"
SKILL_TITAN_FIST,"Исполинский кулак","Skill node","Titan Fist"
SKILL_PILE_OF_RUINS,"Руины","Skill node","Pile of Ruins"
SKILL_DEBRIS_CHANCE,"Шанс появления обломков","Skill node","Debris Chance"
SKILL_DEBRIS_DAMAGE,"Урон от обломков","Skill node","Debris Damage"
SKILL_ARMOR_LEECH,"Похищение брони","Skill node","Armor Leech"
SKILL_ARMOR_INFUSION,"Насыщение брони","Skill node","Armor Infusion"
SKILL_DASH_ON_HIT,"Рывок при попадании","Skill node","Dash on Hit"
SKILL_DASH_SHIELD_INFUSION,"Насыщение щита при рывке","Skill node","Dash Shield Infusion"
SKILL_DASH_ARMOR_INFUSION,"Насыщение брони при рывке","Skill node","Dash Armor Infusion"
SKILL_DANGER_ZONE,"Опасная зона","Skill node","Danger Zone"
SKILL_DEBRIS_WASTELAND,"Пустошь обломков","Skill node","Debris Wasteland"
SKILL_COLOSSUS,"Колосс","Skill node","Colossus"
SKILL_SOLOIST,"Солист","Skill node","Soloist"
SKILL_MASOCHIST,"Мазохист","Skill node","Masochist"
SKILL_HEAVY_IMPACT,"Тяжелый удар","Skill node","Heavy Impact"
SKILL_ZEALOT,"Фанатик","Skill node","Zealot"
SKILL_PROJECTILE_DAMAGE,"Урон от снарядов","Skill node","Projectile Damage"
SKILL_MELEE_DAMAGE,"Урон в ближнем бою","Skill node","Melee Damage"
SKILL_NECK_PUNCH,"Удар в шею","Skill node","Neck Punch"
SKILL_FIERCE_AMMO,"Смертоносные боеприпасы","Skill node","Fierce Ammo"
SKILL_RAVAGER_AMMO,"Боеприпасы губителя","Skill node","Ravager Ammo"
SKILL_SPIRIT_ANIMAL_VORAK,"Сила в молчании","Description of Vorak Spirit Animal","Strength in Silence"
SKILL_SPIRIT_ANIMAL_BALU,"Принятие внутренней силы","Description of Balu Spirit Animal","Embrace your inner Strength"
SKILL_SPIRIT_ANIMAL_POKI,"Поки хочет все","Description of Poki Spirit Animal","Poki wants it all"
SKILL_SPIRIT_ANIMAL_SHAE,"Симфония цифрового хаоса","Description of Shae Spirit Animal","Symphony of Digital Chaos"
SKILL_SPIRIT_ANIMAL_LIN,"Свободу Пандамонию","Description of Lin Spirit Animal","Unleash your Pandamonium"
SKILL_SPIRIT_ANIMAL_BALTIMORE,"Крохотная, но шумная птичка","Description of Baltimore Spirit Animal","Tiny bird, big boom"
SKILL_SPIRIT_ANIMAL_HULI,"Стремительный космический проказник","Description of Huli Spirit Animal","Swift Cosmic Prankster"
SKILL_SPIRIT_ANIMAL_IVY,"Все механизмы повинуются ее воле","Description of Ivy Spirit Animal","All machines obey her will"
SKILL_SPIRIT_ANIMAL_LORD_CHICKEN,"Ко-ко-ко","Description of Lord Chicken Spirit Animal","Bawk, bawk, bawk"
SKILL_CHOOSE_SPIRIT_ANIMAL_TITLE,"Тотемный зверь","Overlay to encourage player to choose a Spirit Animal","Spirit Animal"
SKILL_CHOOSE_SPIRIT_ANIMAL_DESCRIPTION,"Выберите тотемного зверя","Overlay to encourage player to choose a Spirit Animal","Choose your Spirit Animal"
SKILL_CHAIN_REACTION,"Цепная реакция","Skill node","Chain Reaction"
SKILL_MELTDOWN,"Плавление","Skill node","Meltdown"
SKILL_KINETIC_FUSION,"Кинетическое слияние","Skill node","Kinetic Fusion"
SKILL_THERMAL_FUSION,"Тепловое слияние","Skill node","Thermal Fusion"
SKILL_MULI,"Злой близнец Мули","Skill node","Muli the Evil Twin"
SKILL_ATOMIC_BARRIER,"Атомный барьер","Skill node","Atomic Barrier"
SKILL_HIDDEN_WASTE,"Скрытые отходы","Skill node","Hidden Waste"
SKILL_ZULI,"Злой дедуля Зули","Skill node","Zuli the Evil Grandpa"
SKILL_HOST_OVERLOAD,"Перегрузка носителя","Skill node","Host Overload"
SKILL_PARASITIC_SWARM,"Рой паразитов","Skill node","Parasitic Swarm"
SKILL_INFECTION_INFUSION,"Насыщение инфекцией","Skill node","Infection Infusion"
SKILL_CHICKEN_OUT,"Побег из курятника","Skill node","Chicken Out"
SKILL_FEATHERED_AGILITY,"Птичье проворство","Skill node","Feathered Agility"
SKILL_PLUMAGE_ARMOR,"Пернатая броня","Skill node","Plumage Armor"
SKILL_ROOSTER_SHIELD,"Петушиный щит","Skill node","Rooster Shield"
SKILL_JETSTREAM_FURY,"Ярость реактивной струи","Skill node","Jetstream Fury"
SKILL_CHICKEN_BLITZ,"Куриный налет","Skill node","Chicken Blitz"
SKILL_ENGINE_ECHO,"Эхо двигателя","Skill node","Engine Echo"
SKILL_ALL_RESISTANCES,"Все сопротивления","Skill node","All Resistances"
SKILL_KINETIC_RESISTANCE,"Сопротивление кинетическому урону","Skill node","Kinetic Resistance"
SKILL_NUCLEAR_RESISTANCE,"Сопротивление ядерному урону","Skill node","Nuclear Resistance"
SKILL_KINETIC_FORTRESS,"Кинетическая крепость","Skill node","Kinetic Fortress"
SKILL_NUCLEAR_FORTRESS,"Ядерная крепость","Skill node","Nuclear Fortress"
SKILL_NUCLEAR_EVASION,"Ядерный уворот","Skill node","Nuclear Evasion"
SKILL_RADIATION_DAMAGE,"Урон от облучения","Skill node","Radiation Damage"
SKILL_JUNKYARD,"Свалка","Skill node","Junkyard"
SKILL_SHATTER_STORM,"Раскалывающий шторм","Skill node","Shatter Storm"
SKILL_TANK,"Танк","Skill node","Tank"
SKILL_PLATES_OF_VALOR,"Латы доблести","Skill node","Plates of Valor"
SKILL_GALVANIC_SURGE,"Гальванический всплеск","Skill node","Galvanic Surge"
