key,value,comment,english
UI_VERSION_LABEL,"Версия","","Version"
UI_BUILD_LABEL,"Сборка","","Build"
UI_START_SCREEN_RESUME,"ПРОДОЛЖИТЬ","Resume game button on the start screen","RESUME"
UI_START_SCREEN_NEW_GAME,"НОВАЯ ИГРА","New game button on the start screen","NEW GAME"
UI_START_SCREEN_SETTINGS,"НАСТРОЙКИ","Settings button on the start screen","SETTINGS"
UI_START_SCREEN_EXIT,"ВЫХОД","Exit button on the start screen","EXIT"
UI_CLOSE_BUTTON,"Закрыть","Button to close a menu or a dialog","Close"
UI_YES_BUTTON,"Да","Button to close a menu or a dialog","Yes"
UI_NO_BUTTON,"Нет","Button to close a menu or a dialog","No"
UI_SETTINGS_TAB_DISPLAY,"Экран","Tab for display settings","Display"
UI_SETTINGS_TAB_AUDIO,"Звук","Tab for audio settings","Audio"
UI_SETTINGS_TAB_CONTROLS,"Управление","Tab for control settings","Controls"
UI_SETTINGS_TAB_SHIP,"Корабль","Tab for control settings","Ship"
UI_SETTINGS_DISPLAY_LANGUAGE,"Язык","Setting for display language","Language"
UI_SETTINGS_DISPLAY_MODE,"Режим экрана","Setting for display mode","Display Mode"
UI_SETTINGS_DISPLAY_MODE_WINDOWED_FULLSCREEN,"Оконный полноэкранный","Run the game in windowed fullscreen mode","Windowed Fullscreen"
UI_SETTINGS_DISPLAY_MODE_WINDOWED,"Оконный","Run the game in windowed mode","Windowed"
UI_SETTINGS_DISPLAY_MODE_FULLSCREEN,"Полноэкранный","Run the game in exclusive fullscreen","Fullscreen"
UI_SETTINGS_DISPLAY_REFRESH_MODE,"Целевая частота кадров","","Target FPS"
UI_SETTINGS_DISPLAY_REFRESH_MODE_VSYNC,"Вертикальная синхронизация","","V-Sync"
UI_SETTINGS_DISPLAY_REFRESH_MODE_FPS,"{0} кадров/сек.","{0}=amount, e.g. 60","{0} FPS"
UI_SETTINGS_DISPLAY_MISSION_DATA,"Показывать данные миссии","Setting to toggle mission data","Show Mission Data"
UI_SETTINGS_DISPLAY_DAMAGE_COLORS,"Показывать цвета урона","Setting to toggle damage colors","Show Damage Colors"
UI_SETTINGS_DISPLAY_FPS,"Показывать частоту кадров","Setting to toggle fps","Show FPS"
UI_SETTINGS_DISPLAY_NATIVE_MOUSE_CURSOR,"Системный курсор мыши","Setting to toggle native mouse cursor","Native mouse cursor"
UI_SETTINGS_DISPLAY_ITEM_ANIMATIONS,"Показывать анимацию предметов","Setting to toggle item animations","Show Item Animations"
UI_SETTINGS_DISPLAY_CORRUPTED_AREA_PARTICLES,"Показывать частицы оскверненной области","Performance setting to toggle corrupted area particles","Show Corrupted Area Particles"
UI_SETTINGS_AUDIO_LIB,"Библиотека звуков","Setting to toggle audio library","Audio Lib"
UI_SETTINGS_AUDIO_GLOBAL,"Общая громкость","Setting for Global audio volume","Global"
UI_SETTINGS_AUDIO_MUSIC,"Музыка","Setting for Music volume","Music"
UI_SETTINGS_AUDIO_SFX,"Эффекты","Setting for SFX volume","SFX"
UI_SETTINGS_AUDIO_LOOT,"Добыча","Setting for Loot volume","Loot"
UI_SETTINGS_AUDIO_UI,"Интерфейс","Setting for UI volume","UI"
UI_SETTINGS_AUDIO_VOICE,"Голос","Setting for Voice volume","Voice"
UI_SETTINGS_CONTROLS_CONTROLLER_SELECT,"Выбрать","Setting for controller select button","Select"
UI_SETTINGS_CONTROLS_CONTROLLER_BACK,"Назад / выбросить предмет","Setting for controller back button. Is also used to drop an item.","Back / Drop item"
UI_SETTINGS_CONTROLS_CONTROLLER_CONFIRM,"Подтвердить / переместить предмет","Setting for controller confirm button. Is also used to transfer an item.","Confirm / Transfer item"
UI_SETTINGS_CONTROLS_CONTROLLER_INFO,"Информация","Setting for controller info button.","Info"
UI_SETTINGS_CONTROLS_CONTROLLER_DASH,"Рывок","Setting for controller dash button.","Dash"
UI_SETTINGS_CONTROLS_CONTROLLER_OPTIONS,"Параметры","Setting for controller options button.","Options"
UI_SETTINGS_CONTROLS_CONTROLLER_SEARCH,"Искать","Setting for controller search button.","Search"
UI_SETTINGS_CONTROLS_CONTROLLER_DEADZONE,"Мертвая зона","Setting for controller deadzone.","Deadzone"
UI_SETTINGS_CONTROLS_CONTROLLER_VIBRATION,"Вибрация","Setting for controller vibration.","Vibration"
UI_SETTINGS_CONTROLS_SECTION_KEYBOARD,"Клавиатура","Section for keyboard settings.","Keyboard"
UI_SETTINGS_CONTROLS_KEYBOARD_UP,"Вверх","Setting for keyboard Up button","Up"
UI_SETTINGS_CONTROLS_KEYBOARD_LEFT,"Влево","Setting for keyboard Left button","Left"
UI_SETTINGS_CONTROLS_KEYBOARD_DOWN,"Вниз","Setting for keyboard Down button","Down"
UI_SETTINGS_CONTROLS_KEYBOARD_RIGHT,"Вправо","Setting for keyboard Right button","Right"
UI_SETTINGS_CONTROLS_KEYBOARD_DASH,"Рывок","Setting for keyboard Dash button","Dash"
UI_SETTINGS_CONTROLS_KEYBOARD_INFO,"Информация","Setting for keyboard Info button","Info"
UI_SETTINGS_CONTROLS_KEYBOARD_CONFIRM,"Подтвердить","Setting for keyboard Confirm button","Confirm"
UI_SETTINGS_CONTROLS_KEYBOARD_SCREENSHOT,"Снимок экрана","Setting for keyboard Screenshot button","Screenshot"
UI_SETTINGS_CONTROLS_SECTION_MOUSE,"Мышь","Section for mouse settings.","Mouse"
UI_SETTINGS_CONTROLS_MOUSE_SCROLL_SPEED,"Скорость прокрутки","Setting for mouse scroll speed","Scroll Speed"
UI_SETTINGS_CONTROLS_CONTROLLER_CHOOSE_BUTTON,"Нажмите новую кнопку:","Prompt the player to press a controller button","Press new button:"
UI_SETTINGS_CONTROLS_KEYBOARD_CHOOSE_KEY,"Нажмите новую клавишу:","Prompt the player to press a key on the keyboard","Press new key:"
UI_SETTINGS_SHIP_PERSONAL_STASH,"Использовать личный тайник","Setting if the player wants to use this ship's personal stash","Use Personal Stash"
UI_SETTINGS_SHIP_EXCLUDE_ENGINE_FROM_DPS_PREVIEW,"Исключить двигатель из просмотра урона в секунду","Setting if the player wants to exclude Engine from DPS preview for this ship","Exclude Engine from DPS Preview"
UI_SETTINGS_SHIP_BOSS_ENEMY_IN_DPS_PREVIEW,"Просмотр босса","Setting if the player wants to simulate a boss enemy in DPS preview","Preview Boss Enemy"
UI_SETTINGS_SHIP_CURRENT_MONSTER_LEVEL_IN_DPS_PREVIEW,"Просмотр текущего уровня монстров","Setting if the player wants to preview the current monster level in DPS preview","Preview current Monster Level"
UI_BACK_BUTTON,"Назад","Common back button","Back"
UI_EDIT_BUTTON,"Изменить","Common edit button","Edit"
UI_RESUME_BUTTON,"Продолжить","Common resume button","Resume"
UI_RENAME_BUTTON,"Переименовать","Common rename button","Rename"
UI_DELETE_BUTTON,"Удалить","Common delete button","Delete"
UI_OK_BUTTON,"ОК","Common ok button","Ok"
UI_CANCEL_BUTTON,"Отмена","Common cancel button","Cancel"
UI_EXIT_BUTTON,"Выход","Common exit button","Exit"
UI_GAME_DATA_BASE_ERROR_HEADLINE,"Ошибка базы данных игры","","Game Database Error"
UI_ONLY_ONE_INSTANCE_ERROR_HEADLINE,"Игра уже запущена","","Astroloot is already running"
UI_ONLY_ONE_INSTANCE_ERROR_CONTENT,"Закройте окно игры, прежде чем запускать Astroloot повторно. Во избежание конфликтов можно запускать только одно окно одновременно.","","Please close the other instance before starting a new one. To avoid conflicts, only one instance can run at a time."
UI_LANGUAGE_CHANGE_NOT_POSSIBLE,"Язык можно изменить только в главном меню.","","Language can only be changed through main menu settings."
UI_ERROR_HEADLINE,"Ошибка","Common headline when an error has occurred","Error"
UI_ERROR_CONTENT,"Возникла неизвестная ошибка.\nПодробности в файле журнала игры.","Common description when an error has occurred","An unknown error occurred.\nMore details might be in the game log file."
UI_DB_NEWER_VERSION_ERROR_CONTENT,"В новой версии Astroloot создана база данных сохранений.\nОбновите игру до последней версии.","","The save game database was created by a newer version of Astroloot.\nPlease upgrade to the latest version."
UI_DB_MIGRATION_ERROR_CONTENT,"Не удалось перенести базу данных в последнюю версию игры.","","Failed to migrate game db to latest version"
UI_DELETE_GAME_HEADLINE,"Удаление игры","Headline for the delete game alert","Delete game"
UI_DELETE_GAME_CONTENT,"Вы хотите удалить сохранение {0} (уровень: {1})?","Dialog content to confirm player deletion.\n{0}=player name\n{1}=player level","Are you sure to delete {0} (level {1})?"
UI_DELETE_GAME_CONTENT_WARNING,"Внимание!\nУдаление нельзя отменить.","Warning displayed below DELETE_GAME_CONTENT","Warning!\nDeletion is permanent and can't be reverted."
UI_NEW_GAME_CHOOSE_SHIP,"Выберите корабль","Headline of new game screen","Choose your Ship"
UI_NEW_GAME_CHOOSE_NAME,"Как вас зовут?","Headline for player name selection","What's your name?"
UI_START_BUTTON,"Начать","Common start button","Start"
UI_ACCEPT_BUTTON,"Принять","Common accept button","Accept"
UI_IGNORE_BUTTON,"Игнорировать","Common ignore button","Ignore"
UI_REJECT_BUTTON,"Отклонить","Common reject button","Reject"
UI_SHIP_NAME_LEVIATHAN,"Левиафан","Name of the Leviathan ship","Leviathan"
UI_SHIP_NAME_HYPERION,"Гиперион","Name of the Hyperion ship","Hyperion"
UI_SHIP_NAME_CHRONOS,"Кронос","Name of the Chronos ship","Chronos"
UI_SHIP_DESCRIPTION_LEVIATHAN,"Крепкий варвар","Description of the Leviathan ship","Tanky Brute"
UI_SHIP_DESCRIPTION_HYPERION,"Проворный и уязвимый убийца","Description of the Hyperion ship","Energetic Glass Cannon"
UI_SHIP_DESCRIPTION_CHRONOS,"Стремительный тактик","Description of the Chronos ship","Swift Tactician"
UI_SHIP_SELECT,"Выбрать","Control hint to select a ship","Select"
UI_SHIP_DESELECT,"Отменить выбор","Control hint to deselect a ship","Deselect"
UI_RESUME_MISSION_BUTTON,"Продолжить миссию","Resume the current mission","Resume Mission"
UI_ABORT_MISSION_BUTTON,"Прервать миссию","Abort the current mission","Abort Mission"
UI_SETTINGS_BUTTON,"Настройки","Settings button","Settings"
UI_BACK_TO_MAIN_MENU_BUTTON,"В главное меню","Close the current game and go back to the main menu","Back to Main Menu"
UI_EXIT_GAME_BUTTON,"Выйти из Astroloot","Exit the game","Exit Astroloot"
UI_RESUME_GAME_BUTTON,"Продолжить игру","Resume game button","Resume Game"
UI_ONLINE_MULTIPLAYER_BUTTON,"Онлайн-мультиплеер","Online Multiplayer button","Online Multiplayer"
UI_LOCAL_MULTIPLAYER_BUTTON,"Локальный мультиплеер","Local Multiplayer button","Local Multiplayer"
UI_REWARD_CHOOSE_BOON,"Выберите одно постоянное благословение","Ask the player to choose one permanent boon","Choose one permanent Boon"
UI_REWARD_CANNOT_CLAIM,"Нельзя забрать эту награду.","Speech-bubble for the player that this reward cannot be claimed","I cannot claim this reward."
UI_DIALOG_CONTINUE,"Продолжить","","Continue"
UI_SPIRIT_ANIMAL_SHAE,"Шая","","Shae"
UI_SPIRIT_ANIMAL_LIN,"Линь","","Lin"
UI_SPIRIT_ANIMAL_BALTIMORE,"Балтимор","","Baltimore"
UI_SPIRIT_ANIMAL_VORAK,"Ворак","","Vorak"
UI_SPIRIT_ANIMAL_BALU,"Балу","","Balu"
UI_SPIRIT_ANIMAL_POKI,"Поки","","Poki"
UI_SPIRIT_ANIMAL_HULI,"Гули","","Huli"
UI_SPIRIT_ANIMAL_IVY,"Айви","","Ivy"
UI_SPIRIT_ANIMAL_LORD_CHICKEN,"Лорд Цыпа","","Lord Chicken"
UI_MENU_ITEMS,"Предметы","Max 10 characters","Items"
UI_MENU_TRADE,"Торговля","Max 10 characters","Trade"
