key,value,comment,english
ATTRIBUTE_FLAT_MASS,"{0} 变为质量","Adds flat Mass, e.g +2 to Mass, or -4 to Mass","{0} to Mass"
ATTRIBUTE_FLAT_ENERGY,"{0} 变为能量","Adds flat Energy, e.g +2 to Energy, or -4 to Energy","{0} to Energy"
ATTRIBUTE_FLAT_TIME,"{0} 变为时间","Adds flat Time, e.g +2 to Time, or -4 to Time","{0} to Time"
ATTRIBUTE_NON_CRITICAL_STRIKES_DEAL_NO_DAMAGE,"非暴击攻击无法造成伤害","","Non-critical strikes deal no damage"
ATTRIBUTE_FLAT_MULTICRIT,"{0} 多重暴击","Adds Multicrit, e.g. +2 Multicrit","{0} Multicrit"
ATTRIBUTE_INCREASED_DAMAGE_OVER_TIME,"持续伤害提高 {0}","{0}=percentage","{0} increased Damage over Time"
ATTRIBUTE_REDUCED_DAMAGE_OVER_TIME,"持续伤害降低 {0}","{0}=percentage","{0} reduced Damage over Time"
ATTRIBUTE_MORE_DAMAGE_OVER_TIME,"持续伤害增加 {0}","{0}=percentage","{0} more Damage over Time"
ATTRIBUTE_LESS_DAMAGE_OVER_TIME,"持续伤害减少 {0}","{0}=percentage","{0} less Damage over Time"
ATTRIBUTE_NECROBLAST,"当你的一个召唤物死亡时，会在 {3} 范围内造成\n其最大护甲值 {0} \n的{1}动能伤害{2}","{0}=percentage of Armor, e.g. 500%\n{1,2}=damage color highlighting\n{3}=range, e.g. 400","When one of your Minions dies,\n{0} of its maximum Armor is dealt\nas {1}Kinetic Damage{2} in {3} range"
ATTRIBUTE_NECROBLAST_EXPLOSIVE_CONVERSION,"{0} 的死灵爆破伤害转换为{1}爆炸{2}伤害","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Explosive{2} Damage"
ATTRIBUTE_NECROBLAST_PLASMA_CONVERSION,"{0} 的死灵爆破伤害转换为{1}等离子{2}伤害","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Plasma{2} Damage"
ATTRIBUTE_NECROBLAST_ELECTRIC_CONVERSION,"{0} 的死灵爆破伤害转换为{1}电能{2}伤害","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Electric{2} Damage"
ATTRIBUTE_NECROBLAST_NUCLEAR_CONVERSION,"{0} 的死灵爆破伤害转换为{1}核能{2}伤害","{0}=percentage, {1,2}=color highlight marker","{0} Necroblast Damage converted to {1}Nuclear{2} Damage"
ATTRIBUTE_INCREASED_MINION_DAMAGE,"召唤物造成的伤害提高 {0}","{0}=percentage","Minions deal {0} increased Damage"
ATTRIBUTE_REDUCED_MINION_DAMAGE,"召唤物造成的伤害降低 {0}","{0}=percentage","Minions deal {0} reduced Damage"
ATTRIBUTE_MORE_MINION_DAMAGE,"召唤物伤害增加 {0}","{0}=percentage","Minions deal {0} more Damage"
ATTRIBUTE_LESS_MINION_DAMAGE,"召唤物伤害减少 {0}","{0}=percentage","Minions deal {0} less Damage"
ATTRIBUTE_INCREASED_MINION_ARMOR,"召唤物护甲提高 {0}","{0}=percentage","Minions have {0} increased Armor"
ATTRIBUTE_REDUCED_MINION_ARMOR,"召唤物护甲降低 {0}","{0}=percentage","Minions have {0} reduced Armor"
ATTRIBUTE_MORE_MINION_ARMOR,"召唤物护甲增加 {0}","{0}=percentage, e.g. 10%","Minions have {0} more Armor"
ATTRIBUTE_LESS_MINION_ARMOR,"召唤物护甲减少 {0}","{0}=percentage, e.g. 10%","Minions have {0} less Armor"
ATTRIBUTE_INCREASED_MINION_SPAWN_RATE,"召唤物生成速度提高 {0}","{0}=percentage","Minions spawn {0} faster"
ATTRIBUTE_REDUCED_MINION_SPAWN_RATE,"召唤物生成速度降低 {0}","{0}=percentage","Minions spawn {0} slower"
ATTRIBUTE_INCREASED_MINION_ATTACK_SPEED,"召唤物攻击速度提高 {0}","{0}=percentage","Minions have {0} increased Attack Speed"
ATTRIBUTE_REDUCED_MINION_ATTACK_SPEED,"召唤物攻击速度降低 {0}","{0}=percentage","Minions have {0} reduced Attack Speed"
ATTRIBUTE_INCREASED_MINION_ATTACK_SPEED_PER_MINION_LEVEL,"召唤物每一级攻击速度提高 {0}","{0}=percentage","Minions have {0} increased Attack Speed per Minion Level"
ATTRIBUTE_INCREASED_MINION_DAMAGE_PER_MINION_LEVEL,"召唤物每一级伤害提高 {0}","{0}=percentage","Minions deal {0} increased Damage per Minion Level"
ATTRIBUTE_INCREASED_MINION_ARMOR_PER_MINION_LEVEL,"召唤物每一级护甲提高 {0}","{0}=percentage","Minions have {0} increased Armor per Minion Level"
ATTRIBUTE_MINION_ARMOR_REPAIR,"召唤物每秒回复 {0} 最大护甲","{0}=percentage","Minions repair {0} of maximum Armor per Second"
ATTRIBUTE_MINION_LEVEL,"{0} 召唤物等级","{0}=amount, e.g. +2","{0} to level of all Minions"
ATTRIBUTE_MINION_ALL_RESISTANCES,"召唤物拥有 {0} 全部抗性","{0}=percentage","Minions have {0} to all Resistances"
ATTRIBUTE_MINION_THERMAL_RESISTANCES,"召唤物拥有 {0} {1}热能{2}抗性","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Thermal{2} Resistances"
ATTRIBUTE_MINION_KINETIC_RESISTANCE,"召唤物拥有 {0} {1}动能{2}抗性","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Kinetic{2} Resistance"
ATTRIBUTE_MINION_EXPLOSIVE_RESISTANCE,"召唤物拥有 {0} {1}爆炸{2}抗性","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Explosive{2} Resistance"
ATTRIBUTE_MINION_PLASMA_RESISTANCE,"召唤物拥有 {0} {1}等离子{2}抗性","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Plasma{2} Resistance"
ATTRIBUTE_MINION_ELECTRIC_RESISTANCE,"召唤物拥有 {0} {1}电能{2}抗性","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Electric{2} Resistance"
ATTRIBUTE_MINION_NUCLEAR_RESISTANCE,"召唤物拥有 {0} {1}核能{2}抗性","{0}=percentage, {1,2}=color highlight marker","Minions have {0} to {1}Nuclear{2} Resistance"
