key,value,comment,english
BOON_ARMOR_OF_THE_MOON_KING,"Armor of the Moon King","Boon","Armor of the Moon King"
BOON_SHIELD_OF_THE_MOON_KING,"Shield of the Moon King","Boon","Shield of the Moon King"
BOON_AGILITY_OF_THE_MOON_KING,"Agility of the Moon King","Boon","Agility of the Moon King"
BOON_HIDE_OF_KING_GRUVAK,"Hide of King Gruvak","Boon","Hide of King Gruvak"
BOON_HORNS_OF_KING_GRUVAK,"Horns of King Gruvak","Boon","Horns of King Gruvak"
BOON_ENDURANCE_OF_KING_GRUVAK,"Endurance of King Gruvak","Boon","Endurance of King Gruvak"
BOON_TOOTH_OF_VETH_MARA,"Tooth of Veth'mara","Boon","Tooth of Veth'mara"
BOON_SHELL_OF_VETH_MARA,"Shell of Veth'mara","Boon","Shell of Veth'mara"
BOON_COCOON_OF_VETH_MARA,"Cocoon of Veth'mara","Boon","Cocoon of Veth'mara"
BOON_OMEN_OF_LAZURITH,"Omen of Lazurith","Boon","Omen of Lazurith"
BOON_VAULT_OF_LAZURITH,"Vault of Lazurith","Boon","Vault of Lazurith"
BOON_WISDOM_OF_LAZURITH,"Wisdom of Lazurith","Boon","Wisdom of Lazurith"
