key,value,comment,english
BUFF_AEGIS_FIELD,"神盾力场","","Aegis Field"
BUFF_AEGIS_FIELD_DESCRIPTION,"提高偏转护盾","","Grants increased Deflector Shield"
BUFF_ARMOR_REPAIR_FIELD_RESILIENCE,"韧性","","Resilience"
BUFF_ARMOR_REPAIR_FIELD_BULWARK,"护卫舰","","Bulwark"
BUFF_ARMOR_REPAIR_FIELD_DESCRIPTION,"提高护甲回复","","Grants increased Armor Repair"
BUFF_BLASTGUARD_FIELD,"防爆力场","","Blastguard Field"
BUFF_BLASTGUARD_FIELD_DESCRIPTION,"提高爆炸抗性","","Grants increased Explosive Resistance"
BUFF_BLIND,"致盲","","Blind"
BUFF_BLIND_DESCRIPTION,"被致盲会使造成伤害和移动速度降低","","Deal less Damage and move slower while blinded"
BUFF_VENOM_BOOST,"剧毒增幅","","Venom Boost"
BUFF_VENOM_BOOST_DESCRIPTION,"增加持续伤害","","Grants more Damage over Time"
BUFF_TURBO_BOOST,"涡轮增幅","","Turbo Boost"
BUFF_TURBO_BOOST_DESCRIPTION,"提高攻击速度","","Grants increased Attack Speed"
BUFF_SHIELD_BOOST,"护盾增幅","","Shield Boost"
BUFF_SHIELD_BOOST_DESCRIPTION,"减少承受伤害","","Grants less Damage Taken"
BUFF_FOCUS_BOOST,"专注增幅","","Focus Boost"
BUFF_FOCUS_BOOST_DESCRIPTION,"提高暴击几率","","Grants increased Critical Strike Chance"
BUFF_FORGE_BOOST,"锻造增幅","","Forge Boost"
BUFF_FORGE_BOOST_DESCRIPTION,"提高护甲回复","","Grants increased Armor Repair"
BUFF_DASH_REGENERATION_FIELD_RECHARGE,"充能","","Recharge"
BUFF_DASH_REGENERATION_FIELD_DESCRIPTION,"提高冲刺回复速度","","Grants increased Dash Regeneration"
BUFF_DIAMOND_FIELD,"钻石力场","","Diamond Field"
BUFF_DIAMOND_FIELD_DESCRIPTION,"提高抗性","","Grants increased Resistances"
BUFF_ECLIPSE_FIELD,"日蚀力场","","Eclipse Field"
BUFF_ECLIPSE_FIELD_DESCRIPTION,"提高等离子抗性","","Grants increased Plasma Resistance"
BUFF_ENERGY_FIELD,"能量力场","","Energy Field"
BUFF_ENERGY_FIELD_DESCRIPTION,"提高能量","","Grants increased Energy"
BUFF_FARADAY_FIELD,"法拉第力场","","Faraday Field"
BUFF_FARADAY_FIELD_DESCRIPTION,"提高电能抗性","","Grants increased Electric Resistance"
BUFF_HOP,"跃传","","Hop"
BUFF_HOP_DESCRIPTION,"减少跃传时和跃传后一小段时间内承受伤害","","Take less damage while and shortly after hopping"
BUFF_MELEE,"近战","","Melee"
BUFF_MELEE_DESCRIPTION,"减少承受伤害","","Grants less Damage Taken"
BUFF_LETHALITY_FIELD,"致命力场","","Lethality Field"
BUFF_LETHALITY_FIELD_DESCRIPTION,"提高暴击几率与伤害","","Grants increased critical strike chance and damage"
BUFF_MASS_FIELD,"质量力场","","Mass Field"
BUFF_MASS_FIELD_DESCRIPTION,"提高质量","","Grants increased Mass"
BUFF_MINION_COUNT_ONE,"你能控制 {0} 个{1}","{0}=amount, {1}=singular minion name","You control {0} {1}"
BUFF_MINION_COUNT_MANY,"你能控制 {0} 个{1}","{0}=amount, {1}=plural minion name","You control {0} {1}"
BUFF_RETALIATION_INSTINCT,"反击本能","","Retaliation Instinct"
BUFF_RETALIATION_INSTINCT_DESCRIPTION,"提高伤害","","Grants increased Damage"
BUFF_SHAMROCK_FIELD,"三叶草力场","","Shamrock Field"
BUFF_SHAMROCK_FIELD_DESCRIPTION,"增加幸运","","Grants more Luck"
BUFF_TIME_FIELD,"时间力场","","Time Field"
BUFF_TIME_FIELD_DESCRIPTION,"延长时间","","Grants increased Time"
BUFF_INCREASED_WEAPON_DAMAGE,"{0}的伤害提高了 {1}","{0}=item name, {1}=percentage","{0} has gained {1} increased Damage"
BUFF_WINGS,"战翼","","Wings"
BUFF_WINGS_DESCRIPTION,"提高攻击速度","","Grants increased Attack Speed"
BUFF_WISDOM,"智慧","","Wisdom"
BUFF_WISDOM_DESCRIPTION,"提高经验","","Grants increased Experience"
BUFF_GLUTTONY,"暴食","","Gluttony"
BUFF_GLUTTONY_DESCRIPTION,"每收集一个强化物，战舰质量提高","","Grants increased Mass per collected Power-Up"
BUFF_LOOT_BARRIER,"战利品屏障","","Loot Barrier"
BUFF_LOOT_BARRIER_DESCRIPTION,"每收集一个强化物，承受伤害减少","","Grants less damage taken per collected Power-Up"
BUFF_RAVENOUS_RICHES,"​​饕餮财富","","Ravenous Riches"
BUFF_RAVENOUS_RICHES_DESCRIPTION,"每收集一个强化物，战舰伤害增加","","Grants more damage per collected Power-Up"
BUFF_COOP,"合作模式","","Co-op"
BUFF_COOP_DESCRIPTION,"组队中\n敌人护甲提升 {0}","{0}=percentage","You are in a party\nEnemies have {0} more armor"
BUFF_COOP_DESTROYED_DESCRIPTION,"队友已被击毁\n你现在只能独自作战","","Your partner has been destroyed\nYou are on your own"
