key,value,comment,english
COMMON_KINETIC_DAMAGE,"{0}动能{1}伤害","Kinetic damage type label, {0}, {1} are markers for damage color highlight","{0}Kinetic{1} Damage"
COMMON_EXPLOSIVE_DAMAGE,"{0}Explosive{1} Damage","Explosive damage type label, {0}, {1} are markers for damage color highlight","{0}Explosive{1} Damage"
COMMON_PLASMA_DAMAGE,"{0}Plasma{1} Damage","Plasma damage type label, {0}, {1} are markers for damage color highlight","{0}Plasma{1} Damage"
COMMON_ELECTRIC_DAMAGE,"{0}Electric{1} Damage","Electric damage type label, {0}, {1} are markers for damage color highlight","{0}Electric{1} Damage"
COMMON_NUCLEAR_DAMAGE,"{0}Nuclear{1} Damage","Nuclear damage type label, {0}, {1} are markers for damage color highlight","{0}Nuclear{1} Damage"
COMMON_KINETIC_DAMAGE_PER_SECOND,"{0}Kinetic{1} Damage per Second","Kinetic damage type label, {0}, {1} are markers for damage color highlight","{0}Kinetic{1} Damage per Second"
COMMON_EXPLOSIVE_DAMAGE_PER_SECOND,"{0}Explosive{1} Damage per Second","Explosive damage type label, {0}, {1} are markers for damage color highlight","{0}Explosive{1} Damage per Second"
COMMON_PLASMA_DAMAGE_PER_SECOND,"{0}Plasma{1} Damage per Second","Plasma damage type label, {0}, {1} are markers for damage color highlight","{0}Plasma{1} Damage per Second"
COMMON_ELECTRIC_DAMAGE_PER_SECOND,"{0}Electric{1} Damage per Second","Electric damage type label, {0}, {1} are markers for damage color highlight","{0}Electric{1} Damage per Second"
COMMON_NUCLEAR_DAMAGE_PER_SECOND,"{0}Nuclear{1} Damage per Second","Nuclear damage type label, {0}, {1} are markers for damage color highlight","{0}Nuclear{1} Damage per Second"
COMMON_KINETIC_RESISTANCE,"{0}Kinetic{1} Resistance","{0,1}=color","{0}Kinetic{1} Resistance"
COMMON_EXPLOSIVE_RESISTANCE,"{0}Explosive{1} Resistance","{0,1}=color","{0}Explosive{1} Resistance"
COMMON_PLASMA_RESISTANCE,"{0}Plasma{1} Resistance","{0,1}=color","{0}Plasma{1} Resistance"
COMMON_ELECTRIC_RESISTANCE,"{0}Electric{1} Resistance","{0,1}=color","{0}Electric{1} Resistance"
COMMON_NUCLEAR_RESISTANCE,"{0}Nuclear{1} Resistance","{0,1}=color","{0}Nuclear{1} Resistance"
COMMON_DEBRIS_CHANCE,"{0}Debris{1} Chance","{0,1}=color","{0}Debris{1} Chance"
COMMON_AFTERSHOCK_CHANCE,"{0}Aftershock{1} Chance","{0,1}=color","{0}Aftershock{1} Chance"
COMMON_BLIND_CHANCE,"{0}Blind{1} Chance","{0,1}=color","{0}Blind{1} Chance"
COMMON_SHOCK_CHANCE,"{0}Shock{1} Chance","{0,1}=color","{0}Shock{1} Chance"
COMMON_RADIATION_CHANCE,"{0}Radiation{1} Chance","{0,1}=color","{0}Radiation{1} Chance"
COMMON_DEBRIS_DAMAGE,"{0}Debris{1} Damage","{0,1}=color","{0}Debris{1} Damage"
COMMON_DEBRIS_RADIUS,"{0}Debris{1} Radius","{0,1}=color","{0}Debris{1} Radius"
COMMON_RADIATION_DAMAGE,"{0}Radiation{1} Damage","{0,1}=color","{0}Radiation{1} Damage"
COMMON_RADIATION_DAMAGE_ONE_INSTANCE,"One instance deals {0} damage per second","","One instance deals {0} damage per second"
COMMON_ATTACKS_PER_SECOND,"Attacks per Second","Attacks per Second stat","Attacks per Second"
COMMON_CRITICAL_STRIKE_CHANCE,"Critical Strike Chance","stat","Critical Strike Chance"
COMMON_CRITICAL_STRIKE_MULTIPLIER,"Critical Strike Multiplier","stat","Critical Strike Multiplier"
COMMON_RANGE,"Range","Range stat","Range"
COMMON_THRUST,"Thrust","stat","Thrust"
COMMON_MAXIMUM_VELOCITY,"Maximum Velocity","stat","Maximum Velocity"
COMMON_ARMOR,"Armor","stat","Armor"
COMMON_DEFLECTOR_SHIELD,"Deflector Shield","stat","Deflector Shield"
COMMON_DODGE,"Dodge","stat","Dodge"
COMMON_DURATION,"Duration","stat","Duration"
COMMON_HIT_DAMAGE,"Hit Damage","stat","Hit Damage"
COMMON_SECONDS_SHORT_ONE,"{0}s","Short form of seconds (singular), {0}=amount of seconds","{0}s"
COMMON_SECONDS_SHORT_MANY,"{0}s","Short form of seconds (plural), {0}=amount of seconds","{0}s"
COMMON_SECONDS_LONG_ONE,"{0} second","Long form of seconds (singular), {0}=amount of seconds","{0} second"
COMMON_SECONDS_LONG_MANY,"{0} seconds","Long form of seconds (plural), {0}=amount of seconds","{0} seconds"
COMMON_PERCENT,"{0}%","{0}=number","{0}%"
COMMON_PERCENT_PLUS,"+{0}%","{0}=number","+{0}%"
COMMON_PERCENT_MINUS,"-{0}%","{0}=number","-{0}%"
COMMON_LEVEL_LABEL,"Level","","Level"
COMMON_LEVEL_COUNT,"Level {0}","{0}=level, e.g. 20","Level {0}"
COMMON_ITEM_LEVEL_LABEL,"Item Level","","Item Level"
COMMON_REQUIRED_SHIP_LEVEL_LABEL,"Required Ship Level","","Required Ship Level"
COMMON_EXPERIENCE_LABEL,"Experience","","Experience"
COMMON_EXPERIENCE_PROGRESS_LABEL,"Progress","","Progress"
COMMON_DIFF_TOTAL_DPS,"Total Damage per Second","","Total Damage per Second"
COMMON_DIFF_MAX_HIT,"Max Hit","","Max Hit"
COMMON_DIFF_ARMOR,"Armor","","Armor"
COMMON_DIFF_ARMOR_PER_SECOND,"Armor per Second","","Armor per Second"
COMMON_DIFF_DEFLECTOR_SHIELD,"Deflector Shield","","Deflector Shield"
COMMON_DIFF_DEFLECTOR_SHIELD_PER_SECOND,"Deflector Shield per Second","","Deflector Shield per Second"
COMMON_DIFF_DEFLECTOR_SHIELD_RECHARGE,"Deflector Shield Recharge per Second","","Deflector Shield Recharge per Second"
COMMON_DIFF_DASH,"Dash Slots","","Dash Slots"
COMMON_DIFF_DASH_RECHARGE,"Dash Recharge","","Dash Recharge"
COMMON_DIFF_DODGE,"of 100 hits dodged","","of 100 hits dodged"
COMMON_DIFF_DAMAGE_TAKEN,"Damage taken","","Damage taken"
COMMON_DIFF_THERMAL_DAMAGE_TAKEN,"Thermal Damage taken","","Thermal Damage taken"
COMMON_DIFF_KINETIC_DAMAGE_TAKEN,"Kinetic Damage taken","","Kinetic Damage taken"
COMMON_DIFF_EXPLOSIVE_DAMAGE_TAKEN,"Explosive Damage taken","","Explosive Damage taken"
COMMON_DIFF_ELECTRIC_DAMAGE_TAKEN,"Electric Damage taken","","Electric Damage taken"
COMMON_DIFF_PLASMA_DAMAGE_TAKEN,"Plasma Damage taken","","Plasma Damage taken"
COMMON_DIFF_NUCLEAR_DAMAGE_TAKEN,"Nuclear Damage taken","","Nuclear Damage taken"
COMMON_DIFF_MAX_ACCELERATION,"maximum Acceleration","","maximum Acceleration"
COMMON_DIFF_MAX_VELOCITY,"maximum Velocity","","maximum Velocity"
COMMON_DIFF_MODIFIER_SLOTS,"Modifier Slots","","Modifier Slots"
COMMON_DIFF_MINION_MAX_HIT,"Minion Max Hit","","Minion Max Hit"
COMMON_DIFF_MINION_ARMOR,"Minion Armor","","Minion Armor"
COMMON_DIFF_MINION_ARMOR_PER_SECOND,"Minion Armor per Second","","Minion Armor per Second"
COMMON_DIFF_MINION_DEFLECTOR_SHIELD,"Minion Deflector Shield","","Minion Deflector Shield"
COMMON_DIFF_NECROBLAST_DAMAGE,"Necroblast Damage","","Necroblast Damage"
COMMON_DIFF_RANGE,"Range","","Range"
COMMON_DIFF_MORE,"more","","more"
COMMON_DIFF_LESS,"less","","less"
COMMON_POWER_REPORT_DPS,"Dps","max length 20","Dps"
COMMON_POWER_REPORT_MAX_HIT,"Max Hit","max length 20","Max Hit"
COMMON_POWER_REPORT_RECOVERY,"Recovery","max length 20","Recovery"
COMMON_POWER_REPORT_MINION_MAX_HIT,"Minion Max Hit","max length 20","Minion Max Hit"
COMMON_POWER_REPORT_MINION_RECOVERY,"Minion Recovery","max length 20","Minion Recovery"
COMMON_ITEM_SLOT_LEFT_WEAPON,"left weapon","Used in sentences like 'Mod in x will grant'","left weapon"
COMMON_ITEM_SLOT_RIGHT_WEAPON,"right weapon","Used in sentences like 'Mod in x will grant'","right weapon"
COMMON_ITEM_SLOT_ENGINE,"engine","Used in sentences like 'Mod in x will grant'","engine"
COMMON_ITEM_SLOT_CORE,"core","Used in sentences like 'Mod in x will grant'","core"
COMMON_ITEM_SLOT_LEFT_SHIELD,"left shield","Used in sentences like 'Mod in x will grant'","left shield"
COMMON_ITEM_SLOT_RIGHT_SHIELD,"right shield","Used in sentences like 'Mod in x will grant'","right shield"
COMMON_ITEM_SLOT_CHIP_SOCKET,"chip","Used in sentences like 'Mod in x will grant'","chip"
COMMON_ITEM_SLOT_NEXUS,"nexus","Used in sentences like 'Mod in x will grant'","nexus"
COMMON_ITEM_DIFF_MOD,"Mod in {0} will grant","","Mod in {0} will grant"
COMMON_ITEM_DIFF_EQUIP,"Equipping {0} will grant","","Equipping {0} will grant"
COMMON_ITEM_DIFF_REPLACE,"Replacing {0} will grant","","Replacing {0} will grant"
COMMON_ITEM_DIFF_REMOVE,"Removing {0} will grant","","Removing {0} will grant"
COMMON_ITEM_DIFF_EQUIP_THIS_ITEM,"Equipping this item will grant","","Equipping this item will grant"
COMMON_ITEM_DIFF_REPLACE_THIS_ITEM,"Replacing this item will grant","","Replacing this item will grant"
COMMON_ITEM_DIFF_NO_CHANGES,"No changes","","No changes"
