key,value,comment,english
ENEMY_ASH_QUEEN,"灰烬女王","","Ash Queen"
ENEMY_ASTEROID,"小行星","","Asteroid"
ENEMY_ASTEROID_SUMMONER,"小行星召唤师","","Asteroid Summoner"
ENEMY_AZATHOTH,"阿撒托斯","","Azathoth"
ENEMY_RUST_BARON,"锈蚀男爵","","The Rust Baron"
ENEMY_RUST_BARON_II,"锈蚀男爵II","","The Rust Baron II"
ENEMY_BIG_ASTEROID,"巨型小行星","","Big Asteroid"
ENEMY_BIG_EGG_GUARD,"巨型守蛋卫士","","Big Egg Guard"
ENEMY_BIG_GUNNER,"巨型枪手","","Big Gunner"
ENEMY_BIG_GUN_TURRET,"巨型炮塔","","Big Gun Turret"
ENEMY_BIG_ROCKETEER,"巨型火箭手","","Big Rocketeer"
ENEMY_BIG_SLINGER,"巨型投手","","Big Slinger"
ENEMY_BIG_SPARKER,"巨型电火花器","","Big Sparker"
ENEMY_BIG_SPORER,"巨型散孢者","","Big Sporer"
ENEMY_BIG_THORNS,"巨型荆棘","","Big Thorns"
ENEMY_BLAST_GUNNER,"爆破枪手","","Blast Gunner"
ENEMY_BOOMER,"自爆者","","Boomer"
ENEMY_BOOMSMITH,"自爆匠","","Boomsmith"
ENEMY_BRAMBLE_QUEEN,"荆棘女王","","Bramble Queen"
ENEMY_BUZZER,"信号手","","Buzzer"
ENEMY_CONTAMINATOR,"污染者","","Contaminator"
ENEMY_DRAK_VETH,"德拉克·维斯","","Drak'Veth"
ENEMY_EAGLE_EYE,"鹰眼","","Eagle Eye"
ENEMY_EAGLE_EYE_II,"鹰眼II","","Eagle Eye II"
ENEMY_EGG_GUARD,"守蛋卫士","","Egg Guard"
ENEMY_ELECTRO_BOOMER,"电能自爆者","","Electro Boomer"
ENEMY_ELECTRO_GUN_TURRET,"电能炮塔","","Electro Gun Turret"
ENEMY_FIERY_SQUIRE,"烈火侍从","","Fiery Squire"
ENEMY_ICICLE_SQUIRE,"冰锥侍从","","Icicle Squire"
ENEMY_KING_GRUVAK,"格鲁瓦克王","","King Gruvak"
ENEMY_UBER_KING_GRUVAK,"超级格鲁瓦克王","","Emperor Gruvak"
ENEMY_GUNNER,"枪手","","Gunner"
ENEMY_GUN_TURRET,"炮塔","","Gun Turret"
ENEMY_HAUNTER,"幽魂","","Haunter"
ENEMY_ICY_ASTEROID,"寒冰小行星","","Icy Asteroid"
ENEMY_IONIZER,"离子化装置","","Ionizer"
ENEMY_JUNK_LORD,"垃圾领主","","Junk Lord"
ENEMY_KOKO,"蔻蔻","","Koko"
ENEMY_LAZURITH,"拉祖瑞斯","","Lazurith"
ENEMY_MATILDA,"玛蒂尔达","","Matilda"
ENEMY_MOTHERSHIP,"母舰","","Mothership"
ENEMY_NIHALOR,"尼哈洛尔","","Nihalor"
ENEMY_NUCLEAR_BOOMER,"核能自爆者","","Nuke-Boomer"
ENEMY_OWL_OF_WISDOM,"智慧猫头鹰","","Owl of Wisdom"
ENEMY_ROCKETEER,"火箭手","","Rocketeer"
ENEMY_ROCKTHORN,"岩石荆棘","","Rockthorn"
ENEMY_ROCKTHORN_II,"岩石荆棘II","","Rockthorn II"
ENEMY_SER_ASTEROID,"塞尔小行星","","Ser Asteroid"
ENEMY_SHOCKER,"感电者","","Shocker"
ENEMY_SLINGER,"投手","","Slinger"
ENEMY_SLURXON,"斯鲁克森","","Slurxon"
ENEMY_SNOWMAN,"雪人","","Snowman"
ENEMY_SPARKER,"电火花器","","Sparker"
ENEMY_SPORER,"散孢者","","Sporer"
ENEMY_ABYSS_STRUDEL,"深渊狂卷","Hint: has nothing to do with the Abyss end-game sector","Abyss Strudel"
ENEMY_THORN_KNIGHT,"荆棘骑士","","Thorn Knight"
ENEMY_THORNS,"荆棘","","Thorns"
ENEMY_THUNDERHEART,"雷霆之心","","Thunderheart"
ENEMY_THUNDERHEART_II,"雷霆之心II","","Thunderheart II"
ENEMY_TREASURE,"宝藏","","Treasure"
ENEMY_TRINITY,"三一者","","Trinity"
ENEMY_UBER_BARON,"超级男爵","","Uber Baron"
ENEMY_UBER_DRAK_VETH,"超级德拉克·维斯","","Uber Drak'Veth"
ENEMY_VETH_MARA,"维斯玛拉","","Veth'mara"
ENEMY_MOON_KING,"月王","","The Moon King"
ENEMY_MOON_CROW,"月鸦","","Moon Crow"
ENEMY_WULFRIC,"伍尔弗里克","","Wulfric"
ENEMY_BAT,"蝙蝠","","Bat"
ENEMY_BIG_BAT,"巨型蝙蝠","","Big Bat"
ENEMY_BAT_BARON,"蝙蝠男爵","","Bat Baron"
ENEMY_SHARD_GOBLIN,"碎晶哥布林","","Shard Goblin"
ENEMY_SHARD_KNIGHT,"碎晶骑士","","Shard Knight"
ENEMY_OCTRON,"奥创","","Octron"
ENEMY_DRAGON_NUCLEAR,"维斯·拉顿，噬星者","","Veth'Radon, the Star Eater"
ENEMY_DRAGON_KINETIC,"德拉克·梅克，钢铁风暴","","Drak'Mech, the Iron Gale"
ENEMY_DRAGON_PLASMA,"索尔·瑟瑞斯，太阳之怒","","Sol'Theris, the Sun's Wrath"
ENEMY_DRAGON_ELECTRIC,"沃尔·特罗克斯，风暴收割者","","Vol'Trox, the Storm Reaper"
ENEMY_DRAGON_EXPLOSIVE,"皮尔·扎尔，引爆者","","Pyrr'Zar, the Detonator"
