key,value,comment,english
GLOSSARY_KINETIC,"动能","Used to search and highlight Kinetic damage type in descriptions","Kinetic"
GLOSSARY_KINETIC_DESCRIPTION,"物理冲击可造成动能伤害。","","Kinetic Damage is caused by physical impacts."
GLOSSARY_EXPLOSIVE,"爆炸","Used to search and highlight Explosive damage type in descriptions","Explosive"
GLOSSARY_EXPLOSIVE_DESCRIPTION,"AoE 爆破或大量热能可造成爆炸伤害。","","Explosive Damage is caused by AoE blasts or massive heat."
GLOSSARY_PLASMA,"等离子","Used to search and highlight Plasma damage type in descriptions","Plasma"
GLOSSARY_PLASMA_DESCRIPTION,"激光或其他高能波可造成等离子伤害。","","Plasma Damage is caused by lasers or other high energetic waves."
GLOSSARY_ELECTRIC,"电能","Used to search and highlight Electric damage type in descriptions","Electric"
GLOSSARY_ELECTRIC_DESCRIPTION,"闪电或火花可造成电能伤害。","","Electric Damage is caused by lightning or sparks."
GLOSSARY_NUCLEAR,"核能","Used to search and highlight Nuclear damage type in descriptions","Nuclear"
GLOSSARY_NUCLEAR_DESCRIPTION,"原子武器或辐射可造成核能伤害，天然无视偏转护盾。","","Nuclear Damage is caused by atomic weapons or radiation. It inherently bypasses Deflector Shield."
GLOSSARY_THERMAL,"热能","Used to search and highlight Thermal damage type in descriptions","Thermal"
GLOSSARY_THERMAL_DESCRIPTION,"{0}热能{1}伤害的类型包括{2}爆炸{3}、{4}等离子{5}和{6}电能{7}。\n\n此类伤害类型转化为其他伤害时，{8}热能{9}伤害的修饰符仍保留 {10} 的效果。","{0-9}=color markers, {10}=percentage","{0}Thermal{1} Damage types are {2}Explosive{3}, {4}Plasma{5} and {6}Electric{7}.\n\nWhen damage is converted from a thermal damage type, {8}Thermal{9} Damage modifiers apply at {10} of their value."
GLOSSARY_PIERCE,"穿透","Used as title for Glossary entry","Pierce"
GLOSSARY_PIERCE_DESCRIPTION,"命中敌人并穿透的投射物不会被移除。它们会沿着路径继续前进。","Used to as description for Glossary entry","Projectiles that hit an enemy and pierce are not removed. They continue traveling along their path."
GLOSSARY_RANGE,"射程","","Range"
GLOSSARY_RANGE_DESCRIPTION,"射程决定了敌人可以被武器锁定和攻击的最远距离。","","Range determines how far away enemies can be targeted and attacked with a weapon."
GLOSSARY_ATTRIBUTES,"属性","Used as title in Glossary","Attributes"
GLOSSARY_MASS,"质量","Used as title and search string in Glossary","Mass"
GLOSSARY_MASS_DESCRIPTION,"每点赋予：\n\n{0} 护甲提高\n{1} {2}动能{3}伤害总增\n{4} 加速度降低","Used as description for Mass\n{0}=increase armor, for instance 1%\n{1}=more damage, for instance 1%\n{2,3}=damage color marker\n{4}=increased acceleration, for instance 1%","Each point grants:\n\n{0} increased Armor\n{1} more {2}Kinetic Damage{3}\n{4} reduced Acceleration"
GLOSSARY_ENERGY,"能量","Used as title and search string in Glossary","Energy"
GLOSSARY_ENERGY_DESCRIPTION,"每点赋予：\n\n{0} 偏转护盾提高\n{1} 冲刺充能加速\n{2} {3}热能{4}伤害总增","Used as description for Energy\n{0}=increased deflector shield, for instance 1%\n{1}=faster dash recharge, for instance 1%\n{2}=more thermal damage, for instance 1%\n{3,4}=damage color marker","Each point grants:\n\n{0} increased Deflector Shield\n{1} faster Dash Recharge\n{2} more {3}Thermal{4} Damage"
GLOSSARY_TIME,"时间","Used as title and search string in Glossary","Time"
GLOSSARY_TIME_DESCRIPTION,"每点赋予：\n\n{0}+ 你战舰周围的时间流速，此效果覆盖 {1} 范围内的一切事物——包括你自己、敌人和投射物。","Used as description for Time\n{0}=speedup per time, e.g. 1%\n{1}=range around the player affected by time, e.g. 300","Each point grants:\n\n{0} faster flow of time around your ship, speeding up everything in {1} range - including you, enemies, and projectiles."
GLOSSARY_DEFLECTOR_SHIELD,"偏转护盾","","Deflector Shield"
GLOSSARY_DEFLECTOR_SHIELD_DESCRIPTION,"偏转护盾保护你的护甲免受伤害。\n偏转护盾会在 {0} 未受到伤害后充能。核能伤害天然无视偏转护盾。","{0}=2 seconds","Deflector Shield protects your Armor from taking damage.\nDeflector Shield recharges after {0} of not taking damage. Nuclear Damage inherently bypasses Deflector Shield."
GLOSSARY_VELOCITY,"行进速度","","Velocity"
GLOSSARY_VELOCITY_DESCRIPTION,"行进速度决定你战舰的最大移动速度。","","Velocity determines your ship's maximum movement speed."
GLOSSARY_ACCELERATION,"加速度","","Acceleration"
GLOSSARY_ACCELERATION_DESCRIPTION,"加速度决定你的战舰加速效果。","","Acceleration determines how fast your ship gains speed."
GLOSSARY_PICKUP_RANGE,"拾取范围","","Pickup Range"
