key,value,comment,english
ITEM_INTRINSIC_QUALITY_SCRAP,"废料","Intrinsic quality of an item","Scrap"
ITEM_INTRINSIC_QUALITY_RUSTY,"锈蚀","Intrinsic quality of an item","Rusty"
ITEM_INTRINSIC_QUALITY_AUGMENTED,"强化","Intrinsic quality of an item","Augmented"
ITEM_INTRINSIC_QUALITY_ENHANCED,"增强","Intrinsic quality of an item","Enhanced"
ITEM_INTRINSIC_QUALITY_EXCEPTIONAL,"卓越","Intrinsic quality of an item","Exceptional"
ITEM_INTRINSIC_QUALITY_HEAVY,"重型","Intrinsic quality of an item","Heavy"
ITEM_INTRINSIC_QUALITY_ELITE,"精英","Intrinsic quality of an item","Elite"
ITEM_INTRINSIC_QUALITY_RELIC,"圣物","Intrinsic quality of an item","Relic"
ITEM_INTRINSIC_QUALITY_ELDER,"长者","Intrinsic quality of an item","Elder"
ITEM_INTRINSIC_QUALITY_ANCIENT,"远古","Intrinsic quality of an item","Ancient"
ITEM_INTRINSIC_QUALITY_ETERNAL,"永恒","Intrinsic quality of an item","Eternal"
ITEM_CATEGORY_WEAPON,"武器","item category","Weapon"
ITEM_CATEGORY_SHIELD,"护盾","item category","Shield"
ITEM_CATEGORY_CORE,"核心","item category","Core"
ITEM_CATEGORY_ENGINE,"引擎","item category","Engine"
ITEM_CATEGORY_NEXUS,"枢纽","item category","Nexus"
ITEM_CATEGORY_MOD,"模组","item category","Mod"
ITEM_CATEGORY_CHIP,"芯片","item category","Chip"
ITEM_CATEGORY_DICE,"骰子","item category","Dice"
ITEM_CATEGORY_REWARD,"奖励","item category","Reward"
ITEM_CATEGORY_QUEST_ITEM,"任务物品","item category","Quest Item"
ITEM_CATEGORY_SECTOR_ITEM,"星区​","item category","Sector"
ITEM_TAG_ATTACK,"攻击","item tag","Attack"
ITEM_TAG_ATTACK_SPEED,"攻击速度","item tag","Attack Speed"
ITEM_TAG_RANGE,"射程","item tag","Range"
ITEM_TAG_FIELD,"力场","item tag","Field"
ITEM_TAG_AOE,"AoE","item tag","AoE"
ITEM_TAG_PROJECTILE,"投射物","item tag","Projectile"
ITEM_TAG_DOT,"持续伤害","item tag","DoT"
ITEM_TAG_HIT,"击中","item tag","Hit"
ITEM_TAG_MINION,"召唤物","item tag","Minion"
ITEM_TAG_PARASITE,"寄生体","item tag","Parasite"
ITEM_TAG_VIRUS,"病毒","item tag","Virus"
ITEM_TAG_VIRUS_FIELD,"病毒力场","item tag","Virus Field"
ITEM_TAG_MELEE,"近战","item tag","Melee"
ITEM_TAG_REFLECT,"反射","item tag","Reflect"
ITEM_TAG_MINE,"诡雷","item tag","Mine"
ITEM_STASH_TAB_DICE,"骰子","stash tab","Dice"
ITEM_STASH_TAB_GEAR,"装备","stash tab","Gear"
ITEM_STASH_TAB_MOD,"模组","stash tab","Mod"
ITEM_STASH_TAB_UNIQUE,"独特","stash tab","Unique"
ITEM_STASH_TAB_SECTOR,"星区​","stash tab","Sector"
ITEM_CHIP,"芯片","item name","Chip"
ITEM_CHIP_DESCRIPTION,"可放入技能树芯片槽","Description of Chip items","Fits into a Skill Tree Chip Socket"
ITEM_CRIT_RIPPER,"暴击开膛手","item name","Crit Ripper"
ITEM_DRONE_MASTER,"无人机大师","item name","Drone Master"
ITEM_EMPOWERED_CHIP,"充能芯片","item name","Empowered Chip"
ITEM_SINGULARITY,"奇点","item name","Singularity"
ITEM_ESCAPE_CIRCUIT,"逃生回路","item name","Escape Circuit"
ITEM_SHEAKIRUS_WRATH,"谢基鲁之怒​","item name","Sheakiru's Wrath"
ITEM_SOUL_STONE,"灵魂石","item name","Soul Stone"
ITEM_SPIRIT_ANIMALS_SOUL_STONE,"{0}的灵魂石","{0}=name of spirit animal, e.g. Huli","{0}'s Soul Stone"
ITEM_THE_GRAND_FINALE,"终幕​","item name","The Grand Finale"
ITEM_ZEDS_PACT,"泽德契约​","item name","Zed's Pact"
ITEM_BASTION,"堡垒","item name","Bastion"
ITEM_NULLHEART,"虚空之心","item name","Nullheart"
ITEM_PAPYRUS,"莎草卷轴​","item name","Papyrus"
ITEM_PAPYRUS_DESCRIPTION,"攻击是最好的防御","item name","Paper is the best Defense"
ITEM_PELT_OF_THE_MOON_KING,"月王之皮​","item name","Pelt of the Moon King"
ITEM_CRYSTAL_CORE,"水晶核心​","item name","Crystal Core"
ITEM_ETHEREAL_CORE,"以太核心​","item name","Ethereal Core"
ITEM_NEBULA_CORE,"星云核心​","item name","Nebula Core"
ITEM_PHANTOM_CORE,"幻影核心​","item name","Phantom Core"
ITEM_POLYMER_CORE,"聚合核心​","item name","Polymer Core"
ITEM_TITANIUM_CORE,"钛金核心","item name","Titanium Core"
ITEM_SHIELD_OF_ARESTUM,"阿瑞斯图姆护盾​","item name","Shield of Arestum"
ITEM_CRYSTAL_SHIELD,"水晶护盾​","item name","Crystal Shield"
ITEM_ETHEREAL_SHIELD,"以太护盾​","item name","Ethereal Shield"
ITEM_NEBULA_SHIELD,"星云护盾​","item name","Nebula Shield"
ITEM_PHANTOM_SHIELD,"幻影护盾​","item name","Phantom Shield"
ITEM_POLYMER_SHIELD,"聚合护盾​","item name","Polymer Shield"
ITEM_TITANIUM_SHIELD,"钛金护盾​","item name","Titanium Shield"
ITEM_SIEBENMEILEN,"七里靴","item name","Siebenmeilen"
ITEM_AFTERBURNER,"加力推进器​","item name","Afterburner"
ITEM_AFTERBURNER_DESCRIPTION,"提高最大行进速度\n并在身后留下爆炸轨迹​","item name","Increases maximum velocity\nand leaves a trail of explosions behind"
ITEM_BLACK_HOLE_WARP,"黑洞折跃","item name","Black Hole Warp"
ITEM_BLACK_HOLE_WARP_DESCRIPTION,"在身后留下黑洞","item name","Leaves a black hole behind"
ITEM_EMP,"EMP","item name","EMP"
ITEM_EMP_DESCRIPTION,"向周围敌人降下闪电","item name","Strikes lightning at nearby enemies"
ITEM_FUSION_DRIVE,"聚变引擎​","item name","Fusion Drive"
ITEM_FUSION_DRIVE_DESCRIPTION,"对目标地点进行核能爆炸攻击","item name","Attack with nuclear explosions at target location"
ITEM_THRUSTER,"推进器","item name","Thruster"
ITEM_WARP,"折跃","item name","Warp"
ITEM_WARP_DESCRIPTION,"在起点与目标地点引发新星","item name","Fires a nova at the source and target location"
ITEM_ASTRAL_AFFIX,"星界词条","item name","Astral Affix"
ITEM_ASTRAL_AFFIX_DESCRIPTION_UNCOMMON,"将储存的词条添加至一个{0}罕见{1}物品","{0,1}=color","Add stored Affix to an {0}uncommon{1} item"
ITEM_ASTRAL_AFFIX_DESCRIPTION_RARE,"将储存的词条添加至一个{0}稀有{1}物品","{0,1}=color","Add stored Affix to a {0}rare{1} item"
ITEM_ASTRAL_DICE,"星界骰子","item name","Astral Dice"
ITEM_ASTRAL_DICE_DESCRIPTION,"摧毁一个非独特物品，萃取一个随机词条","","Destroy a non-unique item to extract a random Affix"
ITEM_BLANK_DICE,"空白骰​子","item name","Blank Dice"
ITEM_BLANK_DICE_DESCRIPTION,"将一个非独特物品稀有度改为{0}普通{1}","{0,1}=color","Change rarity of non-unique item to {0}common{1}"
ITEM_INFINITY_DICE,"无限骰​子","item name","Infinity Dice"
ITEM_INFINITY_DICE_DESCRIPTION,"可将{0}独特{1}物品升阶","{0,1}=color","Upgrade tier of a {0}unique{1} item"
ITEM_JINX_DICE,"厄运骰​子","item name","Jinx Dice"
ITEM_JINX_DICE_DESCRIPTION,"为{0}罕见{1}和{2}稀有{3}物品添加词条","{0,1,2,3}=color","Add Affix to an {0}uncommon{1} or {2}rare{3} item"
ITEM_LUNAR_DICE,"月亮骰​子","item name","Lunar Dice"
ITEM_LUNAR_DICE_DESCRIPTION,"提升一个随机词条","","Improves a random item Affix"
ITEM_PLASMA_DICE,"等离子骰​子","item name","Plasma Dice"
ITEM_PLASMA_DICE_DESCRIPTION,"将一个{0}普通{1}物品稀有度改为{2}罕见{3}","{0,1,2,3}=color","Change rarity of a {0}common{1} item to {2}uncommon{3}"
