key,value,comment,english
MISSION_TUTORIAL,"初次接触","Name of the tutorial mission","First Contact"
MISSION_ABYSS,"深渊","Name of all Abyss Missions","Abyss"
MISSION_ABYSS_DEPTH,"深度","Abyss Depth","Depth"
MISSION_EGG_HUNT,"找蛋行动","Mission name","Egg Hunt"
MISSION_BIG_EGG_HUNT,"大规模找蛋行动","Mission name","Big Egg Hunt"
MISSION_ASTEROID_FIELD,"小行星带​","Mission name","Asteroid Field"
MISSION_ARENA,"竞技场","Mission name","Arena"
MISSION_WAVES_OF_CORRUPTION,"腐化之潮","Mission name","Waves of Corruption"
MISSION_TREASURE_HUNT,"寻宝","Mission name","Treasure Hunt"
MISSION_DEFEAT_KOKO,"击败蔻蔻","Mission name","Defeat Koko"
MISSION_THE_BIG_EGG,"巨蛋","Mission name","The Big Egg"
MISSION_CHAMBER_OF_NIHALOR,"尼哈洛尔密室","Mission name","Chamber of Nihalor"
MISSION_SURVIVE,"生存试炼","Mission name","Survive"
MISSION_INTERLUDE,"幕间​","Mission name","Interlude"
MISSION_KING_GRUVAKS_CASTLE,"格鲁瓦克王的城堡","Mission name","King Gruvak's Castle"
MISSION_LAZURITHS_HIDE,"拉祖瑞斯藏身处​","Mission name","Lazurith's Hide"
MISSION_VETH_MARAS_LAIR,"维斯玛拉巢穴​","Mission name","Veth'mara's Lair"
MISSION_SEPULCHER_OF_IRON_VIGIL,"铁卫陵墓","Mission name","Sepulcher of Iron Vigil"
MISSION_THE_LOST_OPAL,"失落蛋白石","Mission name","The Lost Opal"
MISSION_TOMB_OF_VIRA,"薇拉之墓​","Mission name","Tomb of Vira"
MISSION_CRYPT_OF_ETERNAL_VOLTRON,"永恒战神金刚地穴","Mission name","Crypt of Eternal Voltron"
MISSION_ECHOES_OF_THE_PAST,"往昔回响​","Mission name","Echoes of the Past"
MISSION_TURTLE_IN_NEED,"海龟的请求","Mission name","Turtle in Need"
MISSION_HUNT,"狩猎​","Mission name","Hunt"
MISSION_HAUNTED_SECTOR,"闹鬼星区​","Mission name","Haunted Sector"
MISSION_BUZZER_SPIRAL_SECTOR,"蜂鸣螺旋星区​","Mission name","Buzzer Spiral Sector"
MISSION_SPARKER_SPIRAL_SECTOR,"火花螺旋星区​","Mission name","Sparker Spiral Sector"
MISSION_SHOCKWAVE_SECTOR,"冲击波星区​","Mission name","Shockwave Sector"
MISSION_PLASMA_PURSUIT,"等离子追猎​","Mission name","Plasma Pursuit"
MISSION_PLASMA_SECTOR,"等离子星区​","Mission name","Plasma Sector"
MISSION_PLASMA_SPIRAL_SECTOR,"等离子螺旋星区","Mission name","Plasma Spiral Sector"
MISSION_THORN_SPIRAL,"荆棘螺旋","Mission name","Thorn Spiral"
MISSION_THORN_SECTOR,"荆棘星区​","Mission name","Thorn Sector"
MISSION_EGGS_TO_THE_NORTH,"北境寻蛋","Mission name","Eggs to the North"
MISSION_GUNS_TO_THE_WEST,"西线枪火","Mission name","Guns to the West"
MISSION_ROCKETS_TO_THE_EAST,"东征火箭","Mission name","Rockets to the East"
MISSION_BIG_PLASMA_BALLS,"巨型等离子球","Mission name","Big Plasma Balls"
MISSION_BIG_EXPLOSIVE_ROCKETS,"巨型爆裂火箭","Mission name","Big Explosive Rockets"
MISSION_BIG_THORNS_SECTOR,"巨型荆棘星区​","Mission name","Big Thorns Sector"
MISSION_ASTEROID_SPIRAL,"小行星螺旋","Mission name","Asteroid Spiral"
MISSION_WOLF_SECTOR,"饿狼星区","Mission name","Wolf Sector"
MISSION_STAIRS_TO_THE_MOON_KING,"月王长阶","Mission name","Stairs to the Moon King"
MISSION_GUARDIANS_OF_THE_MOON_KING,"月王之守护者","Mission name","Guardians of the Moon King"
MISSION_TOWARDS_THE_TOMB_OF_THE_FALLEN_KNIGHT,"前往陨落骑士之墓","Mission name","Towards the Tomb of the Fallen Knight"
MISSION_BACK_TO_THE_ROOTS,"归源之旅","Mission name","Back to the Roots"
MISSION_A_LOST_EGG,"迷途的蛋","Mission name","A lost Egg"
MISSION_BRAMBLE_PATH,"荆棘小径","Mission name","Bramble Path"
MISSION_ASH_PATH,"灰烬之路","Mission name","Ash Path"
MISSION_RADIOACTIVE_AREA,"辐射禁区","Mission name","Radioactive Area"
MISSION_SCATTERED_AREA,"残骸之区","Mission name","Scattered Area"
MISSION_GUARD_SPIRAL,"守卫螺旋","Mission name","Guard Spiral"
MISSION_ELECTRIC_DEFENSE_I,"雷霆防线·I","Mission name","Electric Defense I"
MISSION_ELECTRIC_DEFENSE_II,"雷霆防线·II","Mission name","Electric Defense II"
MISSION_ELECTRIC_MADNESS_I,"雷霆狂潮·I","Mission name","Electric Madness I"
MISSION_ELECTRIC_MADNESS_II,"雷霆狂潮·II","Mission name","Electric Madness II"
MISSION_ELECTRIC_MADNESS_III,"雷霆狂潮·III","Mission name","Electric Madness III"
MISSION_CREDITS,"迷失信号","Mission name","Lost Transmission"
MISSION_DESTROY_ALL_ENEMIES_OBJECTIVE,"歼灭所有敌人","Objective","Destroy all Enemies"
MISSION_DEFEAT_BOSS_OBJECTIVE,"击败{0}","Objective","Defeat {0}"
MISSION_DEFEAT_BOSS_OBJECTIVE_ONCE_AND_FOR_ALL,"击败{0}——一劳永逸","Objective, {0}=boss name","Defeat {0} - Once and for all"
MISSION_DEFEAT_BOSSES_OBJECTIVE,"击败 {0} 个首领","Objective, {0}=amount","Defeat {0} Bosses"
MISSION_DESTROY_ENEMY_SPIRAL_OBJECTIVE,"击毁敌方螺旋","Objective","Destroy the Enemy Spiral"
MISSION_DESTROY_ENEMY_WAVES_OBJECTIVE,"击退 {0} 波敌军","Objective, {0}=amount","Destroy {0} Enemy Waves"
MISSION_FIND_TURTLE_EGGS_OBJECTIVE_ONE,"找到 {0} 个海龟蛋","Objective, {0}=amount-singular","Find {0} Turtle Egg"
MISSION_FIND_TURTLE_EGGS_OBJECTIVE_MANY,"找到 {0} 个海龟蛋","Objective, {0}=amount-plural","Find {0} Turtle Eggs"
MISSION_RESCUE_TURTLE_OBJECTIVE,"歼灭所有敌人并拯救海龟商人","Objective","Destroy all enemies and rescue the Trader Turtle"
MISSION_SURVIVE_OBJECTIVE,"坚持 {0} 秒","Objective, {0}=x seconds","Survive {0}"
MISSION_UNLOCK_STASH_OBJECTIVE,"歼灭所有敌人并夺回物资","Objective","Destroy all enemies and salvage your Stash"
MISSION_NIHALOR_CHAMBER_OBJECTIVE,"深入密室","Objective","Descend into the Chamber"
MISSION_KIKI_FALLEN_KNIGHT_OBJECTIVE,"协助琪琪洗劫陨落骑士之墓","Objective","Help Kiki to raid the Tomb of the Fallen Knight"
MISSION_KIKI_INVESTIGATION_OBJECTIVE,"调查小狐狸的预谋","Objective","Investigate what the little fox is up to"
MISSION_KIKI_RAID_SEPULCHER_OBJECTIVE,"协助琪琪洗劫陵墓","Objective","Help Kiki to raid the Sepulcher"
