key,value,comment,english
MMSKILL_RARITY,"稀有度","Skill node","Rarity"
MMSKILL_EXPERIENCE,"经验","Skill node","Experience"
MMSKILL_SECTOR_RANK,"星区​等级","Skill node","Sector Rank"
MMSKILL_SECTOR_CHANCE,"星区​几率","Skill node","Sector Chance"
MMSKILL_MONSTER_LEVEL,"怪物等级","Skill node","Monster Level"
MMSKILL_MONSTROSITY,"庞然巨物","Skill node","Monstrosity"
MMSKILL_OCTRON_ITEM_CHANCE,"奥创物品​几率","Skill node","Octron Item Chance"
MMSKILL_ABYSS_OCTRON_ITEM_CHANCE,"深渊奥创物品​几率","Skill node","Abyss Octron Item Chance"
MMSKILL_WHISPERS_OF_OCTRON,"奥创低语","Skill node","Whispers of Octron"
MMSKILL_WHISPERS_OF_THE_DEEP,"深层低语","Skill node","Whispers of the Deep"
MMSKILL_FAVOR_OF_THE_DEEP,"深层眷顾","Skill node","Favor of the Deep"
MMSKILL_ABYSS_RARITY,"深渊稀有度","Skill node","Abyss Rarity"
MMSKILL_DEEP_TREASURES,"深层宝藏","Skill node","Deep Treasures"
MMSKILL_ABYSS_EXPERIENCE,"深渊经验","Skill node","Abyss Experience"
MMSKILL_DEEP_WISDOM,"深层智慧","Skill node","Deep Wisdom"
MMSKILL_ABYSS_CARLO_MISSION_CHANCE,"深渊卡洛任务​几率","Skill node","Abyss Carlo Mission Chance"
MMSKILL_BLACK_MARKET,"黑市","Skill node","Black Market"
MMSKILL_CARLO_MISSION_CHANCE,"卡洛任务​几率","Skill node","Carlo Mission Chance"
MMSKILL_PROFITABLE_PASSAGE,"获利穿行","Skill node","Profitable Passage"
MMSKILL_MORE_EGGS,"更多的蛋","Skill node","More Eggs"
MMSKILL_ABYSS_RARITY_AND_EXPERIENCE,"深渊稀有度和经验","Skill node","Abyss Rarity and Experience"
MMSKILL_MAW_OF_THE_ABYSS,"深渊之口","Skill node","Maw of the Abyss"
MMSKILL_UNIQUE_MONSTER_EXPERIENCE,"独特怪物经验","Skill node","Unique Monster Experience"
MMSKILL_UNIQUE_MONSTER_DAMAGE_AND_EXPERIENCE,"独特怪物伤害和经验","Skill node","Unique Monster Damage and Experience"
MMSKILL_UNIQUE_MONSTER_ARMOR_AND_EXPERIENCE,"独特怪物护甲和经验","Skill node","Unique Monster Armor and Experience"
MMSKILL_TRIAL_OF_FURY,"怒火试炼","Skill node","Trial of Fury"
MMSKILL_TRIAL_OF_FORTITUDE,"勇气试炼","Skill node","Trial of Fortitude"
MMSKILL_MUTATION_ANOMALY,"异常突变","Skill node","Mutation Anomaly"
MMSKILL_NEST_OF_ABUNDANCE,"丰饶巢穴","Skill node","Nest of Abundance"
MMSKILL_CALL_OF_WEAPONS,"武器之召唤","Skill node","Call of Weapons"
MMSKILL_CALL_OF_SHIELDS,"护盾之召唤","Skill node","Call of Shields"
MMSKILL_CALL_OF_THE_CORE,"核心之召唤","Skill node","Call of the Core"
MMSKILL_CALL_OF_THE_ENGINE,"引擎之召唤","Skill node","Call of the Engine"
